idx,NpcGuid,ItemNo,Gem1,GemCount1,Gem2,GemCount2,Gem3,GemCount3,Gem4,GemCount4,Gem5,GemCount5,CP
30,018AF683-1D0B-46CB-BC11-57056D8CDDA4,141600260,49000550,6,0,0,0,0,0,0,0,0,11000
31,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142100120,49000550,3,0,0,0,0,0,0,0,0,4000
32,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142100150,49000550,4,0,0,0,0,0,0,0,0,6000
33,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142100180,49000550,5,0,0,0,0,0,0,0,0,8500
34,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142100210,49000550,6,0,0,0,0,0,0,0,0,11000
35,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142100240,49000550,14,0,0,0,0,0,0,0,0,26000
36,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142200120,49000550,3,0,0,0,0,0,0,0,0,4000
37,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142200150,49000550,4,0,0,0,0,0,0,0,0,6000
38,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142200180,49000550,5,0,0,0,0,0,0,0,0,8500
39,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142200210,49000550,6,0,0,0,0,0,0,0,0,11000
40,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142200240,49000550,14,0,0,0,0,0,0,0,0,26000
41,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142300120,49000550,3,0,0,0,0,0,0,0,0,4000
42,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142300150,49000550,4,0,0,0,0,0,0,0,0,6000
43,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142300180,49000550,5,0,0,0,0,0,0,0,0,8500
44,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142300210,49000550,6,0,0,0,0,0,0,0,0,11000
45,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142300240,49000550,14,0,0,0,0,0,0,0,0,26000
46,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142400120,49000550,1,0,0,0,0,0,0,0,0,2000
47,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142400150,49000550,2,0,0,0,0,0,0,0,0,3000
48,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142400180,49000550,2,0,0,0,0,0,0,0,0,4000
49,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142400210,49000550,4,0,0,0,0,0,0,0,0,7000
50,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142400240,49000550,9,0,0,0,0,0,0,0,0,17000
51,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142500120,49000550,1,0,0,0,0,0,0,0,0,2000
52,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142500150,49000550,2,0,0,0,0,0,0,0,0,3000
53,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142500180,49000550,2,0,0,0,0,0,0,0,0,4000
54,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142500210,49000550,4,0,0,0,0,0,0,0,0,7000
55,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142500240,49000550,9,0,0,0,0,0,0,0,0,17000
56,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142600120,49000550,1,0,0,0,0,0,0,0,0,2000
57,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142600150,49000550,2,0,0,0,0,0,0,0,0,3000
58,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142600180,49000550,2,0,0,0,0,0,0,0,0,4000
59,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142600210,49000550,4,0,0,0,0,0,0,0,0,7000
60,018AF683-1D0B-46CB-BC11-57056D8CDDA4,142600240,49000550,9,0,0,0,0,0,0,0,0,17000
61,080AFFE7-9CB0-43F2-B284-65610EE35A48,340110110,49000550,3,0,0,0,0,0,0,0,0,4000
62,080AFFE7-9CB0-43F2-B284-65610EE35A48,340110140,49000550,4,0,0,0,0,0,0,0,0,6000
63,080AFFE7-9CB0-43F2-B284-65610EE35A48,340110170,49000550,5,0,0,0,0,0,0,0,0,8500
64,080AFFE7-9CB0-43F2-B284-65610EE35A48,340110200,49000550,6,0,0,0,0,0,0,0,0,11000
65,080AFFE7-9CB0-43F2-B284-65610EE35A48,340110230,49000550,9,0,0,0,0,0,0,0,0,17000
66,080AFFE7-9CB0-43F2-B284-65610EE35A48,340210110,49000550,3,0,0,0,0,0,0,0,0,4000
67,080AFFE7-9CB0-43F2-B284-65610EE35A48,340210140,49000550,4,0,0,0,0,0,0,0,0,6000
68,080AFFE7-9CB0-43F2-B284-65610EE35A48,340210170,49000550,5,0,0,0,0,0,0,0,0,8500
69,080AFFE7-9CB0-43F2-B284-65610EE35A48,340210200,49000550,6,0,0,0,0,0,0,0,0,11000
70,080AFFE7-9CB0-43F2-B284-65610EE35A48,340210230,49000550,9,0,0,0,0,0,0,0,0,17000
71,080AFFE7-9CB0-43F2-B284-65610EE35A48,340310110,49000550,3,0,0,0,0,0,0,0,0,4000
72,080AFFE7-9CB0-43F2-B284-65610EE35A48,340310140,49000550,4,0,0,0,0,0,0,0,0,6000
73,080AFFE7-9CB0-43F2-B284-65610EE35A48,340310170,49000550,5,0,0,0,0,0,0,0,0,8500
74,080AFFE7-9CB0-43F2-B284-65610EE35A48,340310200,49000550,6,0,0,0,0,0,0,0,0,11000
75,080AFFE7-9CB0-43F2-B284-65610EE35A48,340310230,49000550,9,0,0,0,0,0,0,0,0,17000
76,080AFFE7-9CB0-43F2-B284-65610EE35A48,340410110,49000550,1,0,0,0,0,0,0,0,0,2000
77,080AFFE7-9CB0-43F2-B284-65610EE35A48,340410140,49000550,2,0,0,0,0,0,0,0,0,3000
78,080AFFE7-9CB0-43F2-B284-65610EE35A48,340410170,49000550,2,0,0,0,0,0,0,0,0,4000
79,080AFFE7-9CB0-43F2-B284-65610EE35A48,340410200,49000550,4,0,0,0,0,0,0,0,0,7000
80,080AFFE7-9CB0-43F2-B284-65610EE35A48,340410230,49000550,6,0,0,0,0,0,0,0,0,11000
81,080AFFE7-9CB0-43F2-B284-65610EE35A48,340510110,49000550,1,0,0,0,0,0,0,0,0,2000
82,080AFFE7-9CB0-43F2-B284-65610EE35A48,340510140,49000550,2,0,0,0,0,0,0,0,0,3000
83,080AFFE7-9CB0-43F2-B284-65610EE35A48,340510170,49000550,2,0,0,0,0,0,0,0,0,4000
84,080AFFE7-9CB0-43F2-B284-65610EE35A48,340510200,49000550,4,0,0,0,0,0,0,0,0,7000
85,080AFFE7-9CB0-43F2-B284-65610EE35A48,340510230,49000550,6,0,0,0,0,0,0,0,0,11000
86,080AFFE7-9CB0-43F2-B284-65610EE35A48,340610110,49000550,1,0,0,0,0,0,0,0,0,2000
87,080AFFE7-9CB0-43F2-B284-65610EE35A48,340610140,49000550,2,0,0,0,0,0,0,0,0,3000
88,080AFFE7-9CB0-43F2-B284-65610EE35A48,340610170,49000550,2,0,0,0,0,0,0,0,0,4000
89,080AFFE7-9CB0-43F2-B284-65610EE35A48,340610200,49000550,4,0,0,0,0,0,0,0,0,7000
90,080AFFE7-9CB0-43F2-B284-65610EE35A48,340610230,49000550,6,0,0,0,0,0,0,0,0,11000
91,1734DA00-FC79-4381-B0DB-04D594B56873,330110110,49000550,3,0,0,0,0,0,0,0,0,4000
92,1734DA00-FC79-4381-B0DB-04D594B56873,330110140,49000550,4,0,0,0,0,0,0,0,0,6000
93,1734DA00-FC79-4381-B0DB-04D594B56873,330110170,49000550,5,0,0,0,0,0,0,0,0,8500
94,1734DA00-FC79-4381-B0DB-04D594B56873,330110200,49000550,6,0,0,0,0,0,0,0,0,11000
95,1734DA00-FC79-4381-B0DB-04D594B56873,330110230,49000550,9,0,0,0,0,0,0,0,0,17000
96,1734DA00-FC79-4381-B0DB-04D594B56873,330210110,49000550,3,0,0,0,0,0,0,0,0,4000
97,1734DA00-FC79-4381-B0DB-04D594B56873,330210140,49000550,4,0,0,0,0,0,0,0,0,6000
98,1734DA00-FC79-4381-B0DB-04D594B56873,330210170,49000550,5,0,0,0,0,0,0,0,0,8500
99,1734DA00-FC79-4381-B0DB-04D594B56873,330210200,49000550,6,0,0,0,0,0,0,0,0,11000
100,1734DA00-FC79-4381-B0DB-04D594B56873,330210230,49000550,9,0,0,0,0,0,0,0,0,17000
101,1734DA00-FC79-4381-B0DB-04D594B56873,330310110,49000550,3,0,0,0,0,0,0,0,0,4000
102,1734DA00-FC79-4381-B0DB-04D594B56873,330310140,49000550,4,0,0,0,0,0,0,0,0,6000
103,1734DA00-FC79-4381-B0DB-04D594B56873,330310170,49000550,5,0,0,0,0,0,0,0,0,8500
104,1734DA00-FC79-4381-B0DB-04D594B56873,330310200,49000550,6,0,0,0,0,0,0,0,0,11000
105,1734DA00-FC79-4381-B0DB-04D594B56873,330310230,49000550,9,0,0,0,0,0,0,0,0,17000
106,1734DA00-FC79-4381-B0DB-04D594B56873,330410110,49000550,1,0,0,0,0,0,0,0,0,2000
107,1734DA00-FC79-4381-B0DB-04D594B56873,330410140,49000550,2,0,0,0,0,0,0,0,0,3000
108,1734DA00-FC79-4381-B0DB-04D594B56873,330410170,49000550,2,0,0,0,0,0,0,0,0,4000
109,1734DA00-FC79-4381-B0DB-04D594B56873,330410200,49000550,4,0,0,0,0,0,0,0,0,7000
110,1734DA00-FC79-4381-B0DB-04D594B56873,330410230,49000550,6,0,0,0,0,0,0,0,0,11000
111,1734DA00-FC79-4381-B0DB-04D594B56873,330510110,49000550,1,0,0,0,0,0,0,0,0,2000
112,1734DA00-FC79-4381-B0DB-04D594B56873,330510140,49000550,2,0,0,0,0,0,0,0,0,3000
113,1734DA00-FC79-4381-B0DB-04D594B56873,330510170,49000550,2,0,0,0,0,0,0,0,0,4000
114,1734DA00-FC79-4381-B0DB-04D594B56873,330510200,49000550,4,0,0,0,0,0,0,0,0,7000
115,1734DA00-FC79-4381-B0DB-04D594B56873,330510230,49000550,6,0,0,0,0,0,0,0,0,11000
116,1734DA00-FC79-4381-B0DB-04D594B56873,330610110,49000550,1,0,0,0,0,0,0,0,0,2000
117,1734DA00-FC79-4381-B0DB-04D594B56873,330610140,49000550,2,0,0,0,0,0,0,0,0,3000
118,1734DA00-FC79-4381-B0DB-04D594B56873,330610170,49000550,2,0,0,0,0,0,0,0,0,4000
119,1734DA00-FC79-4381-B0DB-04D594B56873,330610200,49000550,4,0,0,0,0,0,0,0,0,7000
120,1734DA00-FC79-4381-B0DB-04D594B56873,330610230,49000550,6,0,0,0,0,0,0,0,0,11000
121,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,141100060,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
122,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,141200060,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
123,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,141300060,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
124,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,141400060,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
125,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,141500060,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
126,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,141600060,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
127,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,142100040,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
128,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,142200040,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
129,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,142300040,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
130,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,142400040,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
131,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,142500040,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
132,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,142600040,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
133,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,143100060,50900010,4,50900020,8,50900030,8,50900040,15,50900050,4,0
134,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,143200060,50900010,4,50900020,8,50900030,8,50900040,15,50900050,4,0
135,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,143300060,50900010,4,50900020,8,50900030,8,50900040,15,50900050,4,0
136,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,143400060,50900010,2,50900020,4,50900030,4,50900040,7,50900050,2,0
137,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,143500060,50900010,2,50900020,4,50900030,4,50900040,7,50900050,2,0
138,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,143600060,50900010,2,50900020,4,50900030,4,50900040,7,50900050,2,0
139,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,144100040,50900010,4,50900020,8,50900030,8,50900040,15,50900050,4,0
140,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,144200040,50900010,4,50900020,8,50900030,8,50900040,15,50900050,4,0
141,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,144300040,50900010,4,50900020,8,50900030,8,50900040,15,50900050,4,0
142,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,144400040,50900010,2,50900020,4,50900030,4,50900040,7,50900050,2,0
143,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,144500040,50900010,2,50900020,4,50900030,4,50900040,7,50900050,2,0
144,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,144600040,50900010,2,50900020,4,50900030,4,50900040,7,50900050,2,0
145,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,145100060,50900010,8,50900020,15,50900030,4,50900040,8,50900050,4,0
146,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,145200060,50900010,8,50900020,15,50900030,4,50900040,8,50900050,4,0
147,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,145300060,50900010,8,50900020,15,50900030,4,50900040,8,50900050,4,0
148,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,145400060,50900010,4,50900020,7,50900030,2,50900040,4,50900050,2,0
149,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,145500060,50900010,4,50900020,7,50900030,2,50900040,4,50900050,2,0
150,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,145600060,50900010,4,50900020,7,50900030,2,50900040,4,50900050,2,0
151,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,146100040,50900010,8,50900020,15,50900030,4,50900040,8,50900050,4,0
152,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,146200040,50900010,8,50900020,15,50900030,4,50900040,8,50900050,4,0
153,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,146300040,50900010,8,50900020,15,50900030,4,50900040,8,50900050,4,0
154,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,146400040,50900010,4,50900020,7,50900030,2,50900040,4,50900050,2,0
155,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,146500040,50900010,4,50900020,7,50900030,2,50900040,4,50900050,2,0
156,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,146600040,50900010,4,50900020,7,50900030,2,50900040,4,50900050,2,0
157,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,147100060,50900010,8,50900020,4,50900030,15,50900040,8,50900050,4,0
158,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,147200060,50900010,8,50900020,4,50900030,15,50900040,8,50900050,4,0
159,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,147300060,50900010,8,50900020,4,50900030,15,50900040,8,50900050,4,0
160,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,147400060,50900010,4,50900020,2,50900030,7,50900040,4,50900050,2,0
161,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,147500060,50900010,4,50900020,2,50900030,7,50900040,4,50900050,2,0
162,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,147600060,50900010,4,50900020,2,50900030,7,50900040,4,50900050,2,0
163,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,148100040,50900010,8,50900020,4,50900030,15,50900040,8,50900050,4,0
164,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,148200040,50900010,8,50900020,4,50900030,15,50900040,8,50900050,4,0
165,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,148300040,50900010,8,50900020,4,50900030,15,50900040,8,50900050,4,0
166,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,148400040,50900010,4,50900020,2,50900030,7,50900040,4,50900050,2,0
167,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,148500040,50900010,4,50900020,2,50900030,7,50900040,4,50900050,2,0
168,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,148600040,50900010,4,50900020,2,50900030,7,50900040,4,50900050,2,0
169,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,330110030,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
170,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,330210030,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
171,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,330310030,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
172,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,330410030,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
173,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,330510030,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
174,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,330610030,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
175,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,340110030,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
176,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,340210030,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
177,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,340310030,50900010,15,50900020,8,50900030,8,50900040,4,50900050,4,0
178,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,340410030,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
179,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,340510030,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
180,1DF3D9A3-D8FE-4EBF-84C6-8A868A930492,340610030,50900010,7,50900020,4,50900030,4,50900040,2,50900050,2,0
181,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,141100240,50900010,36,50900020,18,50900030,18,50900040,9,50900050,9,0
182,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,141200240,50900010,36,50900020,18,50900030,18,50900040,9,50900050,9,0
183,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,141300240,50900010,36,50900020,18,50900030,18,50900040,9,50900050,9,0
184,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,141400240,50900010,22,50900020,11,50900030,11,50900040,6,50900050,6,0
185,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,141500240,50900010,22,50900020,11,50900030,11,50900040,6,50900050,6,0
186,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,141600240,50900010,22,50900020,11,50900030,11,50900040,6,50900050,6,0
187,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,142100220,50900010,36,50900020,18,50900030,18,50900040,9,50900050,9,0
188,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,142200220,50900010,36,50900020,18,50900030,18,50900040,9,50900050,9,0
189,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,142300220,50900010,36,50900020,18,50900030,18,50900040,9,50900050,9,0
190,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,142400220,50900010,22,50900020,11,50900030,11,50900040,6,50900050,6,0
191,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,142500220,50900010,22,50900020,11,50900030,11,50900040,6,50900050,6,0
192,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,142600220,50900010,22,50900020,11,50900030,11,50900040,6,50900050,6,0
193,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,143100240,50900010,9,50900020,18,50900030,18,50900040,36,50900050,9,0
194,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,143200240,50900010,9,50900020,18,50900030,18,50900040,36,50900050,9,0
195,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,143300240,50900010,9,50900020,18,50900030,18,50900040,36,50900050,9,0
196,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,143400240,50900010,6,50900020,11,50900030,11,50900040,22,50900050,6,0
197,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,143500240,50900010,6,50900020,11,50900030,11,50900040,22,50900050,6,0
198,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,143600240,50900010,6,50900020,11,50900030,11,50900040,22,50900050,6,0
199,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,144100220,50900010,9,50900020,18,50900030,18,50900040,36,50900050,9,0
200,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,144200220,50900010,9,50900020,18,50900030,18,50900040,36,50900050,9,0
201,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,144300220,50900010,9,50900020,18,50900030,18,50900040,36,50900050,9,0
202,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,144400220,50900010,6,50900020,11,50900030,11,50900040,22,50900050,6,0
203,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,144500220,50900010,6,50900020,11,50900030,11,50900040,22,50900050,6,0
204,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,144600220,50900010,6,50900020,11,50900030,11,50900040,22,50900050,6,0
205,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,145100240,50900010,18,50900020,36,50900030,9,50900040,18,50900050,9,0
206,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,145200240,50900010,18,50900020,36,50900030,9,50900040,18,50900050,9,0
207,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,145300240,50900010,18,50900020,36,50900030,9,50900040,18,50900050,9,0
208,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,145400240,50900010,11,50900020,22,50900030,6,50900040,11,50900050,6,0
209,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,145500240,50900010,11,50900020,22,50900030,6,50900040,11,50900050,6,0
210,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,145600240,50900010,11,50900020,22,50900030,6,50900040,11,50900050,6,0
211,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,146100220,50900010,18,50900020,36,50900030,9,50900040,18,50900050,9,0
212,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,146200220,50900010,18,50900020,36,50900030,9,50900040,18,50900050,9,0
213,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,146300220,50900010,18,50900020,36,50900030,9,50900040,18,50900050,9,0
214,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,146400220,50900010,11,50900020,22,50900030,6,50900040,11,50900050,6,0
215,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,146500220,50900010,11,50900020,22,50900030,6,50900040,11,50900050,6,0
216,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,146600220,50900010,11,50900020,22,50900030,6,50900040,11,50900050,6,0
217,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,147100240,50900010,18,50900020,9,50900030,36,50900040,18,50900050,9,0
218,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,147200240,50900010,18,50900020,9,50900030,36,50900040,18,50900050,9,0
219,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,147300240,50900010,18,50900020,9,50900030,36,50900040,18,50900050,9,0
220,2091F1FF-588C-46B6-A1D3-29C1ADB4CB6A,147400240,50900010,11,50900020,6,50900030,22,50900040,11,50900050,6,0
