IDX,f_NationCodeStr,SetNo,Name,Memo,SetAbil01,SetAbil02,NeedItem01,NeedItem02,NeedItem03,NeedItem04,NeedItem05,NeedItem06,NeedItem07,NeedItem08,NeedItem09,NeedItem10
54,0,54,999,[일반세트] LV47 메지션 16차 세트,154,0,43100160,43200160,43300160,43400160,43500160,43600160,0,0,0,0
55,0,55,999,[영광세트] LV60 영광의 하모니 세트,155,0,43100170,43200170,43300170,43400170,43500170,43600170,0,0,0,0
56,0,56,999,[일반세트] LV54 메지션 18차 세트,156,0,43100180,43200180,43300180,43400180,43500180,43600180,0,0,0,0
57,0,57,999,[일반세트] LV54 메지션 19차 세트,157,0,43100190,43200190,43300190,43400190,43500190,43600190,0,0,0,0
58,0,58,999,[영광세트] LV57 메지션 20차 세트,158,0,43100200,43200200,43300200,43400200,43500200,43600200,0,0,0,0
59,0,59,999,[일반세트] LV20 전투마법사 3차 세트,159,0,44100010,44200010,44300010,44400010,44500010,44600010,0,0,0,0
60,0,60,999,[일반세트] LV20 전투마법사 4차 세트,160,0,44100020,44200020,44300020,44400020,44500020,44600020,0,0,0,0
61,0,61,999,[영광세트] LV20 영광의 샤인 세트,161,0,44100030,44200030,44300030,44400030,44500030,44600030,0,0,0,0
62,0,62,999,[일반세트] LV27 전투마법사 6차 세트,162,0,44100040,44200040,44300040,44400040,44500040,44600040,0,0,0,0
63,0,63,999,[일반세트] LV27 전투마법사 7차 세트,163,0,44100050,44200050,44300050,44400050,44500050,44600050,0,0,0,0
64,0,64,999,[영광세트] LV30 영광의 코메디언 세트,164,0,44100060,44200060,44300060,44400060,44500060,44600060,0,0,0,0
65,0,65,999,[일반세트] LV34 전투마법사 9차 세트,165,0,44100070,44200070,44300070,44400070,44500070,44600070,0,0,0,0
66,0,66,999,[일반세트] LV34 전투마법사 10차 세트,166,0,44100080,44200080,44300080,44400080,44500080,44600080,0,0,0,0
67,0,67,999,[영광세트] LV40 영광의 제니어스 세트,167,0,44100090,44200090,44300090,44400090,44500090,44600090,0,0,0,0
68,0,68,999,[일반세트] LV40 전투마법사 12차 세트,168,0,44100100,44200100,44300100,44400100,44500100,44600100,0,0,0,0
69,0,69,999,[일반세트] LV40 전투마법사 13차 세트,169,0,44100110,44200110,44300110,44400110,44500110,44600110,0,0,0,0
70,0,70,999,[영광세트] LV50 영광의 다이아 세트,170,0,44100120,44200120,44300120,44400120,44500120,44600120,0,0,0,0
71,0,71,999,[일반세트] LV47 전투마법사 15차 세트,171,0,44100130,44200130,44300130,44400130,44500130,44600130,0,0,0,0
72,0,72,999,[일반세트] LV47 전투마법사 16차 세트,172,0,44100140,44200140,44300140,44400140,44500140,44600140,0,0,0,0
73,0,73,999,[영광세트] LV60 영광의 마제스틱 세트,173,0,44100150,44200150,44300150,44400150,44500150,44600150,0,0,0,0
74,0,74,999,[일반세트] LV54 전투마법사 18차 세트,174,0,44100160,44200160,44300160,44400160,44500160,44600160,0,0,0,0
75,0,75,999,[일반세트] LV54 전투마법사 19차 세트,175,0,44100170,44200170,44300170,44400170,44500170,44600170,0,0,0,0
76,0,76,999,[영광세트] LV57 전투마법사 20차 세트,176,0,44100180,44200180,44300180,44400180,44500180,44600180,0,0,0,0
77,0,77,999,[일반세트] LV10 궁수 1차 세트,177,0,45100010,45200010,45300010,45400010,45500010,45600010,0,0,0,0
78,0,78,999,[영광세트] LV14 영광의 로빈 세트,178,0,45100020,45200020,45300020,45400020,45500020,45600020,0,0,0,0
79,0,79,999,[일반세트] LV20 궁수 3차 세트,179,0,45100030,45200030,45300030,45400030,45500030,45600030,0,0,0,0
80,0,80,999,[일반세트] LV20 궁수 4차 세트,180,0,45100040,45200040,45300040,45400040,45500040,45600040,0,0,0,0
81,0,81,999,[영광세트] LV20 영광의 인디고 세트,181,0,45100050,45200050,45300050,45400050,45500050,45600050,0,0,0,0
82,0,82,999,[일반세트] LV27 궁수 6차 세트,182,0,45100060,45200060,45300060,45400060,45500060,45600060,0,0,0,0
83,0,83,999,[일반세트] LV27 궁수 7차 세트,183,0,45100070,45200070,45300070,45400070,45500070,45600070,0,0,0,0
84,0,84,999,[영광세트] LV30 영광의 파시어스 세트,184,0,45100080,45200080,45300080,45400080,45500080,45600080,0,0,0,0
85,0,85,999,[일반세트] LV34 궁수 9차 세트,185,0,45100090,45200090,45300090,45400090,45500090,45600090,0,0,0,0
86,0,86,999,[일반세트] LV34 궁수 10차 세트,186,0,45100100,45200100,45300100,45400100,45500100,45600100,0,0,0,0
87,0,87,999,[영광세트] LV40 영광의 일루전 세트,187,0,45100110,45200110,45300110,45400110,45500110,45600110,0,0,0,0
88,0,88,999,[일반세트] LV40 궁수 12차 세트,188,0,45100120,45200120,45300120,45400120,45500120,45600120,0,0,0,0
89,0,89,999,[일반세트] LV40 궁수 13차 세트,189,0,45100130,45200130,45300130,45400130,45500130,45600130,0,0,0,0
90,0,90,999,[영광세트] LV50 영광의 크라켄 세트,190,0,45100140,45200140,45300140,45400140,45500140,45600140,0,0,0,0
91,0,91,999,[일반세트] LV47 궁수 15차 세트,191,0,45100150,45200150,45300150,45400150,45500150,45600150,0,0,0,0
92,0,92,999,[일반세트] LV47 궁수 16차 세트,192,0,45100160,45200160,45300160,45400160,45500160,45600160,0,0,0,0
93,0,93,999,[영광세트] LV60 영광의 비스트 세트,193,0,45100170,45200170,45300170,45400170,45500170,45600170,0,0,0,0
94,0,94,999,[일반세트] LV54 궁수 18차 세트,194,0,45100180,45200180,45300180,45400180,45500180,45600180,0,0,0,0
95,0,95,999,[일반세트] LV54 궁수 19차 세트,195,0,45100190,45200190,45300190,45400190,45500190,45600190,0,0,0,0
96,0,96,999,[영광세트] LV57 궁수 20차 세트,196,0,45100200,45200200,45300200,45400200,45500200,45600200,0,0,0,0
97,0,97,999,[일반세트] LV20 레인저 3차 세트,197,0,46100010,46200010,46300010,46400010,46500010,46600010,0,0,0,0
98,0,98,999,[일반세트] LV20 레인저 4차 세트,198,0,46100020,46200020,46300020,46400020,46500020,46600020,0,0,0,0
99,0,99,999,[영광세트] LV20 영광의 뫼비우스 세트,199,0,46100030,46200030,46300030,46400030,46500030,46600030,0,0,0,0
100,0,100,999,[일반세트] LV27 레인저 6차 세트,200,0,46100040,46200040,46300040,46400040,46500040,46600040,0,0,0,0
101,0,101,999,[일반세트] LV27 레인저 7차 세트,201,0,46100050,46200050,46300050,46400050,46500050,46600050,0,0,0,0
102,0,102,999,[영광세트] LV30 영광의 폴가드 세트,202,0,46100060,46200060,46300060,46400060,46500060,46600060,0,0,0,0
103,0,103,999,[일반세트] LV34 레인저 9차 세트,203,0,46100070,46200070,46300070,46400070,46500070,46600070,0,0,0,0
104,0,104,999,[일반세트] LV34 레인저 10차 세트,204,0,46100080,46200080,46300080,46400080,46500080,46600080,0,0,0,0
105,0,105,999,[영광세트] LV40 영광의 바로크 세트,205,0,46100090,46200090,46300090,46400090,46500090,46600090,0,0,0,0
106,0,106,999,[일반세트] LV40 레인저 12차 세트,206,0,46100100,46200100,46300100,46400100,46500100,46600100,0,0,0,0
107,0,107,999,[일반세트] LV40 레인저 13차 세트,207,0,46100110,46200110,46300110,46400110,46500110,46600110,0,0,0,0
108,0,108,999,[영광세트] LV50 영광의 파이러스 세트,208,0,46100120,46200120,46300120,46400120,46500120,46600120,0,0,0,0
109,0,109,999,[일반세트] LV47 레인저 15차 세트,209,0,46100130,46200130,46300130,46400130,46500130,46600130,0,0,0,0
110,0,110,999,[일반세트] LV47 레인저 16차 세트,210,0,46100140,46200140,46300140,46400140,46500140,46600140,0,0,0,0
111,0,111,999,[영광세트] LV60 영광의 모노클 세트,211,0,46100150,46200150,46300150,46400150,46500150,46600150,0,0,0,0
112,0,112,999,[일반세트] LV54 레인저 18차 세트,212,0,46100160,46200160,46300160,46400160,46500160,46600160,0,0,0,0
113,0,113,999,[일반세트] LV54 레인저 19차 세트,213,0,46100170,46200170,46300170,46400170,46500170,46600170,0,0,0,0
114,0,114,999,[영광세트] LV57 레인저 20차 세트,214,0,46100180,46200180,46300180,46400180,46500180,46600180,0,0,0,0
115,0,115,999,[일반세트] LV10 도둑 1차 세트,215,0,47100010,47200010,47300010,47400010,47500010,47600010,0,0,0,0
116,0,116,999,[영광세트] LV14 영광의 바이저 세트,216,0,47100020,47200020,47300020,47400020,47500020,47600020,0,0,0,0
117,0,117,999,[일반세트] LV20 도둑 3차 세트,217,0,47100030,47200030,47300030,47400030,47500030,47600030,0,0,0,0
118,0,118,999,[일반세트] LV20 도둑 4차 세트,218,0,47100040,47200040,47300040,47400040,47500040,47600040,0,0,0,0
119,0,119,999,[영광세트] LV20 영광의 어쎄신 세트,219,0,47100050,47200050,47300050,47400050,47500050,47600050,0,0,0,0
120,0,120,999,[일반세트] LV27 도둑 6차 세트,220,0,47100060,47200060,47300060,47400060,47500060,47600060,0,0,0,0
121,0,121,999,[일반세트] LV27 도둑 7차 세트,221,0,47100070,47200070,47300070,47400070,47500070,47600070,0,0,0,0
122,0,122,999,[영광세트] LV30 영광의 호라이즌 세트,222,0,47100080,47200080,47300080,47400080,47500080,47600080,0,0,0,0
123,0,123,999,[일반세트] LV34 도둑 9차 세트,223,0,47100090,47200090,47300090,47400090,47500090,47600090,0,0,0,0
124,0,124,999,[일반세트] LV34 도둑 10차 세트,224,0,47100100,47200100,47300100,47400100,47500100,47600100,0,0,0,0
125,0,125,999,[영광세트] LV40 영광의 미스트 세트,225,0,47100110,47200110,47300110,47400110,47500110,47600110,0,0,0,0
126,0,126,999,[일반세트] LV40 도둑 12차 세트,226,0,47100120,47200120,47300120,47400120,47500120,47600120,0,0,0,0
127,0,127,999,[일반세트] LV40 도둑 13차 세트,227,0,47100130,47200130,47300130,47400130,47500130,47600130,0,0,0,0
128,0,128,999,[영광세트] LV50 영광의 히어로 세트,228,0,47100140,47200140,47300140,47400140,47500140,47600140,0,0,0,0
129,0,129,999,[일반세트] LV47 도둑 15차 세트,229,0,47100150,47200150,47300150,47400150,47500150,47600150,0,0,0,0
130,0,130,999,[일반세트] LV47 도둑 16차 세트,230,0,47100160,47200160,47300160,47400160,47500160,47600160,0,0,0,0
131,0,131,999,[영광세트] LV60 영광의 슈페리얼 세트,231,0,47100170,47200170,47300170,47400170,47500170,47600170,0,0,0,0
132,0,132,999,[일반세트] LV54 도둑 18차 세트,232,0,47100180,47200180,47300180,47400180,47500180,47600180,0,0,0,0
133,0,133,999,[일반세트] LV54 도둑 19차 세트,233,0,47100190,47200190,47300190,47400190,47500190,47600190,0,0,0,0
134,0,134,999,[영광세트] LV57 도둑 20차 세트,234,0,47100200,47200200,47300200,47400200,47500200,47600200,0,0,0,0
135,0,135,999,[일반세트] LV20 암살자 3차 세트,235,0,48100010,48200010,48300010,48400010,48500010,48600010,0,0,0,0
136,0,136,999,[일반세트] LV20 암살자 4차 세트,236,0,48100020,48200020,48300020,48400020,48500020,48600020,0,0,0,0
137,0,137,999,[영광세트] LV20 영광의 클라우드 세트,237,0,48100030,48200030,48300030,48400030,48500030,48600030,0,0,0,0
138,0,138,999,[일반세트] LV27 암살자 6차 세트,238,0,48100040,48200040,48300040,48400040,48500040,48600040,0,0,0,0
139,0,139,999,[일반세트] LV27 암살자 7차 세트,239,0,48100050,48200050,48300050,48400050,48500050,48600050,0,0,0,0
140,0,140,999,[영광세트] LV30 영광의 인비저블 세트,240,0,48100060,48200060,48300060,48400060,48500060,48600060,0,0,0,0
141,0,141,999,[일반세트] LV34 암살자 9차 세트,241,0,48100070,48200070,48300070,48400070,48500070,48600070,0,0,0,0
142,0,142,999,[일반세트] LV34 암살자 10차 세트,242,0,48100080,48200080,48300080,48400080,48500080,48600080,0,0,0,0
143,0,143,999,[영광세트] LV40 영광의 아수라 세트,243,0,48100090,48200090,48300090,48400090,48500090,48600090,0,0,0,0
144,0,144,999,[일반세트] LV40 암살자 12차 세트,244,0,48100100,48200100,48300100,48400100,48500100,48600100,0,0,0,0
145,0,145,999,[일반세트] LV40 암살자 13차 세트,245,0,48100110,48200110,48300110,48400110,48500110,48600110,0,0,0,0
146,0,146,999,[영광세트] LV50 영광의 워울프 세트,246,0,48100120,48200120,48300120,48400120,48500120,48600120,0,0,0,0
147,0,147,999,[일반세트] LV47 암살자 15차 세트,247,0,48100130,48200130,48300130,48400130,48500130,48600130,0,0,0,0
148,0,148,999,[일반세트] LV47 암살자 16차 세트,248,0,48100140,48200140,48300140,48400140,48500140,48600140,0,0,0,0
149,0,149,999,[영광세트] LV60 영광의 초신성 세트,249,0,48100150,48200150,48300150,48400150,48500150,48600150,0,0,0,0
150,0,150,999,[일반세트] LV54 암살자 18차 세트,250,0,48100160,48200160,48300160,48400160,48500160,48600160,0,0,0,0
151,0,151,999,[일반세트] LV54 암살자 19차 세트,251,0,48100170,48200170,48300170,48400170,48500170,48600170,0,0,0,0
152,0,152,999,[영광세트] LV57 암살자 20차 세트,252,0,48100180,48200180,48300180,48400180,48500180,48600180,0,0,0,0
153,0,1001,998,[고유] LV32 후커 더블 라이플,1001,0,71000010,0,0,0,0,0,0,0,0,0
154,0,1002,998,[고유] LV36 알비다 스나이퍼 라이플,1002,0,71000020,0,0,0,0,0,0,0,0,0
155,0,1003,998,[고유] LV41 라이트닝 세이버,1003,0,71000030,0,0,0,0,0,0,0,0,0
156,0,1004,998,[고유] LV42 아투의 손톱,1004,0,71000040,0,0,0,0,0,0,0,0,0
157,0,1006,998,[고유] LV60 아르카의 조화 스태프,1006,0,71000060,0,0,0,0,0,0,0,0,0
158,0,1007,998,[고유] LV51 벨란의 삼원창,1007,0,71000070,0,0,0,0,0,0,0,0,0
159,0,1008,998,[고유] LV1 베가본드 의족,1008,0,72000010,0,0,0,0,0,0,0,0,0
160,0,1009,998,[고유] LV1 베가스 박제 모자,1009,0,72000020,0,0,0,0,0,0,0,0,0
161,0,1010,998,[고유] LV26 쿵카의 나무방패,1010,0,72000030,0,0,0,0,0,0,0,0,0
162,0,1011,998,[고유] LV32 후커 선장의 모자,1011,0,72000040,0,0,0,0,0,0,0,0,0
163,0,1012,998,[고유] LV36 알비다의 피크닉 모자,1012,0,72000050,0,0,0,0,0,0,0,0,0
164,0,1013,998,[고유] LV46 로커의 뿔투구,1013,0,72000060,0,0,0,0,0,0,0,0,0
165,0,1014,998,[고유] LV54 엘루만 크라운,1014,0,72000070,0,0,0,0,0,0,0,0,0
166,0,1016,998,[고유] LV60 벌룬의 가면,1016,0,72000090,0,0,0,0,0,0,0,0,0
167,0,1017,998,[고유] LV60 키마트의 날개,1017,0,72000100,0,0,0,0,0,0,0,0,0
168,0,1018,998,[고유] LV1 가이던의 기계 장갑,1018,0,72000110,0,0,0,0,0,0,0,0,0
169,0,1019,998,[고유] LV51 벨라의 날개,1019,0,72000120,0,0,0,0,0,0,0,0,0
170,0,1020,998,[고유] LV60 부보부보의 화려한 어깨갑옷,1020,0,72000130,0,0,0,0,0,0,0,0,0
171,0,1021,998,[고유] LV60 파타누스의 귀걸이,1021,0,73000010,0,0,0,0,0,0,0,0,0
172,0,1022,998,[고유] LV60 아르카의 목걸이,1022,0,73000020,0,0,0,0,0,0,0,0,0
173,0,1023,998,[고유] LV60 안타레스의 목걸이,1023,0,73000030,0,0,0,0,0,0,0,0,0
174,0,1025,998,[고유] LV7 완력의 반지,1025,0,73000040,0,0,0,0,0,0,0,0,0
175,0,1026,998,[고유] LV9 화난 양 팬던트,1026,0,73000050,0,0,0,0,0,0,0,0,0
176,0,1027,998,[고유] LV16 완력의 귀걸이,1027,0,73000060,0,0,0,0,0,0,0,0,0
177,0,1028,998,[고유] LV21 박쥐 + 불가사리 악세서리 세트,1028,0,73000070,73000090,0,0,0,0,0,0,0,0
178,0,1029,998,[고유] LV16 너구리 반지,1029,0,73000080,0,0,0,0,0,0,0,0,0
179,0,1030,998,[고유] LV36 저주의 족쇄,1030,0,73000100,0,0,0,0,0,0,0,0,0
180,0,1031,998,[고유] LV45 스켈밴드,1031,0,73000110,0,0,0,0,0,0,0,0,0
181,0,1032,998,[고유] LV51 풍뎅이 팬던트,1032,0,73000120,0,0,0,0,0,0,0,0,0
182,0,1033,998,[고유] LV60 예티의 벨트,1033,0,73000130,0,0,0,0,0,0,0,0,0
183,0,1034,998,[고유] LV60 암흑의 악세서리 세트,1034,0,73000140,73000150,73000160,0,0,0,0,0,0,0
184,0,1035,998,[고유] LV55 미미르 주술사의 반지,1035,0,73000170,0,0,0,0,0,0,0,0,0
185,0,1101,999,[일반세트] LV10 기본10 블랙 파이터 세트,1101,0,141100010,141200010,141300010,141400010,141500010,141600010,0,0,0,0
186,0,1102,999,[영광세트] LV14 영광14 파이터 세트,1102,0,141100020,141200020,141300020,141400020,141500020,141600020,0,0,0,0
187,0,1103,999,[일반세트] LV20 기본20 스파이크 세트,1103,0,141100030,141200030,141300030,141400030,141500030,141600030,0,0,0,0
188,0,1104,999,[혼돈세트] LV20 혼돈20 스파이크 세트,1104,0,141100040,141200040,141300040,141400040,141500040,141600040,0,0,0,0
189,0,1105,999,[영광세트] LV23 영광23 스파이크 세트,1105,0,141100050,141200050,141300050,141400050,141500050,141600050,0,0,0,0
190,0,1106,999,[일반세트] LV27 기본27 나이트 세트,1106,0,141100060,141200060,141300060,141400060,141500060,141600060,0,0,0,0
191,0,1107,999,[혼돈세트] LV27 혼돈27 나이트 세트,1107,0,141100070,141200070,141300070,141400070,141500070,141600070,0,0,0,0
192,0,1108,999,[영광세트] LV30 영광30 나이트 세트,1108,0,141100080,141200080,141300080,141400080,141500080,141600080,0,0,0,0
193,0,1109,999,[일반세트] LV34 기본34 드레이크 세트,1109,0,141100090,141200090,141300090,141400090,141500090,141600090,0,0,0,0
194,0,1110,999,[혼돈세트] LV34 혼돈34 드레이크 세트,1110,0,141100100,141200100,141300100,141400100,141500100,141600100,0,0,0,0
195,0,1111,999,[영광세트] LV37 영광37 드레이크 세트,1111,0,141100110,141200110,141300110,141400110,141500110,141600110,0,0,0,0
196,0,1112,999,[일반세트] LV40 기본40 임페리얼 세트,1112,0,141100120,141200120,141300120,141400120,141500120,141600120,0,0,0,0
197,0,1113,999,[혼돈세트] LV40 혼돈40 임페리얼 세트,1113,0,141100130,141200130,141300130,141400130,141500130,141600130,0,0,0,0
198,0,1114,999,[영광세트] LV43 영광43 임페리얼 세트,1114,0,141100140,141200140,141300140,141400140,141500140,141600140,0,0,0,0
199,0,1115,999,[일반세트] LV47 기본47 템플러 세트,1115,0,141100150,141200150,141300150,141400150,141500150,141600150,0,0,0,0
200,0,1116,999,[혼돈세트] LV47 혼돈47 템플러 세트,1116,0,141100160,141200160,141300160,141400160,141500160,141600160,0,0,0,0
201,0,1117,999,[영광세트] LV50 영광50 템플러 세트,1117,0,141100170,141200170,141300170,141400170,141500170,141600170,0,0,0,0
202,0,1118,999,[일반세트] LV54 기본54 시그너스 세트,1118,0,141100180,141200180,141300180,141400180,141500180,141600180,0,0,0,0
203,0,1119,999,[혼돈세트] LV54 혼돈54 시그너스 세트,1119,0,141100190,141200190,141300190,141400190,141500190,141600190,0,0,0,0
204,0,1120,999,[영광세트] LV57 영광57 시그너스 세트,1120,0,141100200,141200200,141300200,141400200,141500200,141600200,0,0,0,0
205,0,1121,999,[일반세트] LV20 기본20 바이킹 세트,1121,0,142100010,142200010,142300010,142400010,142500010,142600010,0,0,0,0
206,0,1122,999,[혼돈세트] LV20 기본20 바이킹 세트,1122,0,142100020,142200020,142300020,142400020,142500020,142600020,0,0,0,0
207,0,1123,999,[영광세트] LV23 영광23 바이킹 세트,1123,0,142100030,142200030,142300030,142400030,142500030,142600030,0,0,0,0
208,0,1124,999,[일반세트] LV27 기본27 챔피온 세트,1124,0,142100040,142200040,142300040,142400040,142500040,142600040,0,0,0,0
209,0,1125,999,[혼돈세트] LV27 혼돈27 챔피온 세트,1125,0,142100050,142200050,142300050,142400050,142500050,142600050,0,0,0,0
210,0,1126,999,[영광세트] LV30 영광30영광 챔피온 세트,1126,0,142100060,142200060,142300060,142400060,142500060,142600060,0,0,0,0
211,0,1127,999,[일반세트] LV34 기본34바바리안 세트,1127,0,142100070,142200070,142300070,142400070,142500070,142600070,0,0,0,0
212,0,1128,999,[혼돈세트] LV34 혼돈34바바리안 세트,1128,0,142100080,142200080,142300080,142400080,142500080,142600080,0,0,0,0
213,0,1129,999,[영광세트] LV37 영광37바바리안 세트,1129,0,142100090,142200090,142300090,142400090,142500090,142600090,0,0,0,0
214,0,1130,999,[일반세트] LV40 기본40파괴자 세트,1130,0,142100100,142200100,142300100,142400100,142500100,142600100,0,0,0,0
215,0,1131,999,[혼돈세트] LV40 혼돈40파괴자 세트,1131,0,142100110,142200110,142300110,142400110,142500110,142600110,0,0,0,0
216,0,1132,999,[영광세트] LV43 영광43파괴자 세트,1132,0,142100120,142200120,142300120,142400120,142500120,142600120,0,0,0,0
