SkillAbilID,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10,
3000306,정예_칼리곤_점프해서 전방에 수류탄 투척,541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,40,0,0,2090,1,
3000307,정예_칼리곤_칼 들고 한바퀴 휠윈드,541,0,2018,4,2011,16777216,1008,10,2078,2,7281,1000,7291,1000,0,0,0,0,0,0,
3000308,정예_칼리곤_연막탄 터트리기,541,1,2018,4,2011,16777216,1008,10,2078,2,5001,3000313,1007,1,545,60,544,300,2090,3,
3000309,정예_칼리곤_대쉬 피어싱 (일섬)2,561,5,7082,55000,544,50,542,1,0,0,0,0,0,0,546,14,0,0,2090,1,
3000310,정예_칼리곤_머리박기(대시에프터),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,100,0,0,0,0,
3000311,정예_칼리곤_머리박기(대시에프터)2,561,197,7082,120000,544,50,542,1,0,0,0,0,0,0,546,50,0,0,2090,1,
3000312,정예_칼리곤_원거리(불 총 발사),541,1,2018,4,5001,3000313,2011,16777218,1007,1,7281,2,7291,2,545,14,3124,1,2090,1,
3000313,정예_칼리곤_연막탄 터트리기2,3124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3400730,구릉 놀 보초병 도끼 크게내려찍기(어스퀘이크),541,1,2018,4,0,0,2011,16777216,1007,4,7281,5,7291,5,545,50,0,0,0,0,
3400830,구릉 놀 궁수 기본발사,541,1,2018,4,3067,999,2011,16777218,1007,999,7281,2,7291,2,545,30,1010,80,2090,1,
3400940,구릉 놀 주술사 유도 3방,541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,10,1010,80,2090,1,
3400941,구릉 놀 주술사 화이어 볼(유도1방),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,10,1010,80,2090,1,
3401400,암석그리폰 기본 공격,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3401401,암석그리폰 대쉬 공격 1 ,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3401402,암석그리폰 대쉬 공격 2 ,561,5,7082,60000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3401403,암석그리폰_근거리(음파공격),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3401500,화염그리폰 기본 공격,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3401501,화염그리폰 대쉬 공격 1 ,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3401502,화염그리폰 대쉬 공격 2 ,561,5,7082,60000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3401503,화염그리폰 화염 발사체 공격,541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,14,0,0,2090,1,
3401504,화염그리폰 화염 브레스 공격,541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,14,0,0,2090,1,
3401600,화염그리폰 기본 공격,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3401601,화염그리폰 대쉬 공격 1 ,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3401602,화염그리폰 대쉬 공격 2 ,561,5,7082,60000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3401700,협곡 진흙괴물  기본공격,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3401701,협곡 진흙괴물  쏘기 공격,541,1,2018,4,3067,5,2011,16777218,1007,5,7281,2,7291,2,545,30,1010,80,2090,1,
3401702,협곡 진흙괴물  전기 감전,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,60,0,0,0,0,
3401703,협곡 진흙괴물  전기 감전 2,561,130,7082,0,544,150,2027,1500,542,1,2080,18000,0,0,546,60,0,0,2090,1,
3401704,협곡 진흙괴물 음파 공격,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3401705,협곡 진흙괴물 비 공격,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3402100,플로렌스 기본 물기,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3402101,플로렌스 레이져 (근접),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,60,0,0,0,0,
3402102,플로렌스 레이져 (근접)2,561,130,7082,0,544,150,2027,800,542,1,2080,18000,0,0,546,60,0,0,2090,1,
3491000,코코투스 기본 공격_01,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3491001,코코투스 기본 공격_대지의 분노,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3491002,코코투스 대쉬 피어싱 (일섬),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,14,0,0,551,1000,
3491003,코코투스 근접(소환),541,1,2018,4,6025904,200,2011,16777216,1007,1,7281,2,7291,2,545,14,544,200,0,0,
3491004,코코투스 유도 3방,541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,10,1010,80,2090,1,
3491005,코코투스 근접(땅속에서 가시찌르기),541,0,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,546,60,0,0,2090,1,
3491006,코코투스 대쉬 피어싱 (일섬),561,5,7082,55000,544,50,542,1,0,0,0,0,0,0,546,14,0,0,2090,1,
3491007,코코투스 근접(소환),101,1232,3038,973401460,0,0,0,0,0,0,0,0,0,0,0,0,2101,8000,0,0,
3491008,코코투스 근접(땅속에서 가시찌르기),0,0,1007,4,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,
3521100,포치류 근거리(박치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,50,0,0,2090,1,
3521101,포치류 원거리(꽃잎발사),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,50,0,0,2090,1,
3521102,포치류 원거리(꽃잎발사)반복,541,1,2018,4,0,0,2011,16777218,1007,99,7281,5,7291,5,545,50,0,0,2090,1,
3521103,포치류_희귀_무드라고라_근거리(깨물기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,3,
3521104,포치류_희귀_무드라고라_원거리(포물선발사),541,1,2018,4,2089,3,2011,16777218,1007,1,7281,2,7291,2,545,50,1010,80,2090,1,
3521105,포치류_희귀_무드라고라_브래스,541,1,2018,4,2011,16777216,1008,10,2078,2,7281,1000,7291,1000,545,60,0,0,0,0,
3521106,포치류_희귀_무드라고라_휠윈드,541,0,2018,4,0,0,2011,16777216,1007,2,7281,2,7291,2,546,100,1009,0,2090,1,
3521107,포치 연속발사2,3093,2,3094,0,3095,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3521108,포치류_희귀_무드라고라_브래스2,561,130,7082,0,544,220,2027,2200,542,1,2080,10000,1007,4,546,100,0,0,2090,1,
3521109,포치류_희귀_무드라고라_휠윈드2,561,130,7082,0,0,0,2027,2000,542,1,2080,10000,1007,4,546,120,0,0,2090,1,
3522000,옵큘링류 근거리(박치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3522001,옵큘링류 근거리(꼬리치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3522002,옵큘링류 원거리(꼬리독침),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3522003,옵큘링류 원거리(마법봉),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3522004,옵큘링류 눈에서 파장내뿜기(근접스킬),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,1010,10,0,0,
3522800,옵큘링류_희귀_샤드론_근거리(박치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3522801,옵큘링류_희귀_샤드론_근거리(깨물기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3522802,옵큘링류_희귀_샤드론_원거리(꼬리가시발사),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3522803,옵큘링류_희귀_샤드론_대쉬,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,0,0,0,0,
3522804,옵큘링류_희귀_샤드론_근접(땅찍어 가시),541,0,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,1010,10,546,90,
3522805,옵큘링류_희귀_샤드론_대쉬2,561,5,7082,50000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3523000,쿰바류_근거리(무기휘두르기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,40,0,0,2090,1,
3523001,쿰바류_근거리(무기내려치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,40,0,0,2090,1,
3523002,쿰바류_근거리(무기찌르기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,40,0,0,2090,1,
3523003,쿰바류_원거리(꿀단지던지기),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,40,0,0,2090,1,
3523004,쿰바류_원거리(마법쏘기),541,0,2018,4,2011,16777216,1008,10,2078,2,561,2,1007,4,2027,2567,1010,10,546,90,
3523005,쿰바류_대쉬스킬,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3523006,쿰바류_대쉬스킬2,561,5,7082,50000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3523013,허니 쿰바 툴팁용 스킬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001,35230131,
3523900,정예_자로_근거리(오른손치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3523901,정예_자로_근거리(왼른손치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3523902,정예_자로_근거리(손모아내려치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3523903,정예_자로_스킬(발차기),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,1010,10,0,0,
3523904,정예_자로_스킬(후려치기_스윙)(밀려나기),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,1010,10,0,0,
3523905,정예_자로_스킬(바닥연속치기)_브레스형,541,1,2018,4,2011,16777216,1008,10,2078,2,7281,1000,7291,1000,545,60,0,0,0,0,
3523906,정예_자로_스킬(바닥연속치기)2_브레스형,561,130,7082,0,544,200,2027,1200,542,1,2080,10000,1007,4,546,60,0,0,2090,1,
3524000,바포류_근거리(뿔올려 찌르기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3524001,바포류_근거리(박치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3524002,바포류_원거리(기뿔발사)_우두머리바포,541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3524003,바포류_대쉬,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3524004,바포류_대쉬_우두머리,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3524005,바포류_대쉬2,561,5,7082,50000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3524006,바포류_대쉬_우두머리2,561,5,7082,50000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3524900,정예_킬로_근거리(휘두르기)_오른,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,40,0,0,2090,1,
3524901,정예_킬로_근거리(휘두르기2)_왼,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,40,0,0,2090,1,
3524902,정예_킬로_근거리(휘두르기3)_가로배기,541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3524903,킬로 어스퀘이크 1,541,1,2018,4,0,0,2011,16777216,1007,4,7281,5,7291,5,545,50,0,0,0,0,
3524904,정예_킬로_무기내려찍기(파장),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,1010,10,0,0,
3524905,정예_킬로_대쉬,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3524906,정예_킬로_대쉬2,561,5,7082,50000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3524907,킬로 어스퀘이크 2,561,8,7081,160,544,50,0,0,1009,75,2080,10000,2027,3003,546,40,0,0,2090,3,
3525000,라미류_근거리(박치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,30,0,0,2090,1,
3525001,라미류_근거리(뒷발차기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,35,0,0,2090,1,
3525002,라미류_원거리(별발사_반복가능),541,1,2018,4,0,0,2011,16777218,1007,99,7281,5,7291,5,545,40,0,0,2090,1,
3525003,라미류_대쉬애프터(달려들기),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,0,0,0,0,
3525004,라미류_원거리(별발사_반복가능)2,3093,2,3094,0,3095,3,0,0,3067,99,0,0,0,0,0,0,0,0,0,0,
3525005,라미류_대쉬애프터(달려들기)2,561,197,7082,12000,544,50,542,1,0,0,0,0,0,0,546,50,0,0,2090,1,
3526000,카라챠_근거리(꼬리치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3526001,카라챠_근거리(박치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3526002,카라챠_원거리(발사체),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3526003,카라챠_근접(회전공격)브레스형,541,1,2018,4,2011,16777216,1008,10,2078,2,7281,1000,7291,1000,545,60,0,0,0,0,
3526004,카라챠_근접(회전공격)브레스형2,561,130,7082,0,544,150,2027,2027,542,1,2080,10000,1007,4,546,60,0,0,2090,1,
3526900,정예_카샤프_근거리(꼬리치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3526901,정예_카샤프_근거리(꼬리회전치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3526902,정예_카샤프_원거리(레이져)_안타레스,541,1,2018,4,0,0,2011,16777218,1007,1,7281,100,7291,3000,545,100,1009,80,0,0,
3526903,정예_카샤프_대쉬,541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,40,0,0,0,0,
3526904,정예_카샤프_휠윈드무브,541,0,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,546,80,0,0,0,0,
3526905,정예_카샤프_원거리(레이져)_안타레스2,0,0,0,0,544,150,546,40,0,0,2080,18000,0,0,0,0,0,0,2090,3,
3526906,정예_카샤프_대쉬2,561,5,7082,50000,544,50,542,1,0,0,0,0,0,0,546,40,0,0,2090,3,
3526907,정예_카샤프_휠윈드무브2,561,5,7082,80000,544,120,0,0,0,0,0,0,0,0,546,120,0,0,2090,1,
3527000,토투_근거리(머리뻗어치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3527001,토투_근거리(회전),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3527002,토투_원거리(발사체),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3527003,토투_휠윈드,541,0,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,60,0,0,551,1000,
3527004,토투_휠윈드2,561,2,7082,0,544,100,2027,3000,0,0,0,0,0,0,546,50,0,0,2090,1,
3528000,프링_근거리(박치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3528001,프링_원거리(발사체),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3528002,프링_근접(점프충격),541,1,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,50,1010,10,0,0,
3528003,프링_근접(브레스)_희귀용,541,1,2018,4,2011,16777216,1008,10,2078,2,7281,1000,7291,1000,545,60,0,0,0,0,
3528004,프링_점프크래쉬_희귀용,541,0,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,30,0,0,551,1000,
3528005,프링_휠윈드,541,0,2018,4,2011,16777216,1008,10,2078,2,0,0,1007,4,545,60,0,0,551,1000,
3528006,프링_근접(브레스)_희귀용2,561,130,7082,0,544,170,2027,1100,542,1,2080,10000,1007,4,546,60,0,0,2090,1,
3528007,프링_점프크래쉬_희귀용2,544,60,561,160,0,0,0,0,0,0,2080,18000,0,0,0,0,0,0,2090,3,
3528008,프링_휠윈드2,561,2,7082,0,544,120,2027,3000,0,0,0,0,0,0,546,60,0,0,2090,1,
3529000,무찌_근거리(무기치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3529001,무찌_근거리(소리지르기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3529002,무찌_원거리(해골발사),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3529003,무찌_원거리(불꽃발사),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3529004,무찌_브래스,541,1,2018,4,2011,16777216,1008,10,2078,2,7281,1000,7291,1000,545,60,0,0,0,0,
3529005,무찌_브래스2,561,130,7082,0,544,170,2027,2027,542,1,2080,10000,1007,4,546,60,0,0,2090,1,
3529900,정예_프로켈_근거리(휘두르기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3529901,정예_프로켈_근거리(내려치기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3529902,정예_프로켈_원거리(마법발사),541,1,2018,4,0,0,2011,16777218,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
3529903,정예_프로켈_원거리(무기던지고받기),541,1,2018,4,0,0,2011,16777218,1007,99,7281,5,7291,5,545,40,0,0,2090,1,
3529904,정예_프로켈_브래스,541,1,2018,4,2011,16777216,1008,10,2078,2,7281,1000,7291,1000,545,60,0,0,0,0,
3529905,정예_프로켈_원거리(무기던지고받기)2,3093,2,3094,0,3095,3,0,0,3067,99,0,0,0,0,0,0,0,0,0,0,
3529906,정예_프로켈_브래스2,561,130,7082,0,544,170,2027,1400,542,1,2080,10000,1007,4,546,60,0,0,2090,1,
3530100,스케마_근거리(팔 휘두르기),541,1,2018,4,561,2,2011,16777216,1007,1,7281,2,7291,2,545,20,2027,1200,2090,1,
3530101,스케마_근거리(망치내려찍기),541,1,2018,4,0,0,2011,16777216,1007,1,7281,2,7291,2,545,20,0,0,2090,1,
