f_NationCodeStr,MonsterAbilNo,Memo,Type01,Value01,Type02,Value02,Type03,Value03,Type04,Value04,Type05,Value05,Type06,Value06,Type07,Value07,Type08,Value08,Type09,Value09,Type10,Value10
0,114,늑대_튜토리얼 미친 1레벨,7001,320,7021,2750,7351,0,7091,110,7361,0,7101,142,7221,30,7231,35,7331,39,7341,35
0,115,늑대_튜토리얼 미친 능력치1,3053,0,4007,1,507,1,3031,2000,3032,6000,3034,2,3039,0,0,0,259,60,206,9000
0,116,늑대_튜토리얼 미친 능력치2,7081,52,3003,100,3004,100,3051,3000,2042,0,2020,2600,3007,6000,0,0,0,0,3044,100002102
0,117,늑대_튜토리얼 미친 능력치3,7222,0,7232,0,7332,0,7342,0,7092,0,7102,0,7002,0,3045,9000,0,0,3070,800
0,118,늑대_튜토리얼 미친 스킬,3008,2,3010,6004200,3020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,119,늑대_튜토리얼 미친 드롭가방,3056,90000,3041,150000010,3042,0,3081,0,3082,1,0,0,0,0,0,0,0,0,0,0
0,120,공정선 팀 1번,505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,121,공정선 팀 2번,505,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,130,보스 타입 설정,4007,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,701,F7 1번 방향,3292,1,3293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,702,F7 2번 방향,3292,2,3293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,708,F7 몬스터 기본 어빌 - 보너스 몬스터,4199,1,4200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,709,F7 몬스터 기본 어빌 - 데미지 감소/돈드롭0%,7771,10000,7772,0,7773,0,7781,10000,7782,0,7783,0,0,0,3182,120,534,0,0,0
0,711,F7 소형,507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089402,7081,60
0,712,F7 중형,507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089402,7081,45
0,713,F7 대형,507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089403,7081,30
0,714,F7 희귀,507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089404,7081,20
0,715,F7 정예,507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089405,7081,20
0,721,F7 소형 (발렌타인 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089502,7081,60
0,722,F7 중형 (발렌타인 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089502,7081,45
0,723,F7 대형 (발렌타인 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089503,7081,30
0,724,F7 희귀 (발렌타인 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089504,7081,20
0,725,F7 정예 (발렌타인 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089505,7081,20
0,726,F7 소형 (별자리 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089702,7081,60
0,727,F7 중형 (별자리 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089702,7081,45
0,728,F7 대형 (별자리 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089703,7081,30
0,729,F7 희귀 (별자리 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089704,7081,20
0,730,F7 정예 (별자리 용),507,15,3007,1,522,0,3039,101,206,10000,3182,120,6015,1,3020,100,3010,6089705,7081,20
0,3000,슈퍼던전(일반대미궁정예40),3056,10010,3041,2000280,3042,0,3081,4,3082,4,3083,15,3084,20,3210,6125100,0,0,0,0
0,3001,진실의탑 설명,5001,66023900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3002,아르카(망자의탑) Lv69,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500010,7002,7900
0,3003,아르가 설명(망자의탑),5001,66023900,5051,50801620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3004,슈퍼던전(일반대미궁정예39),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125200,0,0,0,0
0,3005,진실의탑 설명,5001,66023900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3006,파타누스(망자의탑) Lv69,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500020,7002,7900
0,3007,파타누스(망자의탑) 설명,5001,66023900,5051,50801630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3008,슈퍼던전(일반대미궁정예48),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125300,0,0,0,0
0,3009,진실의탑 설명,5001,66023900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3010,카르카로스(망자의탑) Lv69,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500030,7002,7900
0,3011,카르카로스(망자의탑) 설명,5001,66023900,5051,50801640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3012,슈퍼던전(일반대미궁정예44),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125400,0,0,0,0
0,3013,나무꾼 폴 버나언(망자의탑) Lv70,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500040,7002,7900
0,3014,나무꾼 폴 버나언(망자의탑) 설명,5001,66023900,5051,50801650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3015,슈퍼던전(일반대미궁정예42),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125500,0,0,0,0
0,3016,엘루만(망자의탑) Lv70,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500050,7002,7900
0,3017,엘루만(망자의탑) 설명,5001,66023900,5051,50801660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3018,슈퍼던전(일반대미궁정예46),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125600,0,0,0,0
0,3019,벨라(망자의탑) Lv70,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500060,7002,7900
0,3020,벨라(망자의탑) 설명,5001,66023900,5051,50801670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3021,슈퍼던전(일반대미궁정예47),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125700,0,0,0,0
0,3022,로커(망자의탑) Lv71,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500080,7002,7900
0,3023,로커(망자의탑) 설명,5001,66023900,5051,50801690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3024,슈퍼던전(일반대미궁정예49),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125800,0,0,0,0
0,3025,로드 오브나이트(망자의탑) Lv71,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500090,7002,7900
0,3026,로드 오브나이트(망자의탑) 설명,5001,66023900,5051,50801700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3027,슈퍼던전(일반대미궁정예41),3056,10010,3041,2000280,3042,0,3081,3,3082,3,3083,15,3084,20,3210,6125900,0,0,0,0
0,3028,아티스(망자의탑) Lv71,3056,10010,3041,6125100,3042,0,3081,4,3082,4,3083,15,3084,20,3085,200,3210,3500070,7002,7900
0,3029,아티스(망자의탑),5001,66023900,5051,50801680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100010,(0)밸런스1일반LV001 1 전투 (기본) [12_03 전투개선],1,1,7311,0,7001,386,7021,5500,7091,110,7101,110,7221,30,7231,27,7331,36,7341,36
0,100011,(0)밸런스1일반LV001 2 전투+돈 [12_03 전투개선],7131,147,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,1,513,3,3033,60
0,100012,"(0)밸런스1일반LV001 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,147,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100020,(0)밸런스1일반LV002 1 전투 (기본) [12_03 전투개선],1,2,7311,0,7001,403,7021,5700,7091,130,7101,130,7221,32,7231,29,7331,39,7341,39
0,100021,(0)밸런스1일반LV002 2 전투+돈 [12_03 전투개선],7131,162,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,1,513,3,3033,100
0,100022,"(0)밸런스1일반LV002 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,162,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100030,(0)밸런스1일반LV003 1 전투 (기본) [12_03 전투개선],1,3,7311,0,7001,420,7021,5900,7091,150,7101,150,7221,38,7231,34,7331,45,7341,45
0,100031,(0)밸런스1일반LV003 2 전투+돈 [12_03 전투개선],7131,179,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,1,513,3,3033,140
0,100032,"(0)밸런스1일반LV003 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,179,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100040,(0)밸런스1일반LV004 1 전투 (기본) [12_03 전투개선],1,4,7311,0,7001,428,7021,6000,7091,170,7101,170,7221,44,7231,40,7331,53,7341,53
0,100041,(0)밸런스1일반LV004 2 전투+돈 [12_03 전투개선],7131,195,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,1,513,3,3033,180
0,100042,"(0)밸런스1일반LV004 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,195,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100050,(0)밸런스1일반LV005 1 전투 (기본) [12_03 전투개선],1,5,7311,0,7001,652,7021,6200,7091,190,7101,190,7221,49,7231,44,7331,59,7341,59
0,100051,(0)밸런스1일반LV005 2 전투+돈 [12_03 전투개선],7131,212,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,1,513,3,3033,220
0,100052,"(0)밸런스1일반LV005 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,212,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100060,(0)밸런스1일반LV006 1 전투 (기본) [12_03 전투개선],1,6,7311,0,7001,672,7021,6400,7091,210,7101,210,7221,60,7231,54,7331,72,7341,72
0,100061,(0)밸런스1일반LV006 2 전투+돈 [12_03 전투개선],7131,225,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,4,513,6,3033,260
0,100062,"(0)밸런스1일반LV006 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,225,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100070,(0)밸런스1일반LV007 1 전투 (기본) [12_03 전투개선],1,7,7311,0,7001,681,7021,9000,7091,230,7101,230,7221,68,7231,61,7331,81,7341,81
0,100071,(0)밸런스1일반LV007 2 전투+돈 [12_03 전투개선],7131,238,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,4,513,6,3033,300
0,100072,"(0)밸런스1일반LV007 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,238,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100080,(0)밸런스1일반LV008 1 전투 (기본) [12_03 전투개선],1,8,7311,0,7001,700,7021,9200,7091,250,7101,250,7221,76,7231,68,7331,91,7341,91
0,100081,(0)밸런스1일반LV008 2 전투+돈 [12_03 전투개선],7131,250,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,4,513,6,3033,340
0,100082,"(0)밸런스1일반LV008 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,250,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100090,(0)밸런스1일반LV009 1 전투 (기본) [12_03 전투개선],1,9,7311,0,7001,801,7021,9320,7091,272,7101,272,7221,84,7231,76,7331,101,7341,101
0,100091,(0)밸런스1일반LV009 2 전투+돈 [12_03 전투개선],7131,262,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,4,513,6,3033,380
0,100092,"(0)밸런스1일반LV009 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,262,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100100,(0)밸런스1일반LV010 1 전투 (기본) [12_03 전투개선],1,10,7311,0,7001,1205,7021,11820,7091,281,7101,281,7221,92,7231,83,7331,111,7341,111
0,100101,(0)밸런스1일반LV010 2 전투+돈 [12_03 전투개선],7131,274,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,4,513,6,3033,420
0,100102,"(0)밸런스1일반LV010 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,274,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100110,(0)밸런스1일반LV011 1 전투 (기본) [12_03 전투개선],1,11,7311,17,7001,1274,7021,12600,7091,290,7101,290,7221,100,7231,90,7331,120,7341,120
0,100111,(0)밸런스1일반LV011 2 전투+돈 [12_03 전투개선],7131,284,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,7,513,9,3033,460
0,100112,"(0)밸런스1일반LV011 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,284,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100120,(0)밸런스1일반LV012 1 전투 (기본) [12_03 전투개선],1,12,7311,33,7001,1339,7021,13320,7091,300,7101,300,7221,104,7231,94,7331,125,7341,125
0,100121,(0)밸런스1일반LV012 2 전투+돈 [12_03 전투개선],7131,295,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,7,513,9,3033,500
0,100122,"(0)밸런스1일반LV012 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,295,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100130,(0)밸런스1일반LV013 1 전투 (기본) [12_03 전투개선],1,13,7311,49,7001,1548,7021,13920,7091,310,7101,310,7221,110,7231,99,7331,132,7341,132
0,100131,(0)밸런스1일반LV013 2 전투+돈 [12_03 전투개선],7131,305,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,7,513,9,3033,540
0,100132,"(0)밸런스1일반LV013 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,305,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100140,(0)밸런스1일반LV014 1 전투 (기본) [12_03 전투개선],1,14,7311,65,7001,1620,7021,17400,7091,320,7101,320,7221,119,7231,107,7331,143,7341,143
0,100141,(0)밸런스1일반LV014 2 전투+돈 [12_03 전투개선],7131,315,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,7,513,9,3033,580
0,100142,"(0)밸런스1일반LV014 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,315,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100150,(0)밸런스1일반LV015 1 전투 (기본) [12_03 전투개선],1,15,7311,80,7001,2251,7021,18060,7091,331,7101,331,7221,128,7231,115,7331,153,7341,153
0,100151,(0)밸런스1일반LV015 2 전투+돈 [12_03 전투개선],7131,324,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,7,513,9,3033,620
0,100152,"(0)밸런스1일반LV015 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,324,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100160,(0)밸런스1일반LV016 1 전투 (기본) [12_03 전투개선],1,16,7311,101,7001,2306,7021,18620,7091,342,7101,342,7221,140,7231,126,7331,168,7341,168
0,100161,(0)밸런스1일반LV016 2 전투+돈 [12_03 전투개선],7131,354,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,10,513,12,3033,660
0,100162,"(0)밸런스1일반LV016 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,354,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100170,(0)밸런스1일반LV017 1 전투 (기본) [12_03 전투개선],1,17,7311,124,7001,2610,7021,19280,7091,353,7101,353,7221,150,7231,135,7331,180,7341,180
0,100171,(0)밸런스1일반LV017 2 전투+돈 [12_03 전투개선],7131,385,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,10,513,12,3033,700
0,100172,"(0)밸런스1일반LV017 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,385,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100180,(0)밸런스1일반LV018 1 전투 (기본) [12_03 전투개선],1,18,7311,149,7001,2679,7021,19920,7091,365,7101,365,7221,160,7231,144,7331,192,7341,192
0,100181,(0)밸런스1일반LV018 2 전투+돈 [12_03 전투개선],7131,418,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,10,513,12,3033,740
0,100182,"(0)밸런스1일반LV018 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,418,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100190,(0)밸런스1일반LV019 1 전투 (기본) [12_03 전투개선],1,19,7311,175,7001,2735,7021,20420,7091,377,7101,377,7221,170,7231,153,7331,204,7341,204
0,100191,(0)밸런스1일반LV019 2 전투+돈 [12_03 전투개선],7131,453,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,10,513,12,3033,780
0,100192,"(0)밸런스1일반LV019 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,453,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100200,(0)밸런스1일반LV020 1 전투 (기본) [12_03 전투개선],1,20,7311,203,7001,3682,7021,24500,7091,390,7101,390,7221,181,7231,163,7331,217,7341,217
0,100201,(0)밸런스1일반LV020 2 전투+돈 [12_03 전투개선],7131,489,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,10,513,12,3033,820
0,100202,"(0)밸런스1일반LV020 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,489,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100210,(0)밸런스1일반LV021 1 전투 (기본) [12_03 전투개선],1,21,7311,233,7001,4086,7021,29500,7091,403,7101,403,7221,192,7231,173,7331,231,7341,231
0,100211,(0)밸런스1일반LV021 2 전투+돈 [12_03 전투개선],7131,528,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,13,513,15,3033,860
0,100212,"(0)밸런스1일반LV021 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,528,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100220,(0)밸런스1일반LV022 1 전투 (기본) [12_03 전투개선],1,22,7311,263,7001,4135,7021,29980,7091,417,7101,417,7221,203,7231,183,7331,244,7341,244
0,100221,(0)밸런스1일반LV022 2 전투+돈 [12_03 전투개선],7131,562,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,13,513,15,3033,900
0,100222,"(0)밸런스1일반LV022 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,562,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100230,(0)밸런스1일반LV023 1 전투 (기본) [12_03 전투개선],1,23,7311,289,7001,4199,7021,30600,7091,431,7101,431,7221,214,7231,193,7331,257,7341,257
0,100231,(0)밸런스1일반LV023 2 전투+돈 [12_03 전투개선],7131,586,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,13,513,15,3033,940
0,100232,"(0)밸런스1일반LV023 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,586,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100240,(0)밸런스1일반LV024 1 전투 (기본) [12_03 전투개선],1,24,7311,314,7001,4256,7021,31160,7091,446,7101,446,7221,227,7231,204,7331,272,7341,272
0,100241,(0)밸런스1일반LV024 2 전투+돈 [12_03 전투개선],7131,611,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,13,513,15,3033,980
0,100242,"(0)밸런스1일반LV024 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,611,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100250,(0)밸런스1일반LV025 1 전투 (기본) [12_03 전투개선],1,25,7311,341,7001,5859,7021,31580,7091,461,7101,461,7221,239,7231,215,7331,287,7341,287
0,100251,(0)밸런스1일반LV025 2 전투+돈 [12_03 전투개선],7131,636,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,13,513,15,3033,1020
0,100252,"(0)밸런스1일반LV025 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,636,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100260,(0)밸런스1일반LV026 1 전투 (기본) [12_03 전투개선],1,26,7311,368,7001,5915,7021,32080,7091,477,7101,477,7221,251,7231,226,7331,301,7341,301
0,100261,(0)밸런스1일반LV026 2 전투+돈 [12_03 전투개선],7131,661,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,16,513,18,3033,1060
0,100262,"(0)밸런스1일반LV026 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,661,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100270,(0)밸런스1일반LV027 1 전투 (기본) [12_03 전투개선],1,27,7311,395,7001,5971,7021,32580,7091,493,7101,493,7221,263,7231,237,7331,316,7341,316
0,100271,(0)밸런스1일반LV027 2 전투+돈 [12_03 전투개선],7131,686,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,16,513,18,3033,1100
0,100272,"(0)밸런스1일반LV027 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,686,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100280,(0)밸런스1일반LV028 1 전투 (기본) [12_03 전투개선],1,28,7311,423,7001,6006,7021,38780,7091,510,7101,510,7221,277,7231,249,7331,332,7341,332
0,100281,(0)밸런스1일반LV028 2 전투+돈 [12_03 전투개선],7131,712,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,16,513,18,3033,1140
0,100282,"(0)밸런스1일반LV028 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,712,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100290,(0)밸런스1일반LV029 1 전투 (기본) [12_03 전투개선],1,29,7311,452,7001,6521,7021,39220,7091,527,7101,527,7221,290,7231,261,7331,348,7341,348
0,100291,(0)밸런스1일반LV029 2 전투+돈 [12_03 전투개선],7131,739,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,16,513,18,3033,1180
0,100292,"(0)밸런스1일반LV029 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,739,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100300,(0)밸런스1일반LV030 1 전투 (기본) [12_03 전투개선],1,30,7311,481,7001,8097,7021,45280,7091,545,7101,545,7221,303,7231,273,7331,364,7341,364
0,100301,(0)밸런스1일반LV030 2 전투+돈 [12_03 전투개선],7131,766,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,16,513,18,3033,1220
0,100302,"(0)밸런스1일반LV030 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,766,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100310,(0)밸런스1일반LV031 1 전투 (기본) [12_03 전투개선],1,31,7311,510,7001,8121,7021,45500,7091,564,7101,564,7221,318,7231,286,7331,381,7341,381
0,100311,(0)밸런스1일반LV031 2 전투+돈 [12_03 전투개선],7131,793,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,19,513,21,3033,1260
0,100312,"(0)밸런스1일반LV031 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,793,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100320,(0)밸런스1일반LV032 1 전투 (기본) [12_03 전투개선],1,32,7311,540,7001,8161,7021,45880,7091,583,7101,583,7221,332,7231,299,7331,399,7341,399
0,100321,(0)밸런스1일반LV032 2 전투+돈 [12_03 전투개선],7131,820,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,19,513,21,3033,1300
0,100322,"(0)밸런스1일반LV032 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,820,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
0,100330,(0)밸런스1일반LV033 1 전투 (기본) [12_03 전투개선],1,33,7311,571,7001,8780,7021,46200,7091,603,7101,603,7221,347,7231,312,7331,416,7341,416
0,100331,(0)밸런스1일반LV033 2 전투+돈 [12_03 전투개선],7131,848,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,19,513,21,3033,1340
0,100332,"(0)밸런스1일반LV033 4 전투+돈(돈,경험치X) [12_03 전투개선]",7131,848,4007,1,0,0,522,2,7351,0,7361,0,534,9000,565,0,513,0,3033,1
