IDX,Memo,BagNo,MonNo01,MonNo02,MonNo03,MonNo04,MonNo05,MonNo06,MonNo07,MonNo08,MonNo09,MonNo10
53,유혹의 설원 펜리르 Lv58 (희귀)                                                                                ,900040,6600701,0,0,0,0,0,0,0,0,0
54,얼음 협곡 안드바리 Lv60 (희귀)                                                                                ,900041,6600801,0,0,0,0,0,0,0,0,0
55,대강당 유벨 Lv63 (희귀)                                                                                    ,900042,6601101,0,0,0,0,0,0,0,0,0
56,중앙 기관실 아스완 Lv64 (희귀)                                                                                ,900043,6600901,0,0,0,0,0,0,0,0,0
57,달빛 테라스 다크버스트 Lv65 (희귀)                                                                              ,900044,6601201,0,0,0,0,0,0,0,0,0
58,테스트 46                                                                                              ,900045,6034176,0,0,0,0,0,0,0,0,0
59,테스트 47                                                                                              ,900046,6034276,0,0,0,0,0,0,0,0,0
60,테스트 48                                                                                              ,900047,6034379,0,0,0,0,0,0,0,0,0
61,테스트 49                                                                                              ,900048,6035150,0,0,0,0,0,0,0,0,0
62,테스트 50                                                                                              ,900049,6036163,0,0,0,0,0,0,0,0,0
63,테스트 51                                                                                              ,900050,6037160,0,0,0,0,0,0,0,0,0
64,테스트 52                                                                                              ,900051,6038145,0,0,0,0,0,0,0,0,0
65,테스트 53                                                                                              ,900052,6039172,0,0,0,0,0,0,0,0,0
66,테스트 54                                                                                              ,900053,6039272,0,0,0,0,0,0,0,0,0
67,테스트 55                                                                                              ,900054,6039472,0,0,0,0,0,0,0,0,0
68,테스트 56                                                                                              ,900055,6016140,0,0,0,0,0,0,0,0,0
69,테스트 57                                                                                              ,900056,6016240,0,0,0,0,0,0,0,0,0
70,테스트 58                                                                                              ,900057,6016341,0,0,0,0,0,0,0,0,0
71,테스트 59                                                                                              ,900058,6017145,0,0,0,0,0,0,0,0,0
72,테스트 60                                                                                              ,900059,6018145,0,0,0,0,0,0,0,0,0
73,테스트 61                                                                                              ,900060,6018245,0,0,0,0,0,0,0,0,0
74,테스트 62                                                                                              ,900061,6018345,0,0,0,0,0,0,0,0,0
75,테스트 63                                                                                              ,900062,6018948,0,0,0,0,0,0,0,0,0
76,테스트 64                                                                                              ,900063,6019155,0,0,0,0,0,0,0,0,0
77,테스트 65                                                                                              ,900064,6019258,0,0,0,0,0,0,0,0,0
78,테스트 66                                                                                              ,900065,6019355,0,0,0,0,0,0,0,0,0
79,테스트 67                                                                                              ,900066,6008469,0,0,0,0,0,0,0,0,0
80,테스트 68                                                                                              ,900067,6008569,0,0,0,0,0,0,0,0,0
81,테스트 69                                                                                              ,900068,6008669,0,0,0,0,0,0,0,0,0
82,테스트 70                                                                                              ,900069,6012250,0,0,0,0,0,0,0,0,0
83,테스트 71                                                                                              ,900070,6012350,0,0,0,0,0,0,0,0,0
84,테스트 72                                                                                              ,900071,6015140,0,0,0,0,0,0,0,0,0
85,테스트 73                                                                                              ,900072,6015340,0,0,0,0,0,0,0,0,0
86,테스트 74                                                                                              ,900073,6029122,0,0,0,0,0,0,0,0,0
87,테스트 75                                                                                              ,900074,6029222,0,0,0,0,0,0,0,0,0
88,테스트 76                                                                                              ,900075,6014738,0,0,0,0,0,0,0,0,0
89,테스트 77                                                                                              ,900076,6014838,0,0,0,0,0,0,0,0,0
90,테스트 78                                                                                              ,900077,6014427,0,0,0,0,0,0,0,0,0
91,테스트 79                                                                                              ,900078,6014527,0,0,0,0,0,0,0,0,0
92,테스트 80                                                                                              ,900079,6014627,0,0,0,0,0,0,0,0,0
93,KK 드래곤 Lv7                                                                                          ,900101,6002007,0,0,0,0,0,0,0,0,0
94,KK 드래곤 Lv7                                                                                          ,900102,6002007,0,0,0,0,0,0,0,0,0
95,KK 드래곤 Lv9                                                                                          ,900103,6002009,0,0,0,0,0,0,0,0,0
96,KK 드래곤 Lv16                                                                                         ,900104,6002016,0,0,0,0,0,0,0,0,0
97,KK 드래곤 Lv21                                                                                         ,900105,6002021,0,0,0,0,0,0,0,0,0
98,KK 드래곤 Lv14                                                                                         ,900106,6002014,0,0,0,0,0,0,0,0,0
99,KK 드래곤 Lv22                                                                                         ,900107,6002022,0,0,0,0,0,0,0,0,0
100,KK 드래곤 Lv15                                                                                         ,900108,6002015,0,0,0,0,0,0,0,0,0
101,KK 드래곤 Lv27                                                                                         ,900109,6002027,0,0,0,0,0,0,0,0,0
102,KK 드래곤 Lv31                                                                                         ,900110,6002031,0,0,0,0,0,0,0,0,0
103,KK 드래곤 Lv26                                                                                         ,900111,6002026,0,0,0,0,0,0,0,0,0
104,KK 드래곤 Lv24                                                                                         ,900112,6002024,0,0,0,0,0,0,0,0,0
105,KK 드래곤 Lv31                                                                                         ,900113,6002031,0,0,0,0,0,0,0,0,0
106,KK 드래곤 Lv30                                                                                         ,900114,6002030,0,0,0,0,0,0,0,0,0
107,KK 드래곤 Lv36                                                                                         ,900115,6002036,0,0,0,0,0,0,0,0,0
108,KK 드래곤 Lv34                                                                                         ,900116,6002034,0,0,0,0,0,0,0,0,0
109,KK 드래곤 Lv35                                                                                         ,900117,6002035,0,0,0,0,0,0,0,0,0
110,KK 드래곤 Lv37                                                                                         ,900118,6002037,0,0,0,0,0,0,0,0,0
111,KK 드래곤 Lv41                                                                                         ,900119,6002041,0,0,0,0,0,0,0,0,0
112,KK 드래곤 Lv38                                                                                         ,900120,6002038,0,0,0,0,0,0,0,0,0
113,KK 드래곤 Lv41                                                                                         ,900121,6002041,0,0,0,0,0,0,0,0,0
114,KK 드래곤 Lv44                                                                                         ,900122,6002044,0,0,0,0,0,0,0,0,0
115,KK 드래곤 Lv43                                                                                         ,900123,6002043,0,0,0,0,0,0,0,0,0
116,KK 드래곤 Lv45                                                                                         ,900124,6002045,0,0,0,0,0,0,0,0,0
117,KK 드래곤 Lv46                                                                                         ,900125,6002046,0,0,0,0,0,0,0,0,0
118,KK 드래곤 Lv48                                                                                         ,900126,6002048,0,0,0,0,0,0,0,0,0
119,KK 드래곤 Lv46                                                                                         ,900127,6002046,0,0,0,0,0,0,0,0,0
120,KK 드래곤 Lv47                                                                                         ,900128,6002047,0,0,0,0,0,0,0,0,0
121,KK 드래곤 Lv49                                                                                         ,900129,6002049,0,0,0,0,0,0,0,0,0
122,KK 드래곤 Lv50                                                                                         ,900130,6002050,0,0,0,0,0,0,0,0,0
123,KK 드래곤 Lv51                                                                                         ,900131,6002051,0,0,0,0,0,0,0,0,0
124,KK 드래곤 Lv52                                                                                         ,900132,6002052,0,0,0,0,0,0,0,0,0
125,KK 드래곤 Lv48                                                                                         ,900133,6002048,0,0,0,0,0,0,0,0,0
126,KK 드래곤 Lv50                                                                                         ,900134,6002050,0,0,0,0,0,0,0,0,0
127,KK 드래곤 Lv52                                                                                         ,900135,6002052,0,0,0,0,0,0,0,0,0
128,KK 드래곤 Lv51                                                                                         ,900136,6002051,0,0,0,0,0,0,0,0,0
129,KK 드래곤 Lv53                                                                                         ,900137,6002053,0,0,0,0,0,0,0,0,0
130,KK 드래곤 Lv54                                                                                         ,900138,6002054,0,0,0,0,0,0,0,0,0
131,KK 드래곤 Lv55                                                                                         ,900139,6002055,0,0,0,0,0,0,0,0,0
132,KK 드래곤 Lv56                                                                                         ,900140,6002056,0,0,0,0,0,0,0,0,0
133,KK 드래곤 Lv58                                                                                         ,900141,6002058,0,0,0,0,0,0,0,0,0
134,KK 드래곤 Lv60                                                                                         ,900142,6002060,0,0,0,0,0,0,0,0,0
135,드라큘라 Lv7                                                                                            ,900201,6603307,0,0,0,0,0,0,0,0,0
136,드라큘라 Lv7                                                                                            ,900202,6603307,0,0,0,0,0,0,0,0,0
137,드라큘라 Lv9                                                                                            ,900203,6603309,0,0,0,0,0,0,0,0,0
138,드라큘라 Lv16                                                                                           ,900204,6603316,0,0,0,0,0,0,0,0,0
139,드라큘라 Lv21                                                                                           ,900205,6603321,0,0,0,0,0,0,0,0,0
140,드라큘라 Lv14                                                                                           ,900206,6603314,0,0,0,0,0,0,0,0,0
141,드라큘라 Lv22                                                                                           ,900207,6603322,0,0,0,0,0,0,0,0,0
142,드라큘라 Lv15                                                                                           ,900208,6603315,0,0,0,0,0,0,0,0,0
143,드라큘라 Lv27                                                                                           ,900209,6603327,0,0,0,0,0,0,0,0,0
144,드라큘라 Lv31                                                                                           ,900210,6603331,0,0,0,0,0,0,0,0,0
145,드라큘라 Lv26                                                                                           ,900211,6603326,0,0,0,0,0,0,0,0,0
146,드라큘라 Lv24                                                                                           ,900212,6603324,0,0,0,0,0,0,0,0,0
147,드라큘라 Lv31                                                                                           ,900213,6603331,0,0,0,0,0,0,0,0,0
148,드라큘라 Lv30                                                                                           ,900214,6603330,0,0,0,0,0,0,0,0,0
149,드라큘라 Lv36                                                                                           ,900215,6603336,0,0,0,0,0,0,0,0,0
150,드라큘라 Lv34                                                                                           ,900216,6603334,0,0,0,0,0,0,0,0,0
151,드라큘라 Lv35                                                                                           ,900217,6603335,0,0,0,0,0,0,0,0,0
152,드라큘라 Lv37                                                                                           ,900218,6603337,0,0,0,0,0,0,0,0,0
153,드라큘라 Lv41                                                                                           ,900219,6603341,0,0,0,0,0,0,0,0,0
154,드라큘라 Lv38                                                                                           ,900220,6603338,0,0,0,0,0,0,0,0,0
155,드라큘라 Lv41                                                                                           ,900221,6603341,0,0,0,0,0,0,0,0,0
156,드라큘라 Lv44                                                                                           ,900222,6603344,0,0,0,0,0,0,0,0,0
157,드라큘라 Lv43                                                                                           ,900223,6603343,0,0,0,0,0,0,0,0,0
158,드라큘라 Lv45                                                                                           ,900224,6603345,0,0,0,0,0,0,0,0,0
159,드라큘라 Lv46                                                                                           ,900225,6603346,0,0,0,0,0,0,0,0,0
160,드라큘라 Lv48                                                                                           ,900226,6603348,0,0,0,0,0,0,0,0,0
161,드라큘라 Lv46                                                                                           ,900227,6603346,0,0,0,0,0,0,0,0,0
162,드라큘라 Lv47                                                                                           ,900228,6603347,0,0,0,0,0,0,0,0,0
163,드라큘라 Lv49                                                                                           ,900229,6603349,0,0,0,0,0,0,0,0,0
164,드라큘라 Lv50                                                                                           ,900230,6603350,0,0,0,0,0,0,0,0,0
165,드라큘라 Lv51                                                                                           ,900231,6603351,0,0,0,0,0,0,0,0,0
166,드라큘라 Lv52                                                                                           ,900232,6603352,0,0,0,0,0,0,0,0,0
167,드라큘라 Lv48                                                                                           ,900233,6603348,0,0,0,0,0,0,0,0,0
168,드라큘라 Lv50                                                                                           ,900234,6603350,0,0,0,0,0,0,0,0,0
169,드라큘라 Lv52                                                                                           ,900235,6603352,0,0,0,0,0,0,0,0,0
170,드라큘라 Lv51                                                                                           ,900236,6603351,0,0,0,0,0,0,0,0,0
171,드라큘라 Lv53                                                                                           ,900237,6603353,0,0,0,0,0,0,0,0,0
172,드라큘라 Lv54                                                                                           ,900238,6603354,0,0,0,0,0,0,0,0,0
173,드라큘라 Lv55                                                                                           ,900239,6603355,0,0,0,0,0,0,0,0,0
174,드라큘라 Lv56                                                                                           ,900240,6603356,0,0,0,0,0,0,0,0,0
175,드라큘라 Lv58                                                                                           ,900241,6603358,0,0,0,0,0,0,0,0,0
176,드라큘라 Lv60                                                                                           ,900242,6603360,0,0,0,0,0,0,0,0,0
177,드라큘라 Lv62                                                                                           ,900243,6603362,0,0,0,0,0,0,0,0,0
178,드라큘라 Lv64                                                                                           ,900244,6603364,0,0,0,0,0,0,0,0,0
179,드라큘라 Lv66                                                                                           ,900245,6603366,0,0,0,0,0,0,0,0,0
180,드라큘라 Lv68                                                                                           ,900246,6603368,0,0,0,0,0,0,0,0,0
181,드라큘라 Lv70                                                                                           ,900247,6603370,0,0,0,0,0,0,0,0,0
182,드라큘라 Lv72                                                                                           ,900248,6603372,0,0,0,0,0,0,0,0,0
183,늑대인간 Lv7                                                                                            ,900301,6603407,0,0,0,0,0,0,0,0,0
184,늑대인간 Lv7                                                                                            ,900302,6603407,0,0,0,0,0,0,0,0,0
185,늑대인간 Lv9                                                                                            ,900303,6603409,0,0,0,0,0,0,0,0,0
186,늑대인간 Lv16                                                                                           ,900304,6603416,0,0,0,0,0,0,0,0,0
187,늑대인간 Lv21                                                                                           ,900305,6603421,0,0,0,0,0,0,0,0,0
188,늑대인간 Lv14                                                                                           ,900306,6603414,0,0,0,0,0,0,0,0,0
189,늑대인간 Lv22                                                                                           ,900307,6603422,0,0,0,0,0,0,0,0,0
190,늑대인간 Lv15                                                                                           ,900308,6603415,0,0,0,0,0,0,0,0,0
191,늑대인간 Lv27                                                                                           ,900309,6603427,0,0,0,0,0,0,0,0,0
192,늑대인간 Lv31                                                                                           ,900310,6603431,0,0,0,0,0,0,0,0,0
193,늑대인간 Lv26                                                                                           ,900311,6603426,0,0,0,0,0,0,0,0,0
194,늑대인간 Lv24                                                                                           ,900312,6603424,0,0,0,0,0,0,0,0,0
195,늑대인간 Lv31                                                                                           ,900313,6603431,0,0,0,0,0,0,0,0,0
196,늑대인간 Lv30                                                                                           ,900314,6603430,0,0,0,0,0,0,0,0,0
197,늑대인간 Lv36                                                                                           ,900315,6603436,0,0,0,0,0,0,0,0,0
198,늑대인간 Lv34                                                                                           ,900316,6603434,0,0,0,0,0,0,0,0,0
199,늑대인간 Lv35                                                                                           ,900317,6603435,0,0,0,0,0,0,0,0,0
200,늑대인간 Lv37                                                                                           ,900318,6603437,0,0,0,0,0,0,0,0,0
201,늑대인간 Lv41                                                                                           ,900319,6603441,0,0,0,0,0,0,0,0,0
202,늑대인간 Lv38                                                                                           ,900320,6603438,0,0,0,0,0,0,0,0,0
203,늑대인간 Lv41                                                                                           ,900321,6603441,0,0,0,0,0,0,0,0,0
204,늑대인간 Lv44                                                                                           ,900322,6603444,0,0,0,0,0,0,0,0,0
205,늑대인간 Lv43                                                                                           ,900323,6603443,0,0,0,0,0,0,0,0,0
206,늑대인간 Lv45                                                                                           ,900324,6603445,0,0,0,0,0,0,0,0,0
207,늑대인간 Lv46                                                                                           ,900325,6603446,0,0,0,0,0,0,0,0,0
208,늑대인간 Lv48                                                                                           ,900326,6603448,0,0,0,0,0,0,0,0,0
209,늑대인간 Lv46                                                                                           ,900327,6603446,0,0,0,0,0,0,0,0,0
210,늑대인간 Lv47                                                                                           ,900328,6603447,0,0,0,0,0,0,0,0,0
211,늑대인간 Lv49                                                                                           ,900329,6603449,0,0,0,0,0,0,0,0,0
212,늑대인간 Lv50                                                                                           ,900330,6603450,0,0,0,0,0,0,0,0,0
213,늑대인간 Lv51                                                                                           ,900331,6603451,0,0,0,0,0,0,0,0,0
214,늑대인간 Lv52                                                                                           ,900332,6603452,0,0,0,0,0,0,0,0,0
215,늑대인간 Lv48                                                                                           ,900333,6603448,0,0,0,0,0,0,0,0,0
216,늑대인간 Lv50                                                                                           ,900334,6603450,0,0,0,0,0,0,0,0,0
217,늑대인간 Lv52                                                                                           ,900335,6603452,0,0,0,0,0,0,0,0,0
218,늑대인간 Lv51                                                                                           ,900336,6603451,0,0,0,0,0,0,0,0,0
219,늑대인간 Lv53                                                                                           ,900337,6603453,0,0,0,0,0,0,0,0,0
220,늑대인간 Lv54                                                                                           ,900338,6603454,0,0,0,0,0,0,0,0,0
221,늑대인간 Lv55                                                                                           ,900339,6603455,0,0,0,0,0,0,0,0,0
222,늑대인간 Lv56                                                                                           ,900340,6603456,0,0,0,0,0,0,0,0,0
223,늑대인간 Lv58                                                                                           ,900341,6603458,0,0,0,0,0,0,0,0,0
224,늑대인간 Lv60                                                                                           ,900342,6603460,0,0,0,0,0,0,0,0,0
225,늑대인간 Lv62                                                                                           ,900343,6603462,0,0,0,0,0,0,0,0,0
226,늑대인간 Lv64                                                                                           ,900344,6603464,0,0,0,0,0,0,0,0,0
227,늑대인간 Lv66                                                                                           ,900345,6603466,0,0,0,0,0,0,0,0,0
228,늑대인간 Lv68                                                                                           ,900346,6603468,0,0,0,0,0,0,0,0,0
229,늑대인간 Lv70                                                                                           ,900347,6603470,0,0,0,0,0,0,0,0,0
230,늑대인간 Lv72                                                                                           ,900348,6603472,0,0,0,0,0,0,0,0,0
9600,이벤트 테이블용 좌표 백넘버                                                                                     ,1000000,0,0,0,0,0,0,0,0,0,0
231,파란색 코어                                                                                              ,1930100,6000108,0,0,0,0,0,0,0,0,0
232,파란색 작은 코어                                                                                           ,1930101,6000109,0,0,0,0,0,0,0,0,0
233,붉은색 코어                                                                                              ,1930102,6000110,0,0,0,0,0,0,0,0,0
234,붉은색 작은 코어                                                                                           ,1930103,6000111,0,0,0,0,0,0,0,0,0
6802,하트퀸 (보스)  레벨                                                                                        ,3000321,6903701,0,0,0,0,0,0,0,0,0
235,용자의증표 Lv51 (배틀스퀘어 팀전)                                                                               ,9940001,6064751,0,0,0,0,0,0,0,0,0
236,용자의증표 Lv51 (배틀스퀘어 팀전)                                                                               ,9940002,6064752,0,0,0,0,0,0,0,0,0
237,용자의증표 Lv70 (배틀스퀘어 팀전)                                                                               ,9940003,6064753,0,0,0,0,0,0,0,0,0
238,용자의증표 Lv80 (배틀스퀘어 팀전)                                                                               ,9940004,6064754,0,0,0,0,0,0,0,0,0
9515,깃발거미 Lv35 (배틀스퀘어 팀전)_통합용                                                                            ,9940035,6064835,0,0,0,0,0,0,0,0,0
9516,깃발거미 Lv36 (배틀스퀘어 팀전)_통합용                                                                            ,9940036,6064836,0,0,0,0,0,0,0,0,0
9517,깃발거미 Lv37 (배틀스퀘어 팀전)_통합용                                                                            ,9940037,6064837,0,0,0,0,0,0,0,0,0
9519,깃발거미 Lv38 (배틀스퀘어 팀전)_통합용                                                                            ,9940038,6064838,0,0,0,0,0,0,0,0,0
9520,깃발거미 Lv39 (배틀스퀘어 팀전)_통합용                                                                            ,9940039,6064839,0,0,0,0,0,0,0,0,0
9521,깃발거미 Lv40 (배틀스퀘어 팀전)_통합용                                                                            ,9940040,6064840,0,0,0,0,0,0,0,0,0
9523,깃발거미 Lv41 (배틀스퀘어 팀전)_통합용                                                                            ,9940041,6064841,0,0,0,0,0,0,0,0,0
9524,깃발거미 Lv42 (배틀스퀘어 팀전)_통합용                                                                            ,9940042,6064842,0,0,0,0,0,0,0,0,0
9525,깃발거미 Lv43 (배틀스퀘어 팀전)_통합용                                                                            ,9940043,6064843,0,0,0,0,0,0,0,0,0
9527,깃발거미 Lv44 (배틀스퀘어 팀전)_통합용                                                                            ,9940044,6064844,0,0,0,0,0,0,0,0,0
9528,깃발거미 Lv45 (배틀스퀘어 팀전)_통합용                                                                            ,9940045,6064845,0,0,0,0,0,0,0,0,0
9529,깃발거미 Lv46 (배틀스퀘어 팀전)_통합용                                                                            ,9940046,6064846,0,0,0,0,0,0,0,0,0
9531,깃발거미 Lv47 (배틀스퀘어 팀전)_통합용                                                                            ,9940047,6064847,0,0,0,0,0,0,0,0,0
9532,깃발거미 Lv48 (배틀스퀘어 팀전)_통합용                                                                            ,9940048,6064848,0,0,0,0,0,0,0,0,0
9533,깃발거미 Lv49 (배틀스퀘어 팀전)_통합용                                                                            ,9940049,6064849,0,0,0,0,0,0,0,0,0
9535,깃발거미 Lv50 (배틀스퀘어 팀전)_통합용                                                                            ,9940050,6064850,0,0,0,0,0,0,0,0,0
9536,깃발거미 Lv51 (배틀스퀘어 팀전)_통합용                                                                            ,9940051,6064851,0,0,0,0,0,0,0,0,0
9537,깃발거미 Lv52 (배틀스퀘어 팀전)_통합용                                                                            ,9940052,6064852,0,0,0,0,0,0,0,0,0
9539,깃발거미 Lv53 (배틀스퀘어 팀전)_통합용                                                                            ,9940053,6064853,0,0,0,0,0,0,0,0,0
9540,깃발거미 Lv54 (배틀스퀘어 팀전)_통합용                                                                            ,9940054,6064854,0,0,0,0,0,0,0,0,0
9541,깃발거미 Lv55 (배틀스퀘어 팀전)_통합용                                                                            ,9940055,6064855,0,0,0,0,0,0,0,0,0
9543,깃발거미 Lv56 (배틀스퀘어 팀전)_통합용                                                                            ,9940056,6064856,0,0,0,0,0,0,0,0,0
9544,깃발거미 Lv57 (배틀스퀘어 팀전)_통합용                                                                            ,9940057,6064857,0,0,0,0,0,0,0,0,0
9545,깃발거미 Lv58 (배틀스퀘어 팀전)_통합용                                                                            ,9940058,6064858,0,0,0,0,0,0,0,0,0
9547,깃발거미 Lv59 (배틀스퀘어 팀전)_통합용                                                                            ,9940059,6064859,0,0,0,0,0,0,0,0,0
9549,깃발거미 Lv60 (배틀스퀘어 팀전)_통합용                                                                            ,9940060,6064860,0,0,0,0,0,0,0,0,0
9551,깃발거미 Lv61 (배틀스퀘어 팀전)_통합용                                                                            ,9940061,6064861,0,0,0,0,0,0,0,0,0
9553,깃발거미 Lv62 (배틀스퀘어 팀전)_통합용                                                                            ,9940062,6064862,0,0,0,0,0,0,0,0,0
9555,깃발거미 Lv63 (배틀스퀘어 팀전)_통합용                                                                            ,9940063,6064863,0,0,0,0,0,0,0,0,0
9557,깃발거미 Lv64 (배틀스퀘어 팀전)_통합용                                                                            ,9940064,6064864,0,0,0,0,0,0,0,0,0
9559,깃발거미 Lv65 (배틀스퀘어 팀전)_통합용                                                                            ,9940065,6064865,0,0,0,0,0,0,0,0,0
9561,깃발거미 Lv66 (배틀스퀘어 팀전)_통합용                                                                            ,9940066,6064866,0,0,0,0,0,0,0,0,0
9564,깃발거미 Lv67 (배틀스퀘어 팀전)_통합용                                                                            ,9940067,6064867,0,0,0,0,0,0,0,0,0
9566,깃발거미 Lv68 (배틀스퀘어 팀전)_통합용                                                                            ,9940068,6064868,0,0,0,0,0,0,0,0,0
9568,깃발거미 Lv69 (배틀스퀘어 팀전)_통합용                                                                            ,9940069,6064869,0,0,0,0,0,0,0,0,0
9570,깃발거미 Lv70 (배틀스퀘어 팀전)_통합용                                                                            ,9940070,6064870,0,0,0,0,0,0,0,0,0
