f_NationCodeStr,BagGroupNo,Memo,SuccessRateNo,BagNo01,BagNo02,BagNo03,BagNo04,BagNo05,BagNo06,BagNo07,BagNo08,BagNo09,BagNo10
0,40090,은 궤짝 LV.2,4090,1000071,100000,7000006,57000040,1000320,1000370,1000420,1000470,1000520,1000300
0,40091,은 궤짝 LV.2,4090,1000071,100000,7000006,57000040,520070,520070,530040,540070,570040,530040
1/2/6/9/23,40091,은 궤짝 LV.2,4090,1000071,100000,7000006,1000071,520070,520070,530040,540070,570040,530040
0,40100,금 궤짝 LV.2,4100,1000071,100000,7000006,57000040,1000330,1000380,1000430,1000480,1000530,1000310
0,40101,금 궤짝 LV.2,4100,1000071,100000,7000006,57000040,530060,530070,550050,570050,530060,530070
1/2/6/9/23,40101,금 궤짝 LV.2,4100,1000071,100000,7000006,1000071,530060,530070,550050,570050,530060,530070
0,40110,중급 나무 궤짝 25~36레벨,4110,1000081,100000,7000008,57000050,1000520,1000570,1000620,1000670,1000720,1000770
0,40111,중급 나무 궤짝 25~36레벨,4110,1000081,100000,7000008,57000050,510060,520080,520090,540080,540090,560060
1/2/6/9/23,40111,중급 나무 궤짝 25~36레벨,4110,1000081,100000,7000008,1000081,510060,520080,520090,540080,540090,560060
0,40120,청동 궤짝 LV.3,4120,1000081,100000,7000008,57000050,1000530,1000580,1000630,1000680,1000730,1000780
0,40121,청동 궤짝 LV.3,4120,1000081,100000,7000008,57000050,530080,530090,550060,570060,550060,570060
1/2/6/9/23,40121,청동 궤짝 LV.3,4120,1000081,100000,7000008,1000081,530080,530090,550060,570060,550060,570060
0,40130,구리 궤짝 LV.3,4130,1000081,100000,7000008,57000050,1000540,1000590,1000640,1000690,1000740,1000790
0,40131,구리 궤짝 LV.3,4130,1000081,100000,7000008,57000050,580160,510070,520100,540100,540100,580160
1/2/6/9/23,40131,구리 궤짝 LV.3,4130,1000081,100000,7000008,1000081,580160,510070,520100,540100,540100,580160
0,40140,은 궤짝 LV.3,4140,1000081,100000,7000008,57000050,1000550,1000610,1000650,1000700,1000750,1000800
0,40141,은 궤짝 LV.3,4141,1000081,100000,7000008,57000050,520110,540110,580200,510100,530110,580200
1/2/6/9/23,40141,은 궤짝 LV.3,4141,1000081,100000,7000008,1000081,520110,540110,580200,510100,530110,580200
0,40150,금 궤짝 LV.3,4150,1000081,100000,7000008,57000050,1000560,1000600,1000660,1000710,1000760,1000810
0,40151,금 궤짝 LV.3,4151,1000081,100000,7000008,57000050,510120,550100,560110,570100,580240,560110
1/2/6/9/23,40151,금 궤짝 LV.3,4151,1000081,100000,7000008,1000081,510120,550100,560110,570100,580240,560110
0,40160,고급 나무 궤짝 37~50레벨,4160,1000101,100000,7000010,57000060,1000820,1000870,1000920,1000970,1001020,1001070
0,40161,고급 나무 궤짝 37~50레벨,4160,1000101,100000,7000010,57000060,520120,540120,550110,540120,570110,520120
1/2/6/9/23,40161,고급 나무 궤짝 37~50레벨,4160,1000101,100000,7000010,1000101,520120,540120,550110,540120,570110,520120
0,40170,청동 궤짝 LV.4,4170,1000101,100000,7000010,57000060,1000830,1000880,1000930,1000980,1001030,1001080
0,40171,청동 궤짝 LV.4,4171,1000101,100000,7000010,57000060,530120,550120,570120,580270,580280,530120
1/2/6/9/23,40171,청동 궤짝 LV.4,4171,1000101,100000,7000010,1000101,530120,550120,570120,580270,580280,530120
0,40180,구리 궤짝 LV.4,4180,1000101,100000,7000010,57000060,1000840,1000890,1000940,1000990,1001040,1001090
0,40181,구리 궤짝 LV.4,4181,1000101,100000,7000010,57000060,550120,530160,530130,510150,550150,510150
1/2/6/9/23,40181,구리 궤짝 LV.4,4181,1000101,100000,7000010,1000101,550120,530160,530130,510150,550150,510150
0,40190,은 궤짝 LV.4,4190,1000101,100000,7000010,57000060,1000850,1000900,1000950,1001000,1001050,1001100
0,40191,은 궤짝 LV.4,4191,1000101,100000,7000010,57000060,510170,530160,530160,570150,550150,570150
1/2/6/9/23,40191,은 궤짝 LV.4,4191,1000101,100000,7000010,1000101,510170,530160,530160,570150,550150,570150
0,40200,금 궤짝 LV.4,4200,1000101,100000,7000010,57000060,1000860,1000910,1000960,1001010,1001060,1001110
0,40201,금 궤짝 LV.4,4201,1000101,100000,7000010,57000060,520210,530200,540210,550170,560180,570170
1/2/6/9/23,40201,금 궤짝 LV.4,4201,1000101,100000,7000010,1000101,520210,530200,540210,550170,560180,570170
0,40210,최고급 나무 궤짝 51~60레벨,4210,1000111,100000,7000012,57000070,1001140,1001190,1001240,1001310,1001360,1001480
0,40211,최고급 나무 궤짝 51~60레벨,4211,1000111,100000,7000012,57000070,510220,520240,530230,540240,580420,520240
1/2/6/9/23,40211,최고급 나무 궤짝 51~60레벨,4211,1000111,100000,7000012,1000111,510220,520240,530230,540240,580420,520240
0,40220,청동 궤짝 LV.5,4220,1000111,100000,7000012,57000070,1001150,1001200,1001250,1001320,1001370,1001490
0,40221,청동 궤짝 LV.5,4221,1000111,100000,7000012,57000070,530250,530250,550190,550190,550190,570190
1/2/6/9/23,40221,청동 궤짝 LV.5,4221,1000111,100000,7000012,1000111,530250,530250,550190,550190,550190,570190
0,40230,구리 궤짝 LV.5,4230,1000111,100000,7000012,57000070,1001160,1001210,1001260,1001330,1001380,1001500
0,40231,구리 궤짝 LV.5,4231,1000111,100000,7000012,57000070,520280,530270,540280,550210,570210,580480
1/2/6/9/23,40231,구리 궤짝 LV.5,4231,1000111,100000,7000012,1000111,520280,530270,540280,550210,570210,580480
0,40240,은 궤짝 LV.5,4240,1000111,100000,7000012,57000070,1001170,1001220,1001270,1001340,1001390,1001510
0,40241,은 궤짝 LV.5,4241,1000111,100000,7000012,57000070,520310,530300,540310,550220,560230,570220
1/2/6/9/23,40241,은 궤짝 LV.5,4241,1000111,100000,7000012,1000111,520310,530300,540310,550220,560230,570220
0,40250,금 궤짝 LV.5,4250,1000111,100000,7000012,57000070,1001180,1001230,1001280,1001350,1001460,1001520
0,40251,금 궤짝 LV.5,4251,1000111,100000,7000012,57000070,520320,530310,540320,550230,540320,570230
1/2/6/9/23,40251,금 궤짝 LV.5,4251,1000111,100000,7000012,1000111,520320,530310,540320,550230,540320,570230
0,40260,"나무 궤짝 LV.6 [63~74,100]",4260,1000121,100000,7000012,57000080,520360,530350,540360,550250,560260,570250
1/2/6/9/23,40260,"나무 궤짝 LV.6 [63~74,100]",4260,1000121,100000,7000012,1000121,520360,530350,540360,550250,560260,570250
0,40270,"청동 궤짝 LV.6 [63~74,300]",4270,1000121,100000,7000012,57000080,580560,510320,520370,530360,540370,550260
1/2/6/9/23,40270,"청동 궤짝 LV.6 [63~74,300]",4270,1000121,100000,7000012,1000121,580560,510320,520370,530360,540370,550260
0,40280,"구리 궤짝 LV.6 [63~74,500]",4280,1000121,100000,7000012,57000080,560270,570260,580570,510330,520390,530370
1/2/6/9/23,40280,"구리 궤짝 LV.6 [63~74,500]",4280,1000121,100000,7000012,1000121,560270,570260,580570,510330,520390,530370
0,40290,"은 궤짝 LV.6 [63~74,700]",4290,1000121,100000,7000012,57000080,540390,550270,570270,580580,580590,510340
1/2/6/9/23,40290,"은 궤짝 LV.6 [63~74,700]",4290,1000121,100000,7000012,1000121,540390,550270,570270,580580,580590,510340
0,40300,"금 궤짝 LV.6 [63~74,1000]",4300,1000121,100000,7000012,57000080,520410,530390,540410,520430,530410,540430
1/2/6/9/23,40300,"금 궤짝 LV.6 [63~74,1000]",4300,1000121,100000,7000012,1000121,520410,530390,540410,520430,530410,540430
63,40301,[혼돈]크리스탈 Lv13~24,10020,40310,40311,0,0,0,0,0,0,0,0
63,40302,[혼돈]크리스탈 Lv25~37,10020,40320,40321,0,0,0,0,0,0,0,0
63,40303,[혼돈]크리스탈 Lv38~50,10020,40330,40331,0,0,0,0,0,0,0,0
63,40304,[혼돈]크리스탈 Lv51~,10020,40340,40341,0,0,0,0,0,0,0,0
63,40350,[일반]크리스탈 Lv1~12,1,40350,0,0,0,0,0,0,0,0,0
63,40351,[일반]크리스탈 Lv13~24,1,40351,0,0,0,0,0,0,0,0,0
63,40352,[일반]크리스탈 Lv25~37,1,40352,0,0,0,0,0,0,0,0,0
63,40353,[일반]크리스탈 Lv38~50,1,40353,0,0,0,0,0,0,0,0,0
63,40354,[일반]크리스탈 Lv51~,1,40354,0,0,0,0,0,0,0,0,0
63,40360,[무기]크리스탈 Lv1~12,1,40360,0,0,0,0,0,0,0,0,0
63,40361,[무기]크리스탈 Lv13~24,1,40361,0,0,0,0,0,0,0,0,0
63,40362,[무기]크리스탈 Lv25~37,1,40362,0,0,0,0,0,0,0,0,0
63,40363,[무기]크리스탈 Lv38~50,1,40363,0,0,0,0,0,0,0,0,0
63,40364,[무기]크리스탈 Lv51~,1,40364,0,0,0,0,0,0,0,0,0
63,40370,히든보상/ 음식 10/20/30/40/50~,1,40370,0,0,0,0,0,0,0,0,0
0,61060,작은 홍보,1,61060,0,0,0,0,0,0,0,0,0
0,61070,큰 홍보,1,61070,0,0,0,0,0,0,0,0,0
0,80010,늑대 튀김구이 레시피,10010,86101,0,0,0,0,0,0,0,0,0
0,80020,너구리 꼬치구이 레시피,10010,86102,0,0,0,0,0,0,0,0,0
0,80030,초목 깻잎찜 레시피,10010,86103,0,0,0,0,0,0,0,0,0
0,80040,코주부 머리고기 레시피,10010,86104,0,0,0,0,0,0,0,0,0
0,80050,스페셜 꽃게 잡탕 레시피,10010,86105,0,0,0,0,0,0,0,0,0
0,80060,별가사리 수육 레시피,10010,86116,0,0,0,0,0,0,0,0,0
0,80070,상어 사골탕 레시피,10010,86107,0,0,0,0,0,0,0,0,0
0,90010,일반 아이템 분해,10010,61000010,0,0,0,0,0,0,0,0,0
0,90020,특급 아이템 분해,10010,61000020,0,0,0,0,0,0,0,0,0
0,90030,스폐셜 아이템 분해,10010,61000030,0,0,0,0,0,0,0,0,0
0,90040,아티팩트 아이템 분해,10010,61000040,0,0,0,0,0,0,0,0,0
0,90050,레전드 아이템 분해,10010,61000050,0,0,0,0,0,0,0,0,0
0,90060,신 아이템 분해,10010,61000050,0,0,0,0,0,0,0,0,0
0,90070,저주 아이템 분해,10010,61000060,0,0,0,0,0,0,0,0,0
0,90080,봉인 아이템 분해,10010,61000070,0,0,0,0,0,0,0,0,0
0,99999,크리스탈스톤 그룹,10010,99999,0,0,0,0,0,0,0,0,0
0,110010,바람의평원1 LV 1~10 음식,10010,50000010,0,0,0,0,0,0,0,0,0
0,110020,바람의평원2 LV 5~12,10010,50000010,0,0,0,0,0,0,0,0,0
0,110030,배신자의 고개1 LV 10~18,10010,50000020,0,0,0,0,0,0,0,0,0
0,110040,배신자의 고개2 LV 12~22,10010,50000020,0,0,0,0,0,0,0,0,0
0,110050,용사의 해안가1 LV 20~27,10010,50000030,0,0,0,0,0,0,0,0,0
0,110060,용사의 해안가2 LV 22~32,10010,50000030,0,0,0,0,0,0,0,0,0
0,110070,용사의 계곡 LV 27~34,10010,50000030,0,0,0,0,0,0,0,0,0
0,110080,위험한 폐광 LV 30~37,10010,50000040,0,0,0,0,0,0,0,0,0
0,110090,악마의 숨결 LV 34~40,10010,50000040,0,0,0,0,0,0,0,0,0
0,110100,파렐경 던전 LV 22~25,10010,50000030,0,0,0,0,0,0,0,0,0
0,110110,파렐경 던전 LV 27,10010,50000030,0,0,0,0,0,0,0,0,0
0,110120,라발론 던전 LV 40~43,10010,50000050,0,0,0,0,0,0,0,0,0
0,110130,라발론 LV 47,10010,50000050,0,0,0,0,0,0,0,0,0
0,110140,이글거리는 늪지대 LV 40~49,10010,50000050,0,0,0,0,0,0,0,0,0
0,110150,큰나무 지대 LV 45~54,10010,50000050,0,0,0,0,0,0,0,0,0
0,110160,신들의 안식처 LV 50~59,10010,50000050,0,0,0,0,0,0,0,0,0
0,110170,고요의 숲1 LV 54~63,10010,50000050,0,0,0,0,0,0,0,0,0
0,110180,고요의 숲2 LV 58~67,10010,50000050,0,0,0,0,0,0,0,0,0
0,110190,이슬의 숲1 LV 62~71,10010,50000050,0,0,0,0,0,0,0,0,0
0,110200,이슬의 숲2 LV 66~75,10010,50000050,0,0,0,0,0,0,0,0,0
0,110210,용의 탑1 LV 70~79,10010,50000050,0,0,0,0,0,0,0,0,0
0,110220,용의 탑2 LV 74~83,10010,50000050,0,0,0,0,0,0,0,0,0
0,110230,용의 탑3 LV 78~87,10010,50000050,0,0,0,0,0,0,0,0,0
0,110240,사파이어던전 LV 55~56,10010,50000050,0,0,0,0,0,0,0,0,0
0,110250,사파이어 LV 65,10010,50000050,0,0,0,0,0,0,0,0,0
0,110260,말하는탑 던전 LV 80~81,10010,50000050,0,0,0,0,0,0,0,0,0
0,110270,말하는 탑 LV 90,10010,50000050,0,0,0,0,0,0,0,0,0
0,110280,바람의평원1 카오스 LV 41~50,10010,50000040,0,0,0,0,0,0,0,0,0
0,110290,바람의평원2 카오스 LV 45~52,10010,50000040,0,0,0,0,0,0,0,0,0
0,110300,배신자의 고개1 카오스 LV 50~58,10010,50000050,0,0,0,0,0,0,0,0,0
0,110310,배신자의 고개2 카오스 LV 52~62,10010,50000050,0,0,0,0,0,0,0,0,0
0,110320,용사의 해안가1 카오스 LV 60~67,10010,50000050,0,0,0,0,0,0,0,0,0
0,110330,용사의 해안가2 카오스 LV 62~72,10010,50000050,0,0,0,0,0,0,0,0,0
0,110340,용사의 계곡 카오스 LV 67~74,10010,50000050,0,0,0,0,0,0,0,0,0
0,110350,위험한 폐광 카오스 LV 70~77,10010,50000050,0,0,0,0,0,0,0,0,0
0,110360,악마의 숨결 카오스 LV 74~80,10010,50000050,0,0,0,0,0,0,0,0,0
0,110370,이글거리는 늪지대 카오스 LV 80~89,10010,50000050,0,0,0,0,0,0,0,0,0
0,110380,큰나무 지대 카오스 LV 85~94,10010,50000050,0,0,0,0,0,0,0,0,0
0,110390,신들의 안식처 카오스 LV 90~99,10010,50000050,0,0,0,0,0,0,0,0,0
0,110400,고요의 숲1 카오스 LV 94~103,10010,50000050,0,0,0,0,0,0,0,0,0
0,110410,고요의 숲2 카오스 LV 98~107,10010,50000050,0,0,0,0,0,0,0,0,0
0,110420,이슬의 숲1 카오스 LV 102~111,10010,50000050,0,0,0,0,0,0,0,0,0
0,110430,이슬의 숲2 카오스 LV 116~115,10010,50000050,0,0,0,0,0,0,0,0,0
0,110440,용의 탑1 카오스 LV 110~119,10010,50000050,0,0,0,0,0,0,0,0,0
0,110450,용의 탑2 카오스 LV 114~123,10010,50000050,0,0,0,0,0,0,0,0,0
0,110460,용의 탑3 카오스 LV 118~127,10010,50000050,0,0,0,0,0,0,0,0,0
0,110470,히든 바람평원 LV 21~25,10010,50000030,0,0,0,0,0,0,0,0,0
0,110480,히든 배신자의 고개 LV 30~35,10010,50000040,0,0,0,0,0,0,0,0,0
0,110490,히든 용사의 해안가 LV 40~44,10010,50000050,0,0,0,0,0,0,0,0,0
0,110500,히든 용사의 계곡 LV 47~51,10010,50000050,0,0,0,0,0,0,0,0,0
0,110510,히든 위험한 광산 LV 50~54,10010,50000050,0,0,0,0,0,0,0,0,0
0,110520,히든 이글거리는 늪지대 LV 60~65,10010,50000050,0,0,0,0,0,0,0,0,0
0,110530,히든 고요의 숲 LV 74~79,10010,50000050,0,0,0,0,0,0,0,0,0
0,110540,히든 이슬의 숲 LV 82~87,10010,50000050,0,0,0,0,0,0,0,0,0
0,110550,히든 엘로라 주둔지 LV 90~95,10010,50000050,0,0,0,0,0,0,0,0,0
0,120010,바람의평원1 LV 1~10 인챈트 / 기타,10010,100000,0,0,0,0,0,0,0,0,0
0,120020,바람의평원2 LV 5~12,10010,100010,0,0,0,0,0,0,0,0,0
0,120030,배신자의 고개1 LV 10~18,10010,100000,0,0,0,0,0,0,0,0,0
0,120040,배신자의 고개2 LV 12~22,10010,100000,0,0,0,0,0,0,0,0,0
0,120050,용사의 해안가1 LV 20~27,10010,100000,0,0,0,0,0,0,0,0,0
0,120060,용사의 해안가2 LV 22~32,10010,100000,0,0,0,0,0,0,0,0,0
0,120070,용사의 계곡 LV 27~34,10010,100000,0,0,0,0,0,0,0,0,0
0,120080,위험한 폐광 LV 30~37,10010,100000,0,0,0,0,0,0,0,0,0
0,120090,악마의 숨결 LV 34~40,10010,100000,0,0,0,0,0,0,0,0,0
0,120100,파렐경 던전 LV 22~25,10010,100000,0,0,0,0,0,0,0,0,0
0,120110,파렐경 던전 LV 25,10010,100000,0,0,0,0,0,0,0,0,0
0,120120,라발론 던전 LV 40~43,10010,100000,0,0,0,0,0,0,0,0,0
0,120130,라발론 LV 43,10010,100000,0,0,0,0,0,0,0,0,0
0,120140,이글거리는 늪지대 LV 40~49,10010,100000,0,0,0,0,0,0,0,0,0
0,120150,큰나무 지대 LV 45~54,10010,100000,0,0,0,0,0,0,0,0,0
0,120160,신들의 안식처 LV 50~59,10010,100000,0,0,0,0,0,0,0,0,0
0,120170,고요의 숲1 LV 54~63,10010,100000,0,0,0,0,0,0,0,0,0
0,120180,고요의 숲2 LV 58~67,10010,100000,0,0,0,0,0,0,0,0,0
0,120190,이슬의 숲1 LV 62~71,10010,100000,0,0,0,0,0,0,0,0,0
0,120200,이슬의 숲2 LV 66~75,10010,100000,0,0,0,0,0,0,0,0,0
0,120210,용의 탑1 LV 70~79,10010,100000,0,0,0,0,0,0,0,0,0
0,120220,용의 탑2 LV 74~83,10010,100000,0,0,0,0,0,0,0,0,0
0,120230,용의 탑3 LV 78~87,10010,100000,0,0,0,0,0,0,0,0,0
0,120240,사파이어던전 LV 55~56,10010,100000,0,0,0,0,0,0,0,0,0
0,120250,사파이어 LV 65,10010,100000,0,0,0,0,0,0,0,0,0
0,120260,말하는탑 던전 LV 80~81,10010,100000,0,0,0,0,0,0,0,0,0
0,120270,말하는 탑 LV 90,10010,100000,0,0,0,0,0,0,0,0,0
0,120280,바람의평원1 카오스 LV 41~50,10010,100000,0,0,0,0,0,0,0,0,0
0,120290,바람의평원2 카오스 LV 45~52,10010,100000,0,0,0,0,0,0,0,0,0
0,120300,배신자의 고개1 카오스 LV 50~58,10010,100000,0,0,0,0,0,0,0,0,0
0,120310,배신자의 고개2 카오스 LV 52~62,10010,100000,0,0,0,0,0,0,0,0,0
0,120320,용사의 해안가1 카오스 LV 60~67,10010,100000,0,0,0,0,0,0,0,0,0
0,120330,용사의 해안가2 카오스 LV 62~72,10010,100000,0,0,0,0,0,0,0,0,0
0,120340,용사의 계곡 카오스 LV 67~74,10010,100000,0,0,0,0,0,0,0,0,0
0,120350,위험한 폐광 카오스 LV 70~77,10010,100000,0,0,0,0,0,0,0,0,0
0,120360,악마의 숨결 카오스 LV 74~80,10010,100000,0,0,0,0,0,0,0,0,0
0,120370,이글거리는 늪지대 카오스 LV 80~89,10010,100000,0,0,0,0,0,0,0,0,0
0,120380,큰나무 지대 카오스 LV 85~94,10010,100000,0,0,0,0,0,0,0,0,0
0,120390,신들의 안식처 카오스 LV 90~99,10010,100000,0,0,0,0,0,0,0,0,0
0,120400,고요의 숲1 카오스 LV 94~103,10010,100000,0,0,0,0,0,0,0,0,0
0,120410,고요의 숲2 카오스 LV 98~107,10010,100000,0,0,0,0,0,0,0,0,0
0,120420,이슬의 숲1 카오스 LV 102~111,10010,100000,0,0,0,0,0,0,0,0,0
0,120430,이슬의 숲2 카오스 LV 116~115,10010,100000,0,0,0,0,0,0,0,0,0
0,120440,용의 탑1 카오스 LV 110~119,10010,100000,0,0,0,0,0,0,0,0,0
0,120450,용의 탑2 카오스 LV 114~123,10010,100000,0,0,0,0,0,0,0,0,0
0,120460,용의 탑3 카오스 LV 118~127,10010,100000,0,0,0,0,0,0,0,0,0
0,120470,히든 바람평원 LV 21~25,10010,100000,0,0,0,0,0,0,0,0,0
0,120480,히든 배신자의 고개 LV 30~35,10010,100000,0,0,0,0,0,0,0,0,0
0,120490,히든 용사의 해안가 LV 40~44,10010,100000,0,0,0,0,0,0,0,0,0
0,120500,히든 용사의 계곡 LV 47~51,10010,100000,0,0,0,0,0,0,0,0,0
0,120510,히든 위험한 광산 LV 50~54,10010,100000,0,0,0,0,0,0,0,0,0
0,120520,히든 이글거리는 늪지대 LV 60~65,10010,100000,0,0,0,0,0,0,0,0,0
0,120530,히든 고요의 숲 LV 74~79,10010,100000,0,0,0,0,0,0,0,0,0
0,120540,히든 이슬의 숲 LV 82~87,10010,100000,0,0,0,0,0,0,0,0,0
0,120550,히든 엘로라 주둔지 LV 90~95,10010,100000,0,0,0,0,0,0,0,0,0
0,130010,바람의평원1 LV 1~3,10040,35000010,35000020,35000030,35000040,0,0,0,0,0,0
0,130020,바람의평원2 LV 5~7,10080,31000010,31000020,32000010,32000020,33000010,33000020,34000010,34000020,0,0
0,130030,배신자의 고개1 LV 10~12,10080,31000030,31000040,32000030,32000040,33000030,33000040,34000030,34000040,0,0
0,130040,배신자의 고개2 LV 12~14,10080,31000030,31000040,32000030,32000040,33000030,33000040,34000030,34000040,0,0
0,130050,용사의 해안가1 LV 20~22,10080,31000050,31000060,32000050,32000060,33000050,33000060,34000050,34000060,0,0
0,130060,용사의 해안가2 LV 22~24,10080,31000050,31000060,32000050,32000060,33000050,33000060,34000050,34000060,0,0
0,130070,용사의 계곡 LV 27~29,10080,31000070,31000080,32000070,32000080,33000070,33000080,34000070,34000080,0,0
0,130080,위험한 폐광 LV 30~31,10080,31000090,31000100,32000090,32000100,33000090,33000100,34000090,34000100,0,0
0,130090,악마의 숨결 LV 34~35,10080,31000110,31000120,32000110,32000120,33000110,33000120,34000110,34000120,0,0
0,130100,파렐경 던전 LV 22~25,10080,31000070,31000080,32000070,32000080,33000070,33000080,34000070,34000080,0,0
0,130110,파렐경 던전 LV 25,10080,31000090,31000100,32000090,32000100,33000090,33000100,34000090,34000100,0,0
0,130120,라발론 던전 LV 40~43,10080,31000130,31000140,32000130,32000140,33000130,33000140,34000130,34000140,0,0
0,130130,라발론 LV 47,10080,31000150,31000160,32000150,32000160,33000150,33000160,34000150,34000160,0,0
0,130140,이글거리는 늪지대 LV 40~41,10080,31000130,31000140,32000130,32000140,33000130,33000140,34000130,34000140,0,0
0,130150,큰나무 지대 LV 45~46,10080,31000150,31000160,32000150,32000160,33000150,33000160,34000150,34000160,0,0
0,130160,신들의 안식처 LV 50~51,10080,31000150,31000160,32000150,32000160,33000150,33000160,34000150,34000160,0,0
0,130170,고요의 숲1 LV 54~55,10080,31000170,31000180,32000170,32000180,33000170,33000180,34000170,34000180,0,0
0,130180,고요의 숲2 LV 58~59,10080,31000170,31000180,32000170,32000180,33000170,33000180,34000170,34000180,0,0
0,130190,이슬의 숲1 LV 62~63,10080,31000190,31000200,32000190,32000200,33000190,33000200,34000190,34000200,0,0
0,130200,이슬의 숲2 LV 66~67,10080,31000210,31000220,32000210,32000220,33000210,33000220,34000210,34000220,0,0
0,130210,용의 탑1 LV 70~73,10080,31000230,31000240,32000230,32000240,33000230,33000240,34000230,34000240,0,0
0,130220,용의 탑2 LV 74~75,10080,31000230,31000240,32000230,32000240,33000230,33000240,34000230,34000240,0,0
0,130230,용의 탑3 LV 78~79,10080,31000250,31000260,32000250,32000260,33000250,33000260,34000250,34000260,0,0
0,130240,사파이어던전 LV 55~56,10080,31000190,31000200,32000190,32000200,33000190,33000200,34000190,34000200,0,0
0,130250,사파이어 LV 65,10080,31000190,31000200,32000190,32000200,33000190,33000200,34000190,34000200,0,0
0,130260,말하는탑 던전 LV 80~81,10080,31000270,31000280,32000270,32000280,33000270,33000280,34000270,34000280,0,0
0,130270,말하는 탑 LV 90,10080,31000270,31000280,32000270,32000280,33000270,33000280,34000270,34000280,0,0
0,130280,바람의평원1 카오스 LV 41~43,10080,31000130,31000140,32000130,32000140,33000130,33000140,34000130,34000140,0,0
0,130290,바람의평원2 카오스 LV 45~47,10080,31000130,31000140,32000130,32000140,33000130,33000140,34000130,34000140,0,0
0,130300,배신자의 고개1 카오스 LV 50~52,10080,31000150,31000160,32000150,32000160,33000150,33000160,34000150,34000160,0,0
0,130310,배신자의 고개2 카오스 LV 52~54,10080,31000150,31000160,32000150,32000160,33000150,33000160,34000150,34000160,0,0
0,130320,용사의 해안가1 카오스 LV 60~62,10080,31000190,31000200,32000190,32000200,33000190,33000200,34000190,34000200,0,0
