IDX,BagNo,Memo,ElementNo,SuccessRateNo,TunningNo_Min,TunningNo_Max
6450,900062,희귀 몬스터 63,900062,990001,0,0
6452,900063,희귀 몬스터 64,900063,990001,0,0
6454,900064,희귀 몬스터 65,900064,990001,0,0
6456,900065,희귀 몬스터 66,900065,990001,0,0
6458,900066,희귀 몬스터 67,900066,990001,0,0
6460,900067,희귀 몬스터 68,900067,990001,0,0
6462,900068,희귀 몬스터 69,900068,990001,0,0
6464,900069,희귀 몬스터 70,900069,990001,0,0
6466,900070,희귀 몬스터 71,900070,990001,0,0
6468,900071,희귀 몬스터 72,900071,990001,0,0
6470,900072,희귀 몬스터 73,900072,990001,0,0
6472,900073,희귀 몬스터 74,900073,990001,0,0
6474,900074,희귀 몬스터 75,900074,990001,0,0
6476,900075,희귀 몬스터 76,900075,990001,0,0
6478,900076,희귀 몬스터 77,900076,990001,0,0
6480,900077,희귀 몬스터 78,900077,990001,0,0
6482,900078,희귀 몬스터 79,900078,990001,0,0
6484,900079,희귀 몬스터 80,900079,990001,0,0
4183,900101,KK 드래곤 Lv7,900101,990001,0,0
4184,900102,KK 드래곤 Lv7,900102,990001,0,0
4185,900103,KK 드래곤 Lv9,900103,990001,0,0
4186,900104,KK 드래곤 Lv16,900104,990001,0,0
4187,900105,KK 드래곤 Lv21,900105,990001,0,0
4188,900106,KK 드래곤 Lv14,900106,990001,0,0
4189,900107,KK 드래곤 Lv22,900107,990001,0,0
4190,900108,KK 드래곤 Lv15,900108,990001,0,0
4191,900109,KK 드래곤 Lv27,900109,990001,0,0
4192,900110,KK 드래곤 Lv31,900110,990001,0,0
4193,900111,KK 드래곤 Lv26,900111,990001,0,0
4194,900112,KK 드래곤 Lv24,900112,990001,0,0
4195,900113,KK 드래곤 Lv31,900113,990001,0,0
4196,900114,KK 드래곤 Lv30,900114,990001,0,0
4197,900115,KK 드래곤 Lv36,900115,990001,0,0
4198,900116,KK 드래곤 Lv34,900116,990001,0,0
4199,900117,KK 드래곤 Lv35,900117,990001,0,0
4200,900118,KK 드래곤 Lv37,900118,990001,0,0
4201,900119,KK 드래곤 Lv41,900119,990001,0,0
4202,900120,KK 드래곤 Lv38,900120,990001,0,0
4203,900121,KK 드래곤 Lv41,900121,990001,0,0
4204,900122,KK 드래곤 Lv44,900122,990001,0,0
4205,900123,KK 드래곤 Lv43,900123,990001,0,0
4206,900124,KK 드래곤 Lv45,900124,990001,0,0
4207,900125,KK 드래곤 Lv46,900125,990001,0,0
4208,900126,KK 드래곤 Lv48,900126,990001,0,0
4209,900127,KK 드래곤 Lv46,900127,990001,0,0
4210,900128,KK 드래곤 Lv47,900128,990001,0,0
4211,900129,KK 드래곤 Lv49,900129,990001,0,0
4212,900130,KK 드래곤 Lv50,900130,990001,0,0
4213,900131,KK 드래곤 Lv51,900131,990001,0,0
4214,900132,KK 드래곤 Lv52,900132,990001,0,0
4215,900133,KK 드래곤 Lv48,900133,990001,0,0
4216,900134,KK 드래곤 Lv50,900134,990001,0,0
4217,900135,KK 드래곤 Lv52,900135,990001,0,0
4218,900136,KK 드래곤 Lv51,900136,990001,0,0
4219,900137,KK 드래곤 Lv53,900137,990001,0,0
4220,900138,KK 드래곤 Lv54,900138,990001,0,0
4221,900139,KK 드래곤 Lv55,900139,990001,0,0
4222,900140,KK 드래곤 Lv56,900140,990001,0,0
4223,900141,KK 드래곤 Lv58,900141,990001,0,0
4224,900142,KK 드래곤 Lv60,900142,990001,0,0
4403,900201,드라큘라 Lv7,900201,0,0,0
4404,900202,드라큘라 Lv7,900202,0,0,0
4405,900203,드라큘라 Lv9,900203,0,0,0
4406,900204,드라큘라 Lv16,900204,0,0,0
4407,900205,드라큘라 Lv21,900205,0,0,0
4408,900206,드라큘라 Lv14,900206,0,0,0
4409,900207,드라큘라 Lv22,900207,0,0,0
4410,900208,드라큘라 Lv15,900208,0,0,0
4411,900209,드라큘라 Lv27,900209,0,0,0
4412,900210,드라큘라 Lv31,900210,0,0,0
4413,900211,드라큘라 Lv26,900211,0,0,0
4414,900212,드라큘라 Lv24,900212,0,0,0
4415,900213,드라큘라 Lv31,900213,0,0,0
4416,900214,드라큘라 Lv30,900214,0,0,0
4417,900215,드라큘라 Lv36,900215,0,0,0
4418,900216,드라큘라 Lv34,900216,0,0,0
4419,900217,드라큘라 Lv35,900217,0,0,0
4420,900218,드라큘라 Lv37,900218,0,0,0
4421,900219,드라큘라 Lv41,900219,0,0,0
4422,900220,드라큘라 Lv38,900220,0,0,0
4423,900221,드라큘라 Lv41,900221,0,0,0
4424,900222,드라큘라 Lv44,900222,0,0,0
4425,900223,드라큘라 Lv43,900223,0,0,0
4426,900224,드라큘라 Lv45,900224,0,0,0
4427,900225,드라큘라 Lv46,900225,0,0,0
4428,900226,드라큘라 Lv48,900226,0,0,0
4429,900227,드라큘라 Lv46,900227,0,0,0
4430,900228,드라큘라 Lv47,900228,0,0,0
4431,900229,드라큘라 Lv49,900229,0,0,0
4432,900230,드라큘라 Lv50,900230,0,0,0
4433,900231,드라큘라 Lv51,900231,0,0,0
4434,900232,드라큘라 Lv52,900232,0,0,0
4435,900233,드라큘라 Lv48,900233,0,0,0
4436,900234,드라큘라 Lv50,900234,0,0,0
4437,900235,드라큘라 Lv52,900235,0,0,0
4438,900236,드라큘라 Lv51,900236,0,0,0
4439,900237,드라큘라 Lv53,900237,0,0,0
4440,900238,드라큘라 Lv54,900238,0,0,0
4441,900239,드라큘라 Lv55,900239,0,0,0
4442,900240,드라큘라 Lv56,900240,0,0,0
4443,900241,드라큘라 Lv58,900241,0,0,0
4444,900242,드라큘라 Lv60,900242,0,0,0
6347,900243,드라큘라 Lv62,900243,0,0,0
6349,900244,드라큘라 Lv64,900244,0,0,0
6351,900245,드라큘라 Lv66,900245,0,0,0
6353,900246,드라큘라 Lv68,900246,0,0,0
6355,900247,드라큘라 Lv70,900247,0,0,0
6357,900248,드라큘라 Lv72,900248,0,0,0
4445,900301,늑대인간 Lv7,900301,0,0,0
4446,900302,늑대인간 Lv7,900302,0,0,0
4447,900303,늑대인간 Lv9,900303,0,0,0
4448,900304,늑대인간 Lv16,900304,0,0,0
4449,900305,늑대인간 Lv21,900305,0,0,0
4450,900306,늑대인간 Lv14,900306,0,0,0
4451,900307,늑대인간 Lv22,900307,0,0,0
4452,900308,늑대인간 Lv15,900308,0,0,0
4453,900309,늑대인간 Lv27,900309,0,0,0
4454,900310,늑대인간 Lv31,900310,0,0,0
4455,900311,늑대인간 Lv26,900311,0,0,0
4456,900312,늑대인간 Lv24,900312,0,0,0
4457,900313,늑대인간 Lv31,900313,0,0,0
4458,900314,늑대인간 Lv30,900314,0,0,0
4459,900315,늑대인간 Lv36,900315,0,0,0
4460,900316,늑대인간 Lv34,900316,0,0,0
4461,900317,늑대인간 Lv35,900317,0,0,0
4462,900318,늑대인간 Lv37,900318,0,0,0
4463,900319,늑대인간 Lv41,900319,0,0,0
4464,900320,늑대인간 Lv38,900320,0,0,0
4465,900321,늑대인간 Lv41,900321,0,0,0
4466,900322,늑대인간 Lv44,900322,0,0,0
4467,900323,늑대인간 Lv43,900323,0,0,0
4468,900324,늑대인간 Lv45,900324,0,0,0
4469,900325,늑대인간 Lv46,900325,0,0,0
4470,900326,늑대인간 Lv48,900326,0,0,0
4471,900327,늑대인간 Lv46,900327,0,0,0
4472,900328,늑대인간 Lv47,900328,0,0,0
4473,900329,늑대인간 Lv49,900329,0,0,0
4474,900330,늑대인간 Lv50,900330,0,0,0
4475,900331,늑대인간 Lv51,900331,0,0,0
4476,900332,늑대인간 Lv52,900332,0,0,0
4477,900333,늑대인간 Lv48,900333,0,0,0
4478,900334,늑대인간 Lv50,900334,0,0,0
4479,900335,늑대인간 Lv52,900335,0,0,0
4480,900336,늑대인간 Lv51,900336,0,0,0
4481,900337,늑대인간 Lv53,900337,0,0,0
4482,900338,늑대인간 Lv54,900338,0,0,0
4483,900339,늑대인간 Lv55,900339,0,0,0
4484,900340,늑대인간 Lv56,900340,0,0,0
4485,900341,늑대인간 Lv58,900341,0,0,0
4486,900342,늑대인간 Lv60,900342,0,0,0
6335,900343,늑대인간 Lv62,900343,0,0,0
6337,900344,늑대인간 Lv64,900344,0,0,0
6339,900345,늑대인간 Lv66,900345,0,0,0
6341,900346,늑대인간 Lv68,900346,0,0,0
6343,900347,늑대인간 Lv70,900347,0,0,0
6345,900348,늑대인간 Lv72,900348,0,0,0
9559,1000000,이벤트 테이블용 좌표 백넘버,1000000,990001,0,0
2968,1930100,파란색 코어,1930100,990001,0,0
2969,1930101,파란색 작은 코어,1930101,990001,0,0
2970,1930102,붉은색 코어,1930102,990001,0,0
2971,1930103,붉은색 작은 코어,1930103,990001,0,0
4487,9940001,용자의 증표 Lv45 (배틀스퀘어 팀전),9940001,990001,0,0
5590,9940002,용자의증표 Lv55 (배틀스퀘어 팀전),9940002,990001,0,0
5591,9940003,용자의증표 Lv70 (대만),9940003,990001,0,0
5592,9940004,용자의증표 Lv71 (대만),9940004,990001,0,0
9489,9940035,깃발거미 Lv35 (배틀스퀘어 팀전)_통합용,9940035,990001,0,0
9490,9940036,깃발거미 Lv36 (배틀스퀘어 팀전)_통합용,9940036,990001,0,0
9491,9940037,깃발거미 Lv37 (배틀스퀘어 팀전)_통합용,9940037,990001,0,0
9492,9940038,깃발거미 Lv38 (배틀스퀘어 팀전)_통합용,9940038,990001,0,0
9493,9940039,깃발거미 Lv39 (배틀스퀘어 팀전)_통합용,9940039,990001,0,0
9494,9940040,깃발거미 Lv40 (배틀스퀘어 팀전)_통합용,9940040,990001,0,0
9495,9940041,깃발거미 Lv41 (배틀스퀘어 팀전)_통합용,9940041,990001,0,0
9496,9940042,깃발거미 Lv42 (배틀스퀘어 팀전)_통합용,9940042,990001,0,0
9497,9940043,깃발거미 Lv43 (배틀스퀘어 팀전)_통합용,9940043,990001,0,0
9498,9940044,깃발거미 Lv44 (배틀스퀘어 팀전)_통합용,9940044,990001,0,0
9499,9940045,깃발거미 Lv45 (배틀스퀘어 팀전)_통합용,9940045,990001,0,0
9500,9940046,깃발거미 Lv46 (배틀스퀘어 팀전)_통합용,9940046,990001,0,0
9501,9940047,깃발거미 Lv47 (배틀스퀘어 팀전)_통합용,9940047,990001,0,0
9502,9940048,깃발거미 Lv48 (배틀스퀘어 팀전)_통합용,9940048,990001,0,0
9503,9940049,깃발거미 Lv49 (배틀스퀘어 팀전)_통합용,9940049,990001,0,0
9504,9940050,깃발거미 Lv50 (배틀스퀘어 팀전)_통합용,9940050,990001,0,0
9505,9940051,깃발거미 Lv51 (배틀스퀘어 팀전)_통합용,9940051,990001,0,0
9506,9940052,깃발거미 Lv52 (배틀스퀘어 팀전)_통합용,9940052,990001,0,0
9507,9940053,깃발거미 Lv53 (배틀스퀘어 팀전)_통합용,9940053,990001,0,0
9508,9940054,깃발거미 Lv54 (배틀스퀘어 팀전)_통합용,9940054,990001,0,0
9509,9940055,깃발거미 Lv55 (배틀스퀘어 팀전)_통합용,9940055,990001,0,0
9510,9940056,깃발거미 Lv56 (배틀스퀘어 팀전)_통합용,9940056,990001,0,0
9511,9940057,깃발거미 Lv57 (배틀스퀘어 팀전)_통합용,9940057,990001,0,0
9512,9940058,깃발거미 Lv58 (배틀스퀘어 팀전)_통합용,9940058,990001,0,0
9513,9940059,깃발거미 Lv59 (배틀스퀘어 팀전)_통합용,9940059,990001,0,0
9514,9940060,깃발거미 Lv60 (배틀스퀘어 팀전)_통합용,9940060,990001,0,0
9515,9940061,깃발거미 Lv61 (배틀스퀘어 팀전)_통합용,9940061,990001,0,0
9516,9940062,깃발거미 Lv62 (배틀스퀘어 팀전)_통합용,9940062,990001,0,0
9517,9940063,깃발거미 Lv63 (배틀스퀘어 팀전)_통합용,9940063,990001,0,0
9518,9940064,깃발거미 Lv64 (배틀스퀘어 팀전)_통합용,9940064,990001,0,0
9519,9940065,깃발거미 Lv65 (배틀스퀘어 팀전)_통합용,9940065,990001,0,0
9520,9940066,깃발거미 Lv66 (배틀스퀘어 팀전)_통합용,9940066,990001,0,0
9523,9940067,깃발거미 Lv67 (배틀스퀘어 팀전)_통합용,9940067,990001,0,0
9525,9940068,깃발거미 Lv68 (배틀스퀘어 팀전)_통합용,9940068,990001,0,0
9527,9940069,깃발거미 Lv69 (배틀스퀘어 팀전)_통합용,9940069,990001,0,0
9529,9940070,깃발거미 Lv70 (배틀스퀘어 팀전)_통합용,9940070,990001,0,0
9530,9940071,깃발거미 Lv71 (배틀스퀘어 팀전)_통합용,9940071,990001,0,0
9531,9940072,깃발거미 Lv72 (배틀스퀘어 팀전)_통합용,9940072,990001,0,0
9532,9940073,깃발거미 Lv73 (배틀스퀘어 팀전)_통합용,9940073,990001,0,0
9533,9940074,깃발거미 Lv74 (배틀스퀘어 팀전)_통합용,9940074,990001,0,0
9534,9940075,깃발거미 Lv75 (배틀스퀘어 팀전)_통합용,9940075,990001,0,0
9535,9940076,깃발거미 Lv76 (배틀스퀘어 팀전)_통합용,9940076,990001,0,0
9536,9940077,깃발거미 Lv77 (배틀스퀘어 팀전)_통합용,9940077,990001,0,0
9537,9940078,깃발거미 Lv78 (배틀스퀘어 팀전)_통합용,9940078,990001,0,0
9538,9940079,깃발거미 Lv79 (배틀스퀘어 팀전)_통합용,9940079,990001,0,0
9539,9940080,깃발거미 Lv80 (배틀스퀘어 팀전)_통합용,9940080,990001,0,0
9540,9940081,깃발거미 Lv81 (배틀스퀘어 팀전)_통합용,9940081,990001,0,0
9541,9940082,깃발거미 Lv82 (배틀스퀘어 팀전)_통합용,9940082,990001,0,0
9542,9940083,깃발거미 Lv83 (배틀스퀘어 팀전)_통합용,9940083,990001,0,0
9543,9940084,깃발거미 Lv84 (배틀스퀘어 팀전)_통합용,9940084,990001,0,0
9544,9940085,깃발거미 Lv85 (배틀스퀘어 팀전)_통합용,9940085,990001,0,0
9545,9940086,깃발거미 Lv86 (배틀스퀘어 팀전)_통합용,9940086,990001,0,0
9546,9940087,깃발거미 Lv87 (배틀스퀘어 팀전)_통합용,9940087,990001,0,0
9547,9940088,깃발거미 Lv88 (배틀스퀘어 팀전)_통합용,9940088,990001,0,0
9548,9940089,깃발거미 Lv89 (배틀스퀘어 팀전)_통합용,9940089,990001,0,0
9549,9940090,깃발거미 Lv90 (배틀스퀘어 팀전)_통합용,9940090,990001,0,0
9550,9940091,깃발거미 Lv91 (배틀스퀘어 팀전)_통합용,9940091,990001,0,0
9551,9940092,깃발거미 Lv92 (배틀스퀘어 팀전)_통합용,9940092,990001,0,0
9552,9940093,깃발거미 Lv93 (배틀스퀘어 팀전)_통합용,9940093,990001,0,0
9553,9940094,깃발거미 Lv94 (배틀스퀘어 팀전)_통합용,9940094,990001,0,0
9554,9940095,깃발거미 Lv95 (배틀스퀘어 팀전)_통합용,9940095,990001,0,0
9555,9940096,깃발거미 Lv96 (배틀스퀘어 팀전)_통합용,9940096,990001,0,0
9556,9940097,깃발거미 Lv97 (배틀스퀘어 팀전)_통합용,9940097,990001,0,0
9557,9940098,깃발거미 Lv98 (배틀스퀘어 팀전)_통합용,9940098,990001,0,0
9558,9940099,깃발거미 Lv99 (배틀스퀘어 팀전)_통합용,9940099,990001,0,0
1434,10930310,용의탑3 미션 2 빅스,10930310,990002,0,0
1435,10930311,용의탑3 미션 2 모크빅스,10930311,990002,0,0
1436,10930312,용의탑3 미션 2 작은 그리드 혈기사,10930312,990002,0,0
1437,10930313,용의탑3 미션 2 그리드 용기사,10930313,990002,0,0
1438,10930314,용의탑3 미션 2 다크니스트,10930314,990002,0,0
1439,10930315,용의탑3 미션 2 제이슨 붐붐,10930315,990002,0,0
1440,10930316,용의탑3 미션 2 작은 제이슨 붐붐,10930316,990002,0,0
1441,10930317,용의탑3 미션 2 블루 동동,10930317,990002,0,0
1442,10930318,용의탑3 미션 2 그레이 동동,10930318,990002,0,0
1443,10930319,용의탑3 미션 2 성난 불찌,10930319,990002,0,0
1444,10930320,용의탑3 미션 2 돌연변이 불찌,10930320,990002,0,0
1445,10930321,용의탑3 미션 2 성난 사신 하데스,10930321,990002,0,0
1446,10930322,용의탑3 미션 2 사신 애를리크,10930322,990002,0,0
1447,10930323,용의탑3 미션 2 코어,10930323,990002,0,0
1448,10930324,용의탑3 미션 2 마기 코어,10930324,990002,0,0
1449,10930325,용의탑3 미션 2 쎈 레사스,10930325,990002,0,0
1450,10930326,용의탑3 미션 2 사르가스 레사스,10930326,990002,0,0
1451,10930327,용의탑3 미션 2 쎈 사르가스 레사스,10930327,990002,0,0
1452,11930310,용의탑3 미션 3 빅스,11930310,990002,0,0
1453,11930311,용의탑3 미션 3 모크빅스,11930311,990002,0,0
1454,11930312,용의탑3 미션 3 그리드 혈기사,11930312,990002,0,0
1455,11930313,용의탑3 미션 3 작은 그리드 용기사,11930313,990002,0,0
1456,11930314,용의탑3 미션 3 다크니스트,11930314,990002,0,0
1457,11930315,용의탑3 미션 3 제이슨 붐붐,11930315,990002,0,0
1458,11930316,용의탑3 미션 3 작은 제이슨 붐붐,11930316,990002,0,0
1459,11930317,용의탑3 미션 3 블루 동동,11930317,990002,0,0
1460,11930318,용의탑3 미션 3 난폭한 불찌,11930318,990002,0,0
1461,11930319,용의탑3 미션 3 성난 난폭한 불찌,11930319,990002,0,0
1462,11930320,용의탑3 미션 3 사신 하데스,11930320,990002,0,0
1463,11930321,용의탑3 미션 3 성난 사신 헬메스,11930321,990002,0,0
1464,11930322,용의탑3 미션 3 코어,11930322,990002,0,0
1465,11930323,용의탑3 미션 3 마기 코어,11930323,990002,0,0
1466,11930324,용의탑3 미션 3 헬릭스 코어,11930324,990002,0,0
1467,11930325,용의탑3 미션 3 쎈 사르가스 레사스,11930325,990002,0,0
1468,11930326,용의탑3 미션 3 샤울라 레사스,11930326,990002,0,0
1469,11930327,용의탑3 미션 3 쎈 샤울라 레사스,11930327,990002,0,0
1470,12930310,용의탑3 미션 4 빅스,12930310,990002,0,0
1471,12930311,용의탑3 미션 4 모크빅스,12930311,990002,0,0
1472,12930312,용의탑3 미션 4 그리드 용기사,12930312,990002,0,0
1473,12930313,용의탑3 미션 4 작은 그리드 혈기사,12930313,990002,0,0
1474,12930314,용의탑3 미션 4 제이슨 붐붐,12930314,990002,0,0
1475,12930315,용의탑3 미션 4 작은 제이슨 붐붐,12930315,990002,0,0
1476,12930316,용의탑3 미션 4 돌연변이 불찌,12930316,990002,0,0
1477,12930317,용의탑3 미션 4 성난 돌연변이 불찌,12930317,990002,0,0
1478,12930318,용의탑3 미션 4 성난 사신 하데스,12930318,990002,0,0
1479,12930319,용의탑3 미션 4 사신 에를리크,12930319,990002,0,0
1480,12930320,용의탑3 미션 4 코어,12930320,990002,0,0
1481,12930321,용의탑3 미션 4 마기 코어,12930321,990002,0,0
1482,12930322,용의탑3 미션 4 헬릭스 코어,12930322,990002,0,0
1483,12930323,용의탑3 미션 4 쎈 레사스,12930323,990002,0,0
1484,12930324,용의탑3 미션 4 쎈 사르가스 레사스,12930324,990002,0,0
1485,12930325,용의탑3 미션 4 샤울라 레사스,12930325,990002,0,0
3054,12930326,용의 탑 3 미션1 정예 자코,12930326,990001,0,0
3055,12930327,용의 탑 3 미션2 정예 자코,12930327,990001,0,0
3056,12930328,용의 탑 3 미션3 정예 자코,12930328,990001,0,0
3057,12930329,용의 탑 3 미션4 정예 자코,12930329,990001,0,0
3078,12930330,용의 탑 3 미션,12930330,990001,0,0
472,19010100,용사의 해안가 1 미션 캡틴 후커(압둘라)(정예),19010100,990001,0,0
473,19010101,용사의 해안가 1 미션 1 몽글,19010101,990002,0,0
474,19010102,용사의 해안가 1 미션 1 붉은 안테나 몽글,19010102,990002,0,0
475,19010103,용사의 해안가 1 미션 1 꼬깨,19010103,990002,0,0
476,19010104,용사의 해안가 1 미션 1 톱날꼬깨,19010104,990002,0,0
477,19010105,용사의 해안가 1 미션 1 별가사리 루루루,19010105,990002,0,0
478,19010106,용사의 해안가 1 미션 1 별가사리 로로로,19010106,990002,0,0
479,19010107,용사의 해안가 1 미션 1 별가사리 라라라,19010107,990002,0,0
480,19010108,용사의 해안가 1 미션 1 상어,19010108,990002,0,0
481,19010109,용사의 해안가 1 미션 1 갑판상어,19010109,990002,0,0
651,19010110,용사의 해안가 1 미션 캡틴 후커(압둘라)(정예) 2단계,19010110,990001,0,0
652,19010111,용사의 해안가 1 미션 캡틴 후커(압둘라)(정예) 3단계,19010111,990001,0,0
653,19010112,용사의 해안가 1 미션 캡틴 후커(압둘라)(정예) 4단계,19010112,990001,0,0
542,19010200,용사의 계곡 미션 데스 마스터(정예),19010200,990001,0,0
543,19010201,용사의 계곡 미션 1 청기사,19010201,990002,0,0
544,19010202,용사의 계곡 미션 1 적기사,19010202,990002,0,0
545,19010203,용사의 계곡 미션 1 스켈레톤 엉클,19010203,990002,0,0
546,19010204,용사의 계곡 미션 1 스켈레톤 정찰병,19010204,990002,0,0
547,19010205,용사의 계곡 미션 1 망각의 복서 미라,19010205,990002,0,0
548,19010206,용사의 계곡 미션 1 망각의 철퇴 미라,19010206,990002,0,0
549,19010207,용사의 계곡 미션 1 붉은 철퇴 미라,19010207,990002,0,0
657,19010208,용사의 계곡 미션 데스 마스터(정예) 2단계,19010208,990001,0,0
658,19010209,용사의 계곡 미션 데스 마스터(정예) 3단계,19010209,990001,0,0
659,19010210,용사의 계곡 미션 데스 마스터(정예) 4단계,19010210,990001,0,0
274,19010300,바람평원 1 미션 베가본드(정예),19010300,990001,0,0
275,19010301,바람평원 1 미션1 늑대,19010301,990002,0,0
276,19010302,바람평원 1 미션1 늑대(2),19010302,990001,0,0
277,19010303,바람평원 1 미션1 사나운 늑대,19010303,990002,0,0
278,19010304,바람평원 1 미션1 독거미,19010304,990002,0,0
279,19010305,바람평원 1 미션1 초목이,19010305,990002,0,0
280,19010306,바람평원 1 미션1 초목이(2),19010306,990002,0,0
281,19010307,바람평원 1 미션1 노란 초목이,19010307,990002,0,0
282,19010308,바람평원 1 미션1 까칠한 초목이,19010308,990002,0,0
283,19010309,바람평원 1 미션1 양,19010309,990002,0,0
284,19010310,바람평원 1 미션1 양(2),19010310,990002,0,0
285,19010311,바람평원 1 미션1 뿔양,19010311,990002,0,0
639,19010312,바람평원 1 미션 베가본드(정예) 2단계,19010312,990001,0,0
640,19010313,바람평원 1 미션 베가본드(정예) 3단계,19010313,990001,0,0
641,19010314,바람평원 1 미션 베가본드(정예) 4단계,19010314,990001,0,0
