f_NationCodeStr,BagNo,Level,Memo,ElementsNo,SuccessRateControlNo,CountControlNo,DropMoneyControlNo
0,251,1,꼬깨 기본 드랍,0,0,0,251
0,252,1,난폭한 나무꾼 기본 드랍,0,0,0,252
0,253,1,너구리 기본 드랍,0,0,0,253
0,254,1,노란 초목이 기본 드랍,0,0,0,254
0,255,1,늑대 기본 드랍,0,0,0,255
0,256,1,늪지괴물 눔(정예) 기본 드랍,0,0,0,256
0,257,1,늪지괴물 기본 드랍,0,0,0,257
0,258,1,데비 (정예) 기본 드랍,0,0,0,258
0,259,1,마할카(오크왕) 기본 드랍,0,0,0,259
0,260,1,망각의 복서 미라 기본 드랍,0,0,0,260
0,261,1,망각의 철퇴 미라 기본 드랍,0,0,0,261
0,262,1,버크셔(라드버크셔) 기본 드랍,0,0,0,262
0,263,1,베가본드(정예) 기본 드랍,0,0,0,263
0,264,1,별가사리 기본 드랍,0,0,0,264
0,265,1,별잎 초목이 기본 드랍,0,0,0,265
0,266,1,붉은 철퇴 미라 기본 드랍,0,0,0,266
0,267,1,붐붐 기본 드랍,0,0,0,267
0,268,1,뿔 양 기본 드랍,0,0,0,268
0,269,1,삼바바 (정예) 기본 드랍,0,0,0,269
0,270,1,생머리 너구리 기본 드랍,0,0,0,270
0,271,1,수포 늪지괴물 기본 드랍,0,0,0,271
0,272,1,스켈레턴 기본 드랍,0,0,0,272
0,273,1,스켈레통 기본 드랍,0,0,0,273
0,274,1,스켈레틱 기본 드랍,0,0,0,274
0,275,1,씨 악마 꽃 기본 드랍,0,0,0,275
0,276,1,야쿠트 기본 드랍,0,0,0,276
0,277,1,양 기본 드랍,0,0,0,277
0,278,1,엄마붐붐 기본 드랍,0,0,0,278
0,279,1,오크셔 기본 드랍,0,0,0,279
0,280,1,용암붐붐 기본 드랍,0,0,0,280
0,281,1,우마이 (정예) 기본 드랍,0,0,0,281
0,282,1,주술사 야쿠트 기본 드랍,0,0,0,282
0,283,1,주술사 오크셔 기본 드랍,0,0,0,283
0,284,1,줄기 악마 꽃 기본 드랍,0,0,0,284
0,285,1,진흙 늪지괴물 기본 드랍,0,0,0,285
0,286,1,초목이 기본 드랍,0,0,0,286
0,287,1,톱날 꼬깨(정예) 기본 드랍,0,0,0,287
0,288,1,투척병 야쿠트 기본 드랍,0,0,0,288
0,289,1,파란 초목이 기본 드랍,0,0,0,289
0,290,1,펑 너구리 기본 드랍,0,0,0,290
0,999,1,"7칸짜리 아이템 드랍[Count],[Success]",0,1007,1007,0
0,1000,1,머니드랍 1,0,0,0,1000
0,1001,1,"1개중 1개 선택 (머니드랍 2)[Success],[Money]",0,1001,0,1001
0,1002,1,"2개중 1개 선택 (머니드랍 3)[Success],[Money]",0,1002,0,1002
0,1003,1,"3개중 1개 선택 (머니드랍 4)[Success],[Money]",0,1003,0,1003
0,1004,1,4개중 1개 선택,0,1004,0,0
0,1005,1,5개중 1개 선택,0,1005,0,0
0,1006,1,6개중 1개 선택,0,1006,0,0
0,1007,1,돈 드랍,1007,0,0,1007
0,1008,1,"8개중 1개 선택 (강화 드랍)[Success],[Money]",0,1008,0,1008
0,1009,1,6개 중에 1개 선택 중 2개 쎈놈,0,1009,0,0
0,1010,1,5개 중에 1개 선택 중 1개 쎈놈,0,1010,0,0
0,1011,1,4개 중에 1개 선택 중 1개 쎈놈,0,1011,0,0
0,1012,1,3개 중에 1개 선택 중 1개 쎈놈,0,1012,0,0
0,1013,1,2개 중에 1개 선택 중 1개 쎈놈,0,1013,0,0
0,1800,1,교환용 소울,1800,1800,1800,0
0,1900,1,봉인해제주문서,1900,1900,1900,0
0,3010,1,이벤트_China_01,3010,3010,3010,0
0,3020,1,이벤트_China_02,3020,3020,3020,0
0,3021,1,중국 이벤트[Money],0,0,0,3020
0,4010,1,선물상자 1-1,4010,4010,4010,0
0,4020,1,선물상자 1-2,4020,4020,4020,0
0,4030,1,선물상자 1-3,4030,4030,4030,0
0,4040,1,선물상자 1-4,4040,4040,4040,0
0,4050,1,선물상자 1-5,4050,4050,4050,0
0,4060,1,선물상자 1-6,4060,4060,4060,0
0,4070,1,선물상자 1-7,4070,4070,4070,0
0,4080,1,선물상자 1-8,4080,4080,4080,0
0,4090,1,선물상자 1-9,4090,4090,4090,0
0,4100,1,선물상자 1-10,4100,4100,4100,0
0,4110,1,선물상자 1-11,4110,4110,4110,0
0,4120,1,선물상자 1-12,4120,4120,4120,0
0,4130,1,선물상자 1-13,4130,4130,4130,0
0,4140,1,선물상자 1-14,4140,4140,4140,0
0,4141,1,[궤짝그룹확률] 은 궤짝 LV.3,4141,4141,4141,0
0,4150,1,선물상자 1-15,4150,4150,4150,0
0,4151,1,[궤짝그룹확률] 금 궤짝 LV.3,4151,4151,4151,0
0,4160,1,선물상자 1-16,4160,4160,4160,0
0,4170,1,선물상자 1-17,4170,4170,4170,0
0,4171,1,[궤짝그룹확률] 청동 궤짝 LV.4,4171,4171,4171,0
0,4180,1,선물상자 1-18,4180,4180,4180,0
0,4181,1,[궤짝그룹확률] 구리 궤짝 LV.4,4181,4181,4181,0
0,4190,1,선물상자 1-19,4190,4190,4190,0
0,4191,1,[궤짝그룹확률] 은 궤짝 LV.4,4191,4191,4191,0
0,4200,1,선물상자 1-20,4200,4200,4200,0
0,4201,1,[궤짝그룹확률] 금 궤짝 LV.4,4201,4201,4201,0
0,4210,1,선물상자 1-21,4210,4210,4210,0
0,4211,1,[궤짝그룹확률] 최고급 나무 궤짝 51~60레벨,4211,4211,4211,0
0,4220,1,선물상자 1-22,4220,4220,4220,0
0,4221,1,[궤짝그룹확률] 청동 궤짝 LV.5,4221,4221,4221,0
0,4230,1,선물상자 1-23,4230,4230,4230,0
0,4231,1,[궤짝그룹확률] 구리 궤짝 LV.5,4231,4231,4231,0
0,4240,1,선물상자 1-24,4240,4240,4240,0
0,4241,1,[궤짝그룹확률] 은 궤짝 LV.5,4241,4241,4241,0
0,4250,1,선물상자 1-25,4250,4250,4250,0
0,4251,1,[궤짝그룹확률] 금 궤짝 LV.5,4251,4251,4251,0
0,4260,1,"[궤짝그룹확률] 나무 궤짝 LV.6 [63~74,100]",4260,4260,4260,0
0,4270,1,"[궤짝그룹확률] 청동 궤짝 LV.6 [63~74,300]",4270,4270,4270,0
0,4280,1,"[궤짝그룹확률] 구리 궤짝 LV.6 [63~74,500]",4280,4280,4280,0
0,4290,1,"[궤짝그룹확률] 은 궤짝 LV.6 [63~74,700]",4290,4290,4290,0
0,4300,1,"[궤짝그룹확률] 금 궤짝 LV.6 [63~74,1000]",4300,4300,4300,0
0,6001,1,옵션강화 // 현재등급이 LV1일때 확률,0,6001,0,0
0,6002,1,옵션강화 // 현재등급이 LV2일때 확률,0,6002,0,0
0,6003,1,옵션강화 // 현재등급이 LV3일때 확률,0,6003,0,0
0,6004,1,옵션강화 // 현재등급이 LV4일때 확률,0,6004,0,0
0,6005,1,옵션강화 // 현재등급이 LV5일때 확률,0,6005,0,0
0,6006,1,옵션강화 // 현재등급이 LV6일때 확률,0,6006,0,0
0,6007,1,옵션강화 // 현재등급이 LV7일때 확률,0,6007,0,0
0,6008,1,옵션강화 // 현재등급이 LV8일때 확률,0,6008,0,0
0,6009,1,옵션강화 // 현재등급이 LV9일때 확률,0,6009,0,0
0,6010,1,옵션강화 // 현재등급이 LV10일때 확률,0,6010,0,0
0,6011,1,옵션강화 // 현재등급이 LV11일때 확률,0,6011,0,0
0,6012,1,옵션강화 // 현재등급이 LV12일때 확률,0,6012,0,0
0,6013,1,옵션강화 // 현재등급이 LV13일때 확률,0,6013,0,0
0,6014,1,옵션강화 // 현재등급이 LV14일때 확률,0,6014,0,0
0,7001,1,5마리 몬스터 순서대로 확률(몬스터백사용),0,7001,0,0
0,7002,1,5마리 몬스터 거꾸로 확률(몬스터백사용),0,7002,0,0
0,7003,1,5마리 몬스터 중간레벨대 높은 확률(몬스터 백),0,7003,0,0
0,10001,1,베가본드 돈봉투 보상,10001,0,0,10001
0,10002,1,베가스 돈봉투 보상,10002,0,0,10002
0,10003,1,마할카 돈봉투 보상,10003,0,0,10003
0,10004,1,투투 돈봉투 보상,10004,0,0,10004
0,10005,1,압둘라 돈봉투 보상,10005,0,0,10005
0,10006,1,알비다 돈봉투 보상,10006,0,0,10006
0,10007,1,데스마스터 돈봉투 보상,10007,0,0,10007
0,10008,1,그린들 돈봉투 보상,10008,0,0,10008
0,10009,1,삼바바 돈봉투 보상,10009,0,0,10009
0,10010,1,반디 돈봉투 보상,10010,0,0,10010
0,10011,1,우마이 돈봉투 보상,10011,0,0,10011
0,10012,1,켄타우루스 돈봉투 보상,10012,0,0,10012
0,10013,1,미미르 왕 돈봉투 보상,10013,0,0,10013
0,10014,1,벌룬 돈봉투 보상,10014,0,0,10014
0,10015,1,골렘 돈봉투 보상,10015,0,0,10015
0,10016,1,아르카 돈봉투 보상,10016,0,0,10016
0,10017,1,멘타 론기폴리아 돈봉투 보상,10017,0,0,10017
0,10018,1,키마트 돈봉투 보상,10018,0,0,10018
0,10019,1,안타레스 돈봉투 보상,10019,0,0,10019
0,10020,1,솔방울 언덕(버나언) 49,0,0,0,10020
0,10021,1,미리내 신전(아티스) 33,0,0,0,10021
0,10022,1,미션 결과창 보상 A 확률 ★★★,0,0,10022,0
0,10023,1,미션 결과창 보상 B 확률 ★★★,0,0,10023,0
0,10024,1,미션 결과창 보상 C 확률 ★★★,0,0,10024,0
0,10025,1,미션 결과창 보상 D 확률 ★★★,0,0,10025,0
0,10026,1,미션 결과창 보상 E 확률 ★★★,0,0,10026,0
0,10027,1,미션 결과창 보상 F 확률 ★★★,0,0,10027,0
0,10031,1,미션 결과창 보상 S 확률 ★★★★,0,0,10031,0
0,10032,1,미션 결과창 보상 A 확률 ★★★★,0,0,10032,0
0,10033,1,미션 결과창 보상 B 확률 ★★★★,0,0,10033,0
0,10034,1,미션 결과창 보상 C 확률 ★★★★,0,0,10034,0
0,10035,1,미션 결과창 보상 D 확률 ★★★★,0,0,10035,0
0,10036,1,미션 결과창 보상 E 확률 ★★★★,0,0,10036,0
0,10037,1,미션 결과창 보상 F 확률 ★★★★,0,0,10037,0
0,10045,1,백 5개-바람평원1용,0,10045,0,0
0,10051,1,미션 결과창 보상 S 확률 ★,0,0,10001,0
0,10052,1,미션 결과창 보상 A 확률 ★,0,0,10002,0
0,10053,1,미션 결과창 보상 B 확률 ★,0,0,10003,0
0,10054,1,미션 결과창 보상 C 확률 ★,0,0,10004,0
0,10055,1,미션 결과창 보상 D 확률 ★,0,0,10005,0
0,10056,1,미션 결과창 보상 E 확률 ★,0,0,10006,0
0,10057,1,미션 결과창 보상 F 확률 ★,0,0,10007,0
0,10061,1,미션 결과창 보상 S 확률 ★★,0,0,10011,0
0,10062,1,미션 결과창 보상 A 확률 ★★,0,0,10012,0
0,10063,1,미션 결과창 보상 B 확률 ★★,0,0,10013,0
0,10064,1,미션 결과창 보상 C 확률 ★★,0,0,10014,0
0,10065,1,미션 결과창 보상 D 확률 ★★,0,0,10015,0
0,10066,1,미션 결과창 보상 E 확률 ★★,0,0,10016,0
0,10067,1,미션 결과창 보상 F 확률 ★★,0,0,10017,0
0,10071,1,미션 결과창 보상 S 확률 ★★★,0,0,10021,0
0,10110,1,백 2개 - 인챈트 2번 슬롯,0,10110,0,0
0,10120,1,백 2개 - 코믹 2번 슬롯,0,10120,0,0
0,13010,1,이벤트_China_01,3010,3010,3010,0
0,13020,1,이벤트_China_02,3020,3020,3020,0
0,18010,1,미션보상백그룹장비확률,0,18010,0,0
0,19001,1,"카오스 미션 결과창 보상 S 확률[Success],[Count]",0,19001,19001,0
0,19002,1,"카오스 미션 결과창 보상 A 확률[Success],[Count]",0,19002,19002,0
0,19003,1,"카오스 미션 결과창 보상 B 확률[Success],[Count]",0,19003,19003,0
0,19004,1,"카오스 미션 결과창 보상 C 확률[Success],[Count]",0,19004,19004,0
0,19005,1,"카오스 미션 결과창 보상 D 확률[Success],[Count]",0,19005,19005,0
0,19006,1,"카오스 미션 결과창 보상 E 확률[Success],[Count]",0,19006,19006,0
0,19007,1,"카오스 미션 결과창 보상 F 확률[Success],[Count]",0,19007,19007,0
0,20000,1,맵 0단계 드랍율,0,20000,0,0
0,20010,1,맵 1단계 드랍율,0,20010,0,0
0,20020,1,맵 2단계 드랍율,0,20020,0,0
0,20030,1,맵 3단계 드랍율,0,20030,0,0
0,20040,1,맵 4단계 드랍율,0,20040,0,0
0,20050,1,맵 5단계 드랍율,0,20050,0,0
0,20060,1,맵 6단계 드랍율,0,20060,0,0
0,20070,1,맵 7단계 드랍율,0,20070,0,0
0,20080,1,맵 8단계 드랍율,0,20080,0,0
0,20090,1,맵 9단계 드랍율,0,20090,0,0
0,20100,1,맵 10단계 드랍율,0,20100,0,0
0,20110,1,히든 맵 1단계 드랍률,0,20110,0,0
0,20120,1,히든 맵 2단계 드랍률,0,20120,0,0
0,20130,1,히든 맵 3단계 드랍률,0,20130,0,0
0,30010,1,베가본드 미션 아이템 드랍률,0,30010,0,0
0,30020,1,베가스 미션 아이템 드랍률,0,30020,0,0
0,30030,1,마할카 미션 아이템 드랍률,0,30030,0,0
0,30040,1,투투 미션 아이템 드랍률,0,30040,0,0
0,30050,1,압둘라 미션 아이템 드랍률,0,30050,0,0
0,30060,1,알비다 미션 아이템 드랍률,0,30060,0,0
0,30070,1,데스마스터 미션 아이템 드랍률,0,30070,0,0
0,30080,1,그린들 미션 아이템 드랍률,0,30080,0,0
0,30090,1,삼바바 미션 아이템 드랍률,0,30090,0,0
0,30100,1,반디 여왕 벨라 미션 아이템 드랍률,0,30100,0,0
0,30110,1,우마이 미션 아이템 드랍률,0,30110,0,0
0,30120,1,켄타우르스 미션 아이템 드랍률,0,30120,0,0
0,30130,1,미미르 왕 바룸 미션 아이템 드랍률,0,30130,0,0
0,30140,1,벌룬 미션 아이템 드랍률,0,30140,0,0
0,30150,1,스피넬 골렘 미션 아이템 드랍률,0,30150,0,0
0,30160,1,아르카 미션 아이템 드랍률,0,30160,0,0
0,30170,1,멘타 론기폴리아 미션 아이템 드랍률,0,30170,0,0
0,30180,1,키마트 미션 아이템 드랍률,0,30180,0,0
0,30190,1,안타레스 미션 아이템 드랍률,0,30190,0,0
0,40001,1,바람평원 1 난이도 1 S,0,40001,0,0
0,40002,1,바람평원 1 난이도 1 A,0,40002,0,0
0,40003,1,바람평원 1 난이도 1 B,0,40003,0,0
0,40004,1,바람평원 1 난이도 1 C,0,40004,0,0
0,40005,1,바람평원 1 난이도 1 D,0,40005,0,0
0,40006,1,바람평원 1 난이도 1 E,0,40006,0,0
0,40007,1,바람평원 1 난이도 1 F,0,40007,0,0
0,40008,1,바람평원 1 난이도 2 S,0,40008,0,0
0,40009,1,바람평원 1 난이도 2 A,0,40009,0,0
0,40010,1,바람평원 1 난이도 2 B,0,40010,0,0
0,40011,1,바람평원 1 난이도 2 C,0,40011,0,0
0,40012,1,바람평원 1 난이도 2 D,0,40012,0,0
0,40013,1,바람평원 1 난이도 2 E,0,40013,0,0
0,40014,1,바람평원 1 난이도 2 F,0,40014,0,0
0,40015,1,바람평원 1 난이도 3 S,0,40015,0,0
0,40016,1,바람평원 1 난이도 3 A,0,40016,0,0
0,40017,1,바람평원 1 난이도 3 B,0,40017,0,0
0,40018,1,바람평원 1 난이도 3 C,0,40018,0,0
0,40019,1,바람평원 1 난이도 3 D,0,40019,0,0
0,40020,1,바람평원 1 난이도 3 E,0,40020,0,0
0,40021,1,바람평원 1 난이도 3 F,0,40021,0,0
0,40022,1,바람평원 1 난이도 4 S,0,40022,0,0
0,40023,1,바람평원 1 난이도 4 A,0,40023,0,0
0,40024,1,바람평원 1 난이도 4 B,0,40024,0,0
0,40025,1,바람평원 1 난이도 4 C,0,40025,0,0
0,40026,1,바람평원 1 난이도 4 D,0,40026,0,0
0,40027,1,바람평원 1 난이도 4 E,0,40027,0,0
0,40028,1,바람평원 1 난이도 4 F,0,40028,0,0
0,40029,1,바람평원 2 난이도 1 S,0,40029,0,0
0,40030,1,바람평원 2 난이도 1 A,0,40030,0,0
0,40031,1,바람평원 2 난이도 1 B,0,40031,0,0
0,40032,1,바람평원 2 난이도 1 C,0,40032,0,0
0,40033,1,바람평원 2 난이도 1 D,0,40033,0,0
0,40034,1,바람평원 2 난이도 1 E,0,40034,0,0
0,40035,1,바람평원 2 난이도 1 F,0,40035,0,0
0,40036,1,바람평원 2 난이도 2 S,0,40036,0,0
0,40037,1,바람평원 2 난이도 2 A,0,40037,0,0
0,40038,1,바람평원 2 난이도 2 B,0,40038,0,0
0,40039,1,바람평원 2 난이도 2 C,0,40039,0,0
0,40040,1,바람평원 2 난이도 2 D,0,40040,0,0
0,40041,1,바람평원 2 난이도 2 E,0,40041,0,0
0,40042,1,바람평원 2 난이도 2 F,0,40042,0,0
0,40043,1,바람평원 2 난이도 3 S,0,40043,0,0
0,40044,1,바람평원 2 난이도 3 A,0,40044,0,0
0,40045,1,바람평원 2 난이도 3 B,0,40045,0,0
0,40046,1,바람평원 2 난이도 3 C,0,40046,0,0
0,40047,1,바람평원 2 난이도 3 D,0,40047,0,0
0,40048,1,바람평원 2 난이도 3 E,0,40048,0,0
0,40049,1,바람평원 2 난이도 3 F,0,40049,0,0
0,40050,1,바람평원 2 난이도 4 S,0,40050,0,0
0,40051,1,바람평원 2 난이도 4 A,0,40051,0,0
0,40052,1,바람평원 2 난이도 4 B,0,40052,0,0
0,40053,1,바람평원 2 난이도 4 C,0,40053,0,0
0,40054,1,바람평원 2 난이도 4 D,0,40054,0,0
0,40055,1,바람평원 2 난이도 4 E,0,40055,0,0
0,40056,1,바람평원 2 난이도 4 F,0,40056,0,0
0,40057,1,배신자의 고개 1 난이도 1 S,0,40057,0,0
0,40058,1,배신자의 고개 1 난이도 1 A,0,40058,0,0
0,40059,1,배신자의 고개 1 난이도 1 B,0,40059,0,0
0,40060,1,배신자의 고개 1 난이도 1 C,0,40060,0,0
0,40061,1,배신자의 고개 1 난이도 1 D,0,40061,0,0
0,40062,1,배신자의 고개 1 난이도 1 E,0,40062,0,0
0,40063,1,배신자의 고개 1 난이도 1 F,0,40063,0,0
0,40064,1,배신자의 고개 1 난이도 2 S,0,40064,0,0
0,40065,1,배신자의 고개 1 난이도 2 A,0,40065,0,0
0,40066,1,배신자의 고개 1 난이도 2 B,0,40066,0,0
0,40067,1,배신자의 고개 1 난이도 2 C,0,40067,0,0
0,40068,1,배신자의 고개 1 난이도 2 D,0,40068,0,0
0,40069,1,배신자의 고개 1 난이도 2 E,0,40069,0,0
0,40070,1,배신자의 고개 1 난이도 2 F,0,40070,0,0
0,40071,1,배신자의 고개 1 난이도 3 S,0,40071,0,0
0,40072,1,배신자의 고개 1 난이도 3 A,0,40072,0,0
0,40073,1,배신자의 고개 1 난이도 3 B,0,40073,0,0
0,40074,1,배신자의 고개 1 난이도 3 C,0,40074,0,0
0,40075,1,배신자의 고개 1 난이도 3 D,0,40075,0,0
0,40076,1,배신자의 고개 1 난이도 3 E,0,40076,0,0
0,40077,1,배신자의 고개 1 난이도 3 F,0,40077,0,0
0,40078,1,배신자의 고개 1 난이도 4 S,0,40078,0,0
0,40079,1,배신자의 고개 1 난이도 4 A,0,40079,0,0
0,40080,1,배신자의 고개 1 난이도 4 B,0,40080,0,0
0,40081,1,배신자의 고개 1 난이도 4 C,0,40081,0,0
0,40082,1,배신자의 고개 1 난이도 4 D,0,40082,0,0
0,40083,1,배신자의 고개 1 난이도 4 E,0,40083,0,0
0,40084,1,배신자의 고개 1 난이도 4 F,0,40084,0,0
0,40085,1,배신자의 고개 2 난이도 1 S,0,40085,0,0
0,40086,1,배신자의 고개 2 난이도 1 A,0,40086,0,0
0,40087,1,배신자의 고개 2 난이도 1 B,0,40087,0,0
0,40088,1,배신자의 고개 2 난이도 1 C,0,40088,0,0
0,40089,1,배신자의 고개 2 난이도 1 D,0,40089,0,0
0,40090,1,배신자의 고개 2 난이도 1 E,0,40090,0,0
0,40091,1,배신자의 고개 2 난이도 1 F,0,40091,0,0
0,40092,1,배신자의 고개 2 난이도 2 S,0,40092,0,0
0,40093,1,배신자의 고개 2 난이도 2 A,0,40093,0,0
0,40094,1,배신자의 고개 2 난이도 2 B,0,40094,0,0
0,40095,1,배신자의 고개 2 난이도 2 C,0,40095,0,0
0,40096,1,배신자의 고개 2 난이도 2 D,0,40096,0,0
0,40097,1,배신자의 고개 2 난이도 2 E,0,40097,0,0
0,40098,1,배신자의 고개 2 난이도 2 F,0,40098,0,0
0,40099,1,배신자의 고개 2 난이도 3 S,0,40099,0,0
0,40100,1,배신자의 고개 2 난이도 3 A,0,40100,0,0
0,40101,1,배신자의 고개 2 난이도 3 B,0,40101,0,0
0,40102,1,배신자의 고개 2 난이도 3 C,0,40102,0,0
0,40103,1,배신자의 고개 2 난이도 3 D,0,40103,0,0
0,40104,1,배신자의 고개 2 난이도 3 E,0,40104,0,0
0,40105,1,배신자의 고개 2 난이도 3 F,0,40105,0,0
0,40106,1,배신자의 고개 2 난이도 4 S,0,40106,0,0
0,40107,1,배신자의 고개 2 난이도 4 A,0,40107,0,0
0,40108,1,배신자의 고개 2 난이도 4 B,0,40108,0,0
0,40109,1,배신자의 고개 2 난이도 4 C,0,40109,0,0
0,40110,1,배신자의 고개 2 난이도 4 D,0,40110,0,0
0,40111,1,배신자의 고개 2 난이도 4 E,0,40111,0,0
0,40112,1,배신자의 고개 2 난이도 4 F,0,40112,0,0
0,40113,1,용사의 해안가 1 난이도 1 S,0,40113,0,0
0,40114,1,용사의 해안가 1 난이도 1 A,0,40114,0,0
0,40115,1,용사의 해안가 1 난이도 1 B,0,40115,0,0
0,40116,1,용사의 해안가 1 난이도 1 C,0,40116,0,0
0,40117,1,용사의 해안가 1 난이도 1 D,0,40117,0,0
0,40118,1,용사의 해안가 1 난이도 1 E,0,40118,0,0
0,40119,1,용사의 해안가 1 난이도 1 F,0,40119,0,0
0,40120,1,용사의 해안가 1 난이도 2 S,0,40120,0,0
0,40121,1,용사의 해안가 1 난이도 2 A,0,40121,0,0
0,40122,1,용사의 해안가 1 난이도 2 B,0,40122,0,0
0,40123,1,용사의 해안가 1 난이도 2 C,0,40123,0,0
0,40124,1,용사의 해안가 1 난이도 2 D,0,40124,0,0
0,40125,1,용사의 해안가 1 난이도 2 E,0,40125,0,0
0,40126,1,용사의 해안가 1 난이도 2 F,0,40126,0,0
0,40127,1,용사의 해안가 1 난이도 3 S,0,40127,0,0
0,40128,1,용사의 해안가 1 난이도 3 A,0,40128,0,0
0,40129,1,용사의 해안가 1 난이도 3 B,0,40129,0,0
0,40130,1,용사의 해안가 1 난이도 3 C,0,40130,0,0
0,40131,1,용사의 해안가 1 난이도 3 D,0,40131,0,0
0,40132,1,용사의 해안가 1 난이도 3 E,0,40132,0,0
0,40133,1,용사의 해안가 1 난이도 3 F,0,40133,0,0
0,40134,1,용사의 해안가 1 난이도 4 S,0,40134,0,0
0,40135,1,용사의 해안가 1 난이도 4 A,0,40135,0,0
0,40136,1,용사의 해안가 1 난이도 4 B,0,40136,0,0
0,40137,1,용사의 해안가 1 난이도 4 C,0,40137,0,0
0,40138,1,용사의 해안가 1 난이도 4 D,0,40138,0,0
0,40139,1,용사의 해안가 1 난이도 4 E,0,40139,0,0
0,40140,1,용사의 해안가 1 난이도 4 F,0,40140,0,0
0,40141,1,용사의 해안가 2 난이도 1 S,0,40141,0,0
0,40142,1,용사의 해안가 2 난이도 1 A,0,40142,0,0
0,40143,1,용사의 해안가 2 난이도 1 B,0,40143,0,0
0,40144,1,용사의 해안가 2 난이도 1 C,0,40144,0,0
0,40145,1,용사의 해안가 2 난이도 1 D,0,40145,0,0
0,40146,1,용사의 해안가 2 난이도 1 E,0,40146,0,0
0,40147,1,용사의 해안가 2 난이도 1 F,0,40147,0,0
0,40148,1,용사의 해안가 2 난이도 2 S,0,40148,0,0
0,40149,1,용사의 해안가 2 난이도 2 A,0,40149,0,0
0,40150,1,용사의 해안가 2 난이도 2 B,0,40150,0,0
0,40151,1,용사의 해안가 2 난이도 2 C,0,40151,0,0
0,40152,1,용사의 해안가 2 난이도 2 D,0,40152,0,0
0,40153,1,용사의 해안가 2 난이도 2 E,0,40153,0,0
0,40154,1,용사의 해안가 2 난이도 2 F,0,40154,0,0
0,40155,1,용사의 해안가 2 난이도 3 S,0,40155,0,0
