IDX,f_NationCodeStr,ContainerNo,Memo,SuccessRateControlNo,BagGrpNo01,BagGrpNo02,BagGrpNo03,BagGrpNo04,BagGrpNo05,BagGrpNo06,BagGrpNo07,BagGrpNo08,BagGrpNo09,BagGrpNo10,RewardItem
52,0,101160,바람평원 난이도 2 D,40012,60000120,710170,710180,710160,0,0,0,0,0,0,50902070
53,0,101170,바람평원 난이도 2 E,40013,60000120,710170,710180,710160,0,0,0,0,0,0,0
54,0,101180,바람평원 난이도 2 F,40014,60000120,710170,710180,710160,0,0,0,0,0,0,0
55,0,101190,바람평원 난이도 3 SSS,40015,60000130,710170,710180,710160,710190,710200,0,0,0,0,50902010
56,0,101200,바람평원 난이도 3 SS,40015,60000130,710170,710180,710160,710190,710200,0,0,0,0,50902020
57,0,101210,바람평원 난이도 3 S,40015,60000130,710170,710180,710160,710190,710200,0,0,0,0,50902030
58,0,101220,바람평원 난이도 3 A,40016,60000130,710170,710180,710160,710190,710200,0,0,0,0,50902040
59,0,101230,바람평원 난이도 3 B,40017,60000130,710170,710180,710160,710190,710200,0,0,0,0,50902050
60,0,101240,바람평원 난이도 3 C,40018,60000130,710170,710180,710160,710190,710200,0,0,0,0,50902060
61,0,101250,바람평원 난이도 3 D,40019,60000130,710170,710180,710160,710190,710200,0,0,0,0,50902070
62,0,101260,바람평원 난이도 3 E,40020,60000130,710170,710180,710160,710190,710200,0,0,0,0,0
63,0,101270,바람평원 난이도 3 F,40021,60000130,710170,710180,710160,710190,710200,0,0,0,0,0
64,0,101280,바람평원 난이도 4 SSS,40022,60000140,710170,710180,710160,710190,710200,710210,0,0,0,50902010
65,0,101290,바람평원 난이도 4 SS,40022,60000140,710170,710180,710160,710190,710200,710210,0,0,0,50902020
66,0,101300,바람평원 난이도 4 S,40022,60000140,710170,710180,710160,710190,710200,710210,0,0,0,50902030
67,0,101310,바람평원 난이도 4 A,40023,60000140,710170,710180,710160,710190,710200,710210,0,0,0,50902040
68,0,101320,바람평원 난이도 4 B,40024,60000140,710170,710180,710160,710190,710200,710210,0,0,0,50902050
69,0,101330,바람평원 난이도 4 C,40025,60000140,710170,710180,710160,710190,710200,710210,0,0,0,50902060
70,0,101340,바람평원 난이도 4 D,40026,60000140,710170,710180,710160,710190,710200,710210,0,0,0,50902070
71,0,101350,바람평원 난이도 4 E,40027,60000140,710170,710180,710160,710190,710200,710210,0,0,0,0
72,0,101360,바람평원 난이도 4 F,40028,60000140,710170,710180,710160,710190,710200,710210,0,0,0,0
73,0,102010,숙련된 용자의 길 난이도 1 SSS,40029,60000210,710160,710170,710180,710190,710200,0,0,0,0,50902010
74,0,102020,숙련된 용자의 길 난이도 1 SS,40029,60000210,710160,710170,710180,710190,710200,0,0,0,0,50902020
75,0,102030,숙련된 용자의 길 난이도 1 S,40029,60000210,710160,710170,710180,710190,710200,0,0,0,0,50902030
76,0,102040,숙련된 용자의 길 난이도 1 A,40030,60000210,710160,710170,710180,710190,710200,0,0,0,0,50902040
77,0,102050,숙련된 용자의 길 난이도 1 B,40031,60000210,710160,710170,710180,710190,710200,0,0,0,0,50902050
78,0,102060,숙련된 용자의 길 난이도 1 C,40032,60000210,710160,710170,710180,710190,710200,0,0,0,0,50902060
79,0,102070,숙련된 용자의 길 난이도 1 D,40033,60000210,710160,710170,710180,710190,710200,0,0,0,0,50902070
80,0,102080,숙련된 용자의 길 난이도 1 E,40034,60000210,710160,710170,710180,710190,710200,0,0,0,0,0
81,0,102090,숙련된 용자의 길 난이도 1 F,40035,60000210,710160,710170,710180,710190,710200,0,0,0,0,0
82,0,102100,숙련된 용자의 길 난이도 2 SSS,40036,60000220,710170,710180,710190,710200,710210,0,0,0,0,50902010
83,0,102110,숙련된 용자의 길 난이도 2 SS,40036,60000220,710170,710180,710190,710200,710210,0,0,0,0,50902020
84,0,102120,숙련된 용자의 길 난이도 2 S,40036,60000220,710170,710180,710190,710200,710210,0,0,0,0,50902030
85,0,102130,숙련된 용자의 길 난이도 2 A,40037,60000220,710170,710180,710190,710200,710210,0,0,0,0,50902040
86,0,102140,숙련된 용자의 길 난이도 2 B,40038,60000220,710170,710180,710190,710200,710210,0,0,0,0,50902050
87,0,102150,숙련된 용자의 길 난이도 2 C,40039,60000220,710170,710180,710190,710200,710210,0,0,0,0,50902060
88,0,102160,숙련된 용자의 길 난이도 2 D,40040,60000220,710170,710180,710190,710200,710210,0,0,0,0,50902070
89,0,102170,숙련된 용자의 길 난이도 2 E,40041,60000220,710170,710180,710190,710200,710210,0,0,0,0,0
90,0,102180,숙련된 용자의 길 난이도 2 F,40042,60000220,710170,710180,710190,710200,710210,0,0,0,0,0
91,0,102190,숙련된 용자의 길 난이도 3 SSS,40043,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,50902010
92,0,102200,숙련된 용자의 길 난이도 3 SS,40043,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,50902020
93,0,102210,숙련된 용자의 길 난이도 3 S,40043,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,50902030
94,0,102220,숙련된 용자의 길 난이도 3 A,40044,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,50902040
95,0,102230,숙련된 용자의 길 난이도 3 B,40045,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,50902050
96,0,102240,숙련된 용자의 길 난이도 3 C,40046,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,50902060
97,0,102250,숙련된 용자의 길 난이도 3 D,40047,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,50902070
98,0,102260,숙련된 용자의 길 난이도 3 E,40048,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,0
99,0,102270,숙련된 용자의 길 난이도 3 F,40049,60000230,610060,610010,710170,710180,710190,710200,710210,710220,0,0
100,0,102280,숙련된 용자의 길 난이도 4 SSS,40050,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,50902010
101,0,102290,숙련된 용자의 길 난이도 4 SS,40050,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,50902020
102,0,102300,숙련된 용자의 길 난이도 4 S,40050,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,50902030
103,0,102310,숙련된 용자의 길 난이도 4 A,40051,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,50902040
104,0,102320,숙련된 용자의 길 난이도 4 B,40052,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,50902050
105,0,102330,숙련된 용자의 길 난이도 4 C,40053,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,50902060
106,0,102340,숙련된 용자의 길 난이도 4 D,40054,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,50902070
107,0,102350,숙련된 용자의 길 난이도 4 E,40055,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,0
108,0,102360,숙련된 용자의 길 난이도 4 F,40056,60000240,610040,610050,710190,710200,710210,710220,710230,710240,0,0
109,0,103010,배신자의 고개 난이도 1 SSS,40057,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,50902080
110,0,103020,배신자의 고개 난이도 1 SS,40057,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,50902090
111,0,103030,배신자의 고개 난이도 1 S,40057,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,50902100
112,0,103040,배신자의 고개 난이도 1 A,40058,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,50902110
113,0,103050,배신자의 고개 난이도 1 B,40059,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,50902120
114,0,103060,배신자의 고개 난이도 1 C,40060,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,50902130
115,0,103070,배신자의 고개 난이도 1 D,40061,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,50902140
116,0,103080,배신자의 고개 난이도 1 E,40062,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,0
117,0,103090,배신자의 고개 난이도 1 F,40063,60000310,610030,650015,710250,710260,710270,710280,710290,710300,0,0
118,0,103100,배신자의 고개 난이도 2 SSS,40064,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,50902080
119,0,103110,배신자의 고개 난이도 2 SS,40064,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,50902090
120,0,103120,배신자의 고개 난이도 2 S,40064,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,50902100
121,0,103130,배신자의 고개 난이도 2 A,40065,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,50902110
122,0,103140,배신자의 고개 난이도 2 B,40066,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,50902120
123,0,103150,배신자의 고개 난이도 2 C,40067,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,50902130
124,0,103160,배신자의 고개 난이도 2 D,40068,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,50902140
125,0,103170,배신자의 고개 난이도 2 E,40069,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,0
126,0,103180,배신자의 고개 난이도 2 F,40070,60000320,610020,650016,710270,710280,710290,710300,710320,710330,0,0
127,0,103190,배신자의 고개 난이도 3 SSS,40071,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,50902080
128,0,103200,배신자의 고개 난이도 3 SS,40071,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,50902090
129,0,103210,배신자의 고개 난이도 3 S,40071,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,50902100
130,0,103220,배신자의 고개 난이도 3 A,40072,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,50902110
131,0,103230,배신자의 고개 난이도 3 B,40073,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,50902120
132,0,103240,배신자의 고개 난이도 3 C,40074,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,50902130
133,0,103250,배신자의 고개 난이도 3 D,40075,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,50902140
134,0,103260,배신자의 고개 난이도 3 E,40076,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,0
135,0,103270,배신자의 고개 난이도 3 F,40077,60000330,650013,650014,710280,710290,710300,710310,710320,710330,0,0
136,0,103280,배신자의 고개 난이도 4 SSS,40078,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,50902080
137,0,103290,배신자의 고개 난이도 4 SS,40078,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,50902090
138,0,103300,배신자의 고개 난이도 4 S,40078,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,50902100
139,0,103310,배신자의 고개 난이도 4 A,40079,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,50902110
140,0,103320,배신자의 고개 난이도 4 B,40080,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,50902120
141,0,103330,배신자의 고개 난이도 4 C,40081,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,50902130
142,0,103340,배신자의 고개 난이도 4 D,40082,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,50902140
143,0,103350,배신자의 고개 난이도 4 E,40083,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,0
144,0,103360,배신자의 고개 난이도 4 F,40084,60000340,650011,710280,710290,710300,710310,710320,710330,0,0,0
145,0,104010,망각의 협곡 난이도 1 SSS,40085,60000410,610110,650012,710350,710360,710370,710380,0,0,0,50902150
146,0,104020,망각의 협곡 난이도 1 SS,40085,60000410,610110,650012,710350,710360,710370,710380,0,0,0,50902160
147,0,104030,망각의 협곡 난이도 1 S,40085,60000410,610110,650012,710350,710360,710370,710380,0,0,0,50902170
148,0,104040,망각의 협곡 난이도 1 A,40086,60000410,610110,650012,710350,710360,710370,710380,0,0,0,50902180
149,0,104050,망각의 협곡 난이도 1 B,40087,60000410,610110,650012,710350,710360,710370,710380,0,0,0,50902190
150,0,104060,망각의 협곡 난이도 1 C,40088,60000410,610110,650012,710350,710360,710370,710380,0,0,0,50902200
151,0,104070,망각의 협곡 난이도 1 D,40089,60000410,610110,650012,710350,710360,710370,710380,0,0,0,50902210
152,0,104080,망각의 협곡 난이도 1 E,40090,60000410,610110,650012,710350,710360,710370,710380,0,0,0,0
153,0,104090,망각의 협곡 난이도 1 F,40091,60000410,610110,650012,710350,710360,710370,710380,0,0,0,0
154,0,104100,망각의 협곡 난이도 2 SSS,40092,60000420,610120,710340,710350,710390,710400,710410,0,0,0,50902150
155,0,104110,망각의 협곡 난이도 2 SS,40092,60000420,610120,710340,710350,710390,710400,710410,0,0,0,50902160
156,0,104120,망각의 협곡 난이도 2 S,40092,60000420,610120,710340,710350,710390,710400,710410,0,0,0,50902170
157,0,104130,망각의 협곡 난이도 2 A,40093,60000420,610120,710340,710350,710390,710400,710410,0,0,0,50902180
158,0,104140,망각의 협곡 난이도 2 B,40094,60000420,610120,710340,710350,710390,710400,710410,0,0,0,50902190
159,0,104150,망각의 협곡 난이도 2 C,40095,60000420,610120,710340,710350,710390,710400,710410,0,0,0,50902200
160,0,104160,망각의 협곡 난이도 2 D,40096,60000420,610120,710340,710350,710390,710400,710410,0,0,0,50902210
161,0,104170,망각의 협곡 난이도 2 E,40097,60000420,610120,710340,710350,710390,710400,710410,0,0,0,0
162,0,104180,망각의 협곡 난이도 2 F,40098,60000420,610120,710340,710350,710390,710400,710410,0,0,0,0
163,0,104190,망각의 협곡 난이도 3 SSS,40099,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,50902150
164,0,104200,망각의 협곡 난이도 3 SS,40099,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,50902160
165,0,104210,망각의 협곡 난이도 3 S,40099,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,50902170
166,0,104220,망각의 협곡 난이도 3 A,40100,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,50902180
167,0,104230,망각의 협곡 난이도 3 B,40101,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,50902190
168,0,104240,망각의 협곡 난이도 3 C,40102,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,50902200
169,0,104250,망각의 협곡 난이도 3 D,40103,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,50902210
170,0,104260,망각의 협곡 난이도 3 E,40104,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,0
171,0,104270,망각의 협곡 난이도 3 F,40105,60000430,610100,710360,710390,710400,710410,710420,710440,0,0,0
172,0,104280,망각의 협곡 난이도 4 SSS,40106,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,50902150
173,0,104290,망각의 협곡 난이도 4 SS,40106,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,50902160
174,0,104300,망각의 협곡 난이도 4 S,40106,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,50902170
175,0,104310,망각의 협곡 난이도 4 A,40107,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,50902180
176,0,104320,망각의 협곡 난이도 4 B,40108,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,50902190
177,0,104330,망각의 협곡 난이도 4 C,40109,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,50902200
178,0,104340,망각의 협곡 난이도 4 D,40110,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,50902210
179,0,104350,망각의 협곡 난이도 4 E,40111,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,0
180,0,104360,망각의 협곡 난이도 4 F,40112,60000440,610090,710370,710380,710390,710400,710410,710420,710430,0,0
181,0,105010,수염고래 해안가 난이도 1 SSS,40113,60000510,610070,710450,710460,710470,710480,0,0,0,0,50902220
182,0,105020,수염고래 해안가 난이도 1 SS,40113,60000510,610070,710450,710460,710470,710480,0,0,0,0,50902230
183,0,105030,수염고래 해안가 난이도 1 S,40113,60000510,610070,710450,710460,710470,710480,0,0,0,0,50902240
184,0,105040,수염고래 해안가 난이도 1 A,40114,60000510,610070,710450,710460,710470,710480,0,0,0,0,50902250
185,0,105050,수염고래 해안가 난이도 1 B,40115,60000510,610070,710450,710460,710470,710480,0,0,0,0,50902260
186,0,105060,수염고래 해안가 난이도 1 C,40116,60000510,610070,710450,710460,710470,710480,0,0,0,0,50902270
187,0,105070,수염고래 해안가 난이도 1 D,40117,60000510,610070,710450,710460,710470,710480,0,0,0,0,50902280
188,0,105080,수염고래 해안가 난이도 1 E,40118,60000510,610070,710450,710460,710470,710480,0,0,0,0,0
189,0,105090,수염고래 해안가 난이도 1 F,40119,60000510,610070,710450,710460,710470,710480,0,0,0,0,0
190,0,105100,수염고래 해안가 난이도 2 SSS,40120,60000520,610080,710490,710500,710510,710530,710540,0,0,0,50902220
191,0,105110,수염고래 해안가 난이도 2 SS,40120,60000520,610080,710490,710500,710510,710530,710540,0,0,0,50902230
192,0,105120,수염고래 해안가 난이도 2 S,40120,60000520,610080,710490,710500,710510,710530,710540,0,0,0,50902240
193,0,105130,수염고래 해안가 난이도 2 A,40121,60000520,610080,710490,710500,710510,710530,710540,0,0,0,50902250
194,0,105140,수염고래 해안가 난이도 2 B,40122,60000520,610080,710490,710500,710510,710530,710540,0,0,0,50902260
195,0,105150,수염고래 해안가 난이도 2 C,40123,60000520,610080,710490,710500,710510,710530,710540,0,0,0,50902270
196,0,105160,수염고래 해안가 난이도 2 D,40124,60000520,610080,710490,710500,710510,710530,710540,0,0,0,50902280
197,0,105170,수염고래 해안가 난이도 2 E,40125,60000520,610080,710490,710500,710510,710530,710540,0,0,0,0
198,0,105180,수염고래 해안가 난이도 2 F,40126,60000520,610080,710490,710500,710510,710530,710540,0,0,0,0
199,0,105190,수염고래 해안가 난이도 3 SSS,40127,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,50902220
200,0,105200,수염고래 해안가 난이도 3 SS,40127,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,50902230
201,0,105210,수염고래 해안가 난이도 3 S,40127,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,50902240
202,0,105220,수염고래 해안가 난이도 3 A,40128,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,50902250
203,0,105230,수염고래 해안가 난이도 3 B,40129,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,50902260
204,0,105240,수염고래 해안가 난이도 3 C,40130,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,50902270
205,0,105250,수염고래 해안가 난이도 3 D,40131,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,50902280
206,0,105260,수염고래 해안가 난이도 3 E,40132,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,0
207,0,105270,수염고래 해안가 난이도 3 F,40133,60000530,610170,710490,710500,710510,710520,710550,710560,0,0,0
208,0,105280,수염고래 해안가 난이도 4 SSS,40134,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,50902220
209,0,105290,수염고래 해안가 난이도 4 SS,40134,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,50902230
210,0,105300,수염고래 해안가 난이도 4 S,40134,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,50902240
211,0,105310,수염고래 해안가 난이도 4 A,40135,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,50902250
212,0,105320,수염고래 해안가 난이도 4 B,40136,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,50902260
213,0,105330,수염고래 해안가 난이도 4 C,40137,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,50902270
214,0,105340,수염고래 해안가 난이도 4 D,40138,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,50902280
215,0,105350,수염고래 해안가 난이도 4 E,40139,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,0
216,0,105360,수염고래 해안가 난이도 4 F,40140,60000540,610180,710520,710530,710540,710550,710560,710570,710580,0,0
217,0,106010,스티븐 무역항 난이도 1 SSS,40141,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,50902290
218,0,106020,스티븐 무역항 난이도 1 SS,40141,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,50902300
219,0,106030,스티븐 무역항 난이도 1 S,40141,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,50902310
220,0,106040,스티븐 무역항 난이도 1 A,40142,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,50902320
221,0,106050,스티븐 무역항 난이도 1 B,40143,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,50902330
222,0,106060,스티븐 무역항 난이도 1 C,40144,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,50902340
223,0,106070,스티븐 무역항 난이도 1 D,40145,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,50902350
224,0,106080,스티븐 무역항 난이도 1 E,40146,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,0
225,0,106090,스티븐 무역항 난이도 1 F,40147,60000610,610160,710530,710540,710550,710560,710570,710580,0,0,0
226,0,106100,스티븐 무역항 난이도 2  SSS,40148,60000620,610150,710570,710580,710590,710600,710610,0,0,0,50902290
227,0,106110,스티븐 무역항 난이도 2  SS,40148,60000620,610150,710570,710580,710590,710600,710610,0,0,0,50902300
228,0,106120,스티븐 무역항 난이도 2  S,40148,60000620,610150,710570,710580,710590,710600,710610,0,0,0,50902310
229,0,106130,스티븐 무역항 난이도 2  A,40149,60000620,610150,710570,710580,710590,710600,710610,0,0,0,50902320
230,0,106140,스티븐 무역항 난이도 2  B,40150,60000620,610150,710570,710580,710590,710600,710610,0,0,0,50902330
231,0,106150,스티븐 무역항 난이도 2  C,40151,60000620,610150,710570,710580,710590,710600,710610,0,0,0,50902340
232,0,106160,스티븐 무역항 난이도 2  D,40152,60000620,610150,710570,710580,710590,710600,710610,0,0,0,50902350
233,0,106170,스티븐 무역항 난이도 2  E,40153,60000620,610150,710570,710580,710590,710600,710610,0,0,0,0
234,0,106180,스티븐 무역항 난이도 2  F,40154,60000620,610150,710570,710580,710590,710600,710610,0,0,0,0
235,0,106190,스티븐 무역항 난이도 3  SSS,40155,60000630,610130,710600,710610,710620,710630,710640,710650,710660,0,50902290
236,0,106200,스티븐 무역항 난이도 3  SS,40155,60000630,610130,710600,710610,710620,710630,710640,710650,710660,0,50902300
