ResNo,Memo,IconPath,XmlPath,U,V,UVIndex,AddResNo1,AddResNo2,AddResNo3
308101,치명타 공격력 20% 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,17,0,0,0
308201,HP 회복속도 25% 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,56,0,0,0
308301,MP 회복속도 25% 증가 ,../Data/6_UI/icon/skillbuff01.tga,.,8,8,55,0,0,0
308401,경험치 10% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,3,0,0,0
308501,대어를 잡자,../Data/6_UI/icon/skillbuff04.tga,.,8,8,62,0,0,0
308601,편안한 흔들의자,../Data/6_UI/icon/skillbuff04.tga,.,8,8,63,0,0,0
308701,공중부양,../Data/6_UI/icon/skillbuff04.tga,.,8,8,61,0,0,0
308900,[라그나로크] 차원저항 디버프 - 효과,../Data/6_UI/icon/skillbuff06.tga,.,8,8,56,0,0,0
309000,[라그나로크] 차원저항 해제,../Data/6_UI/icon/skillbuff06.tga,.,8,8,57,0,0,0
309200,[라그나로크] 결계저항(글레스트헤임) 디버프 - 효과,../Data/6_UI/icon/skillbuff06.tga,.,8,8,58,0,0,0
309300,[라그나로크] 결계저항(글레스트헤임) 해제,../Data/6_UI/icon/skillbuff06.tga,.,8,8,59,0,0,0
400001,요리에 의한 버프,../Data/6_UI/icon/skillbuff01.tga,.,8,8,55,0,0,0
401801,경험치 증가 100%,../Data/6_UI/icon/skillbuff02.tga,.,8,8,50,0,0,0
401901,획득 머니량 증가 100%,../Data/6_UI/icon/skillbuff02.tga,.,8,8,9,0,0,0
403401,점프 강제 금지,../Data/6_UI/icon/skillbuff02.tga,.,8,8,39,0,0,0
403501,대쉬 강제 금지,../Data/6_UI/icon/skillbuff02.tga,.,8,8,40,0,0,0
406901,잭의 완두콩,../Data/6_UI/icon/skillbuff01_tw.tga,.,8,8,1,0,0,0
407001,우정무가,../Data/6_UI/icon/skillbuff01_tw.tga,.,8,8,2,0,0,0
407301,무적침통,../Data/6_UI/icon/skillbuff01_tw.tga,.,8,8,3,0,0,0
407401,명중만점,../Data/6_UI/icon/skillbuff01_tw.tga,.,8,8,4,0,0,0
407701,이탈리아,../Data/6_UI/icon/skillbuff01_tw.tga,.,8,8,5,0,0,0
407801,푸른소변신,../Data/6_UI/icon/skillbuff01_tw.tga,.,8,8,6,0,0,0
407901,나비,../Data/6_UI/icon/skillbuff01_tw.tga,.,8,8,7,0,0,0
408201,드래곤 로드의 축복,../Data/6_UI/icon/skillbuff02.tga,.,8,8,56,0,0,0
408301,가토의 회복속도 증가 포션,../Data/6_UI/icon/skillbuff02.tga,.,8,8,57,0,0,0
408401,경험치 50% UP 포션 (1시간),../Data/6_UI/icon/skillbuff02.tga,.,8,8,59,0,0,0
408501,경험치 더블UP 증가 포션 (1시간),../Data/6_UI/icon/skillbuff02.tga,.,8,8,61,0,0,0
408601,경험치 50% UP 포션 (1일) ,../Data/6_UI/icon/skillbuff02.tga,.,8,8,60,0,0,0
408701,경험치 더블UP 증가 포션 (1일),../Data/6_UI/icon/skillbuff02.tga,.,8,8,62,0,0,0
408801,경험치 1.5배 증가 포션 (오전),../Data/6_UI/icon/skillbuff02.tga,.,8,8,63,0,0,0
408901,경험치 1.5배 증가 포션 (오후),../Data/6_UI/icon/skillbuff02.tga,.,8,8,64,0,0,0
409001,경험치 1.5배 증가 포션 (저녁),../Data/6_UI/icon/skillbuff03.tga,.,8,8,1,0,0,0
409101,경험치 1.5배 증가 포션 (밤),../Data/6_UI/icon/skillbuff03.tga,.,8,8,2,0,0,0
409201,10% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,3,0,0,0
409301,20% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,4,0,0,0
409401,30% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,5,0,0,0
409501,40% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,6,0,0,0
409601,50% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,7,0,0,0
409701,60% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,8,0,0,0
409801,70% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,9,0,0,0
409901,80% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,10,0,0,0
410001,90% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,11,0,0,0
410101,Double EXP Potion,../Data/6_UI/icon/skillbuff02.tga,.,8,8,50,0,0,0
410201,Mini 10% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,13,0,0,0
410301,Mini 20% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,14,0,0,0
410401,Mini 30% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,15,0,0,0
410501,Mini 40% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,16,0,0,0
410601,Mini 50% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,17,0,0,0
410701,Mini 60% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,18,0,0,0
410801,Mini 70% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,19,0,0,0
410901,Mini 80% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,20,0,0,0
411001,Mini 90% EXP Potion,../Data/6_UI/icon/skillbuff03.tga,.,8,8,21,0,0,0
411101,Mini Double EXP Potion,../Data/6_UI/icon/skillbuff02.tga,.,8,8,50,0,0,0
411201,경험치 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,27,0,0,0
411202,경험치 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,27,0,0,0
411203,경험치 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,27,0,0,0
411204,경험치 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,27,0,0,0
411205,경험치 10% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,27,0,0,0
411206,드래곤 로드의 축복,../Data/6_UI/icon/skillbuff02.tga,.,8,8,56,0,0,0
411217,경험치 5% 증가(채널),../Data/6_UI/icon/skillbuff04.tga,.,8,8,33,0,0,0
411219,경험치 20% 증가(채널),../Data/6_UI/icon/skillbuff04.tga,.,8,8,13,0,0,0
411220,경험치 50% 증가(2등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,44,0,0,0
411221,경험치 100% 증가(3등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,45,0,0,0
411222,경험치 150% 증가(4등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,46,0,0,0
411223,경험치 200% 증가(5등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,47,0,0,0
411224,경험치 250% 증가(6등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,48,0,0,0
411225,경험치 300% 증가(7등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,49,0,0,0
411226,경험치 350% 증가(8등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,50,0,0,0
411227,경험치 15% 증가(채널),../Data/6_UI/icon/skillbuff04.tga,.,8,8,64,0,0,0
411228,경험치 30% 증가(채널),../Data/6_UI/icon/skillbuff03.tga,.,8,8,5,0,0,0
411250,경험치 20% 증가(피씨방),../Data/6_UI/icon/skillbuff05.tga,.,8,8,36,0,0,0
411301,회피율 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,28,0,0,0
411302,회피율 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,28,0,0,0
411303,회피율 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,28,0,0,0
411304,회피율 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,28,0,0,0
411401,공격속도 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,29,0,0,0
411402,공격속도 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,29,0,0,0
411403,공격속도 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,29,0,0,0
411404,공격속도 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,29,0,0,0
411501,마법 방어력 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,30,0,0,0
411502,마법 방어력 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,30,0,0,0
411503,마법 방어력 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,30,0,0,0
411504,마법 방어력 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,30,0,0,0
411601,마법 공격력 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,31,0,0,0
411602,마법 공격력 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,31,0,0,0
411603,마법 공격력 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,31,0,0,0
411604,마법 공격력 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,31,0,0,0
411701,MP 회복속도 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,32,0,0,0
411702,MP 회복속도 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,32,0,0,0
411703,MP 회복속도 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,32,0,0,0
411704,MP 회복속도 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,32,0,0,0
411705,MP 회복속도 10% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,32,0,0,0
411801,명중률 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,33,0,0,0
411802,명중률 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,33,0,0,0
411803,명중률 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,33,0,0,0
411804,명중률 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,33,0,0,0
411901,이동속도 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,34,0,0,0
411902,이동속도 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,34,0,0,0
411903,이동속도 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,34,0,0,0
411904,이동속도 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,34,0,0,0
412001,HP 회복속도 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,35,0,0,0
412002,HP 회복속도 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,35,0,0,0
412003,HP 회복속도 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,35,0,0,0
412004,HP 회복속도 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,35,0,0,0
412101,치명타 확률 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,36,0,0,0
412102,치명타 확률 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,36,0,0,0
412103,치명타 확률 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,36,0,0,0
412104,치명타 확률 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,36,0,0,0
412201,데미지 감소 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,37,0,0,0
412202,데미지 감소 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,37,0,0,0
412203,데미지 감소 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,37,0,0,0
412204,데미지 감소 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,37,0,0,0
412301,물리 공격력 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,38,0,0,0
412302,물리 공격력 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,38,0,0,0
412303,물리 공격력 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,38,0,0,0
412304,물리 공격력 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,38,0,0,0
412305,물리 공격력 10% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,38,0,0,0
412401,물리 방어력 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,39,0,0,0
412402,물리 방어력 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,39,0,0,0
412403,물리 방어력 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,39,0,0,0
412404,물리 방어력 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,39,0,0,0
412501,블록율 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,40,0,0,0
412502,블록율 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,40,0,0,0
412503,블록율 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,40,0,0,0
412504,블록율 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,40,0,0,0
412601,최대 HP 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,41,0,0,0
412602,최대 HP 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,41,0,0,0
412603,최대 HP 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,41,0,0,0
412604,최대 HP 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,41,0,0,0
412701,최대 MP 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,42,0,0,0
412702,최대 MP 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,42,0,0,0
412703,최대 MP 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,42,0,0,0
412704,최대 MP 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,42,0,0,0
412801,치명타 공격력 2% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,43,0,0,0
412802,치명타 공격력 3% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,43,0,0,0
412803,치명타 공격력 4% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,43,0,0,0
412804,치명타 공격력 5% 증가,../Data/6_UI/icon/skillbuff03.tga,.,8,8,43,0,0,0
412901,경험치 50% 증가(2등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,44,0,0,0
412902,경험치 80% 증가(3등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,45,0,0,0
412903,경험치 100% 증가(4등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,46,0,0,0
412904,경험치 100% 증가(5등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,46,0,0,0
412905,경험치 100% 증가(6등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,46,0,0,0
412906,경험치 100% 증가(7등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,46,0,0,0
412907,경험치 100% 증가(8등 캐릭터 보상),../Data/6_UI/icon/skillbuff04.tga,.,8,8,46,0,0,0
418001,경험치 2배 증가 포션 (오전),../Data/6_UI/icon/skillbuff03.tga,.,8,8,23,0,0,0
418101,경험치 2배 증가 포션 (오후),../Data/6_UI/icon/skillbuff03.tga,.,8,8,24,0,0,0
418201,경험치 2배 증가 포션 (저녁),../Data/6_UI/icon/skillbuff03.tga,.,8,8,25,0,0,0
418301,경험치 2배 증가 포션 (밤),../Data/6_UI/icon/skillbuff03.tga,.,8,8,26,0,0,0
418401,경험치 1.2배 증가,../Data/6_UI/icon/skillbuff02.tga,.,8,8,42,0,0,0
418501,경험치 1.3배 증가,../Data/6_UI/icon/skillbuff02.tga,.,8,8,43,0,0,0
418601,경험치 1.6배 증가,../Data/6_UI/icon/skillbuff02.tga,.,8,8,46,0,0,0
418701,경험치 1.9배 증가,../Data/6_UI/icon/skillbuff02.tga,.,8,8,49,0,0,0
419001,유자열매,../Data/6_UI/icon/skillbuff03.tga,.,8,8,47,0,0,0
419101,흰색 월병,../Data/6_UI/icon/skillbuff03.tga,.,8,8,48,0,0,0
419201,붉은색 월병,../Data/6_UI/icon/skillbuff03.tga,.,8,8,49,0,0,0
419301,노랑색 월병,../Data/6_UI/icon/skillbuff03.tga,.,8,8,50,0,0,0
419401,녹색 월병,../Data/6_UI/icon/skillbuff03.tga,.,8,8,51,0,0,0
419501,유령 화이트 초코렛(버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,5,0,0,0
419601,마녀모자 초코렛(버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,6,0,0,0
419701,호박 쿠키(버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,7,0,0,0
419801,호박 머핀(버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,8,0,0,0
419901,알록달록한 사탕 (버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,9,0,0,0
420001,호박등(버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,10,0,0,0
420101,호박젤리(버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,11,0,0,0
420201,알록달록한 초코렛(버프아이콘),../Data/6_UI/icon/skillbuff04.tga,.,8,8,12,0,0,0
420401,크리스마스 초콜릿 장식,../Data/6_UI/icon/skillbuff04.tga,.,8,8,15,0,0,0
420501,크리스마스 방울 장식,../Data/6_UI/icon/skillbuff04.tga,.,8,8,16,0,0,0
420601,튼튼한 산타 썰매,../Data/6_UI/icon/skillbuff04.tga,.,8,8,17,0,0,0
420701,크리스마스 원형 장식,../Data/6_UI/icon/skillbuff04.tga,.,8,8,18,0,0,0
420801,크리스마스 골든 벨,../Data/6_UI/icon/skillbuff04.tga,.,8,8,19,0,0,0
420901,크리스마스 빨강 양초,../Data/6_UI/icon/skillbuff04.tga,.,8,8,20,0,0,0
430101,경험치 증가,../Data/6_UI/icon/skillbuff02.tga,.,8,8,8,0,0,0
430901,경험치 증가(히든),../Data/6_UI/icon/skillbuff02.tga,.,8,8,8,0,0,0
431001,경험치 증가(카오스),../Data/6_UI/icon/skillbuff02.tga,.,8,8,8,0,0,0
440001,크리스마스 초콜릿 장식,../Data/6_UI/icon/skillbuff04.tga,.,8,8,15,0,0,0
440101,크리스마스 방울 장식,../Data/6_UI/icon/skillbuff04.tga,.,8,8,16,0,0,0
440201,튼튼한 산타 썰매,../Data/6_UI/icon/skillbuff04.tga,.,8,8,17,0,0,0
440301,크리스마스 원형 장식,../Data/6_UI/icon/skillbuff04.tga,.,8,8,18,0,0,0
440401,크리스마스 골든 벨,../Data/6_UI/icon/skillbuff04.tga,.,8,8,19,0,0,0
440501,크리스마스 빨강 양초,../Data/6_UI/icon/skillbuff04.tga,.,8,8,20,0,0,0
442801,경험치 3배 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,24,0,0,0
442901,경험치 4배 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,25,0,0,0
443001,경험치 5배 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,26,0,0,0
443101,경험치 3배 증가 포션(2시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,27,0,0,0
443201,경험치 4배 증가 포션(2시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,28,0,0,0
443301,경험치 5배 증가 포션(2시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,29,0,0,0
443401,경험치 3배 증가 포션(1일),../Data/6_UI/icon/skillbuff04.tga,.,8,8,30,0,0,0
443501,경험치 4배 증가 포션(1일),../Data/6_UI/icon/skillbuff04.tga,.,8,8,31,0,0,0
443601,경험치 5배 증가 포션(1일),../Data/6_UI/icon/skillbuff04.tga,.,8,8,32,0,0,0
443701,경험치 10% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,35,0,0,0
443801,경험치 20% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,36,0,0,0
443901,경험치 30% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,37,0,0,0
444001,경험치 40% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,38,0,0,0
444101,경험치 50% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,39,0,0,0
444201,경험치 60% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,40,0,0,0
444301,경험치 70% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,41,0,0,0
444401,경험치 80% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,42,0,0,0
444501,경험치 90% 증가 포션(1시간),../Data/6_UI/icon/skillbuff04.tga,.,8,8,43,0,0,0
444601,경험치 10% 증가(love풍선),../Data/6_UI/icon/skillbuff04.tga,.,8,8,35,0,0,0
444701,시공간의 방패[펫] 버프,../Data/6_UI/icon/skillbuff01.tga,.,8,8,7,0,0,0
500001,전사 파티버프 ,../Data/6_UI/icon/skillbuff02.tga,.,8,8,3,0,0,0
500101,매지션 파티버프 ,../Data/6_UI/icon/skillbuff02.tga,.,8,8,4,0,0,0
