f_NationCodeStr,No,Memo,Rate01,Rate02,Rate03,Rate04,Rate05,Rate06,Rate07,Rate08,Rate09,Rate10,Total_Rate
0,1800,교환용 소울,100,0,0,0,0,0,0,0,0,0,100
0,1900,봉인해제주문서,100,0,0,0,0,0,0,0,0,0,100
0,3010,이벤트_China_01,100,100,100,100,100,100,100,100,100,100,1000
0,3020,이벤트_China_02,100,100,10,0,0,0,0,0,0,0,210
0,4010,선물상자 1-1,11,11,11,11,11,11,11,0,0,0,77
0,4020,선물상자 1-2,11,11,11,11,11,11,11,0,0,0,77
0,4030,선물상자 1-3,11,11,11,11,11,11,11,0,0,0,77
0,4040,선물상자 1-4,11,11,11,11,11,11,11,0,0,0,77
0,4050,선물상자 1-5,11,11,11,11,11,11,11,0,0,0,77
0,4060,선물상자 1-6,10,10,10,10,10,10,10,0,0,0,70
0,4070,선물상자 1-7,10,10,10,10,10,10,10,0,0,0,70
0,4080,선물상자 1-8,10,10,10,10,10,10,10,10,10,10,100
0,4090,선물상자 1-9,10,10,10,10,10,10,10,10,10,10,100
0,4100,선물상자 1-10,10,10,10,10,10,10,10,10,10,10,100
0,4110,선물상자 1-11,10,10,10,10,10,10,10,10,10,10,100
0,4120,선물상자 1-12,10,10,10,10,10,10,10,10,10,10,100
0,4130,선물상자 1-13,10,10,10,10,10,10,10,10,10,10,100
0,4140,선물상자 1-13,10,10,10,10,10,10,10,10,10,10,100
0,4141,[궤짝그룹확률] 은 궤짝 LV.3,10,10,10,10,10,10,10,10,10,5,95
0,4150,선물상자 1-15,10,10,10,10,10,10,10,10,10,10,100
0,4151,[궤짝그룹확률] 금 궤짝 LV.3,10,10,10,10,10,10,10,10,10,5,95
0,4160,선물상자 1-16,10,10,10,10,10,10,10,10,10,10,100
0,4170,선물상자 1-17,10,10,10,10,10,10,10,10,10,10,100
0,4171,[궤짝그룹확률] 청동 궤짝 LV.4,10,10,10,10,10,10,10,10,10,5,95
0,4180,선물상자 1-18,10,10,10,10,10,10,10,10,10,10,100
0,4181,[궤짝그룹확률] 구리 궤짝 LV.4,10,10,10,10,10,10,10,0,0,0,70
0,4190,선물상자 1-19,10,10,10,10,10,10,10,10,10,10,100
0,4191,[궤짝그룹확률] 은 궤짝 LV.4,10,10,10,10,10,10,10,10,10,0,90
0,4200,선물상자 1-20,10,10,10,10,10,10,10,10,10,10,100
0,4201,[궤짝그룹확률] 금 궤짝 LV.4,10,10,10,10,10,10,10,10,10,5,95
0,4210,선물상자 1-21,10,10,10,10,10,10,10,10,10,10,100
0,4211,[궤짝그룹확률] 최고급 나무 궤짝 51~60레벨,10,10,10,10,10,10,10,10,10,5,95
0,4220,선물상자 1-22,10,10,10,10,10,10,10,10,10,10,100
0,4221,[궤짝그룹확률] 청동 궤짝 LV.5,10,10,10,10,10,10,10,10,10,5,95
0,4230,선물상자 1-23,10,10,10,10,10,10,10,10,10,10,100
0,4231,[궤짝그룹확률] 구리 궤짝 LV.5,10,10,10,10,10,10,10,10,10,5,95
0,4240,선물상자 1-24,10,10,10,10,10,10,10,10,10,10,100
0,4241,[궤짝그룹확률] 은 궤짝 LV.5,10,10,10,10,10,10,10,10,10,5,95
0,4250,선물상자 1-25,10,10,10,10,10,10,10,10,10,10,100
0,4251,[궤짝그룹확률] 금 궤짝 LV.5,10,10,10,10,10,10,10,10,10,5,95
0,4260,"[궤짝그룹확률] 나무 궤짝 LV.6 [63~74,100]",10,10,10,10,10,10,10,10,10,5,95
0,4270,"[궤짝그룹확률] 청동 궤짝 LV.6 [63~74,300]",10,10,10,10,10,10,10,10,10,5,95
0,4280,"[궤짝그룹확률] 구리 궤짝 LV.6 [63~74,500]",10,10,10,10,10,10,10,10,10,5,95
0,4290,"[궤짝그룹확률] 은 궤짝 LV.6 [63~74,700]",10,10,10,10,10,10,10,10,10,5,95
0,4300,"[궤짝그룹확률] 금 궤짝 LV.6 [63~74,1000]",10,10,10,10,10,10,10,10,10,5,95
0,6001,옵션강화 // 현재등급이 LV1일때 확률,4750,3400,1500,350,0,0,0,0,0,0,10000
0,6002,옵션강화 // 현재등급이 LV2일때 확률,5100,3200,1400,300,0,0,0,0,0,0,10000
0,6003,옵션강화 // 현재등급이 LV3일때 확률,5450,3000,1300,250,0,0,0,0,0,0,10000
0,6004,옵션강화 // 현재등급이 LV4일때 확률,5800,2800,1200,200,0,0,0,0,0,0,10000
0,6005,옵션강화 // 현재등급이 LV5일때 확률,6150,2600,1100,150,0,0,0,0,0,0,10000
0,6006,옵션강화 // 현재등급이 LV6일때 확률,6500,2400,1000,100,0,0,0,0,0,0,10000
0,6007,옵션강화 // 현재등급이 LV7일때 확률,6850,2200,900,50,0,0,0,0,0,0,10000
0,6008,옵션강화 // 현재등급이 LV8일때 확률,7200,2000,800,0,0,0,0,0,0,0,10000
0,6009,옵션강화 // 현재등급이 LV9일때 확률,7500,1800,700,0,0,0,0,0,0,0,10000
0,6010,옵션강화 // 현재등급이 LV10일때 확률,7800,1600,600,0,0,0,0,0,0,0,10000
0,6011,옵션강화 // 현재등급이 LV11일때 확률,8100,1400,500,0,0,0,0,0,0,0,10000
0,6012,옵션강화 // 현재등급이 LV12일때 확률,8400,1200,400,0,0,0,0,0,0,0,10000
0,6013,옵션강화 // 현재등급이 LV13일때 확률,8700,1100,200,0,0,0,0,0,0,0,10000
0,6014,옵션강화 // 현재등급이 LV14일때 확률,9000,1000,0,0,0,0,0,0,0,0,10000
0,7001,5마리 몬스터 순서대로 확률(몬스터백사용),100,80,60,40,20,0,0,0,0,0,300
0,7002,5마리 몬스터 거꾸로 확률(몬스터백사용),20,40,60,80,100,0,0,0,0,0,300
0,7003,5마리 몬스터 중간레벨대 높은 확률(몬스터 백),60,80,100,80,60,0,0,0,0,0,380
0,10010,백 1개,100,0,0,0,0,0,0,0,0,0,100
0,10020,백 2개,100,100,0,0,0,0,0,0,0,0,200
0,10030,백 3개,100,100,100,0,0,0,0,0,0,0,300
0,10040,백 4개,100,100,100,100,0,0,0,0,0,0,400
0,10045,백 5개-바람평원1용,600,100,100,100,100,0,0,0,0,0,1000
0,10050,백 5개,100,100,100,100,100,0,0,0,0,0,500
0,10060,백 6개,100,100,100,100,100,100,0,0,0,0,600
0,10070,백 7개,100,100,100,100,100,100,100,0,0,0,700
0,10080,백 8개,100,100,100,100,100,100,100,100,0,0,800
0,10090,백 9개,100,100,100,100,100,100,100,100,100,0,900
0,10100,백 10개,100,100,100,100,100,100,100,100,100,100,1000
0,10110,백 2개 - 인챈트 2번 슬롯,100,10,0,0,0,0,0,0,0,0,110
0,10120,백 2개 - 코믹 2번 슬롯,100,10,0,0,0,0,0,0,0,0,110
0,18010,미션보상백그룹장비확률,13,13,13,13,13,13,13,2,3,4,100
0,19001,카오스 미션 결과창 보상 S 확률,300,390,100,100,60,20,0,0,0,0,970
0,19002,카오스 미션 결과창 보상 A 확률,400,380,100,80,40,0,0,0,0,0,1000
0,19003,카오스 미션 결과창 보상 B 확률,500,350,100,50,0,0,0,0,0,0,1000
0,19004,카오스 미션 결과창 보상 C 확률,600,300,100,0,0,0,0,0,0,0,1000
0,19005,카오스 미션 결과창 보상 D 확률,100,0,0,0,0,0,0,0,0,0,100
0,19006,카오스 미션 결과창 보상 E 확률,100,0,0,0,0,0,0,0,0,0,100
0,19007,카오스 미션 결과창 보상 F 확률,100,0,0,0,0,0,0,0,0,0,100
0,20000,맵 0단계 드랍율,840,80,30,10,40,0,0,0,0,0,1000
0,20010,맵 1단계 드랍율,882,80,80,10,5,0,0,0,0,0,1057
0,20020,맵 2단계 드랍율,926,80,80,10,5,0,0,0,0,0,1101
0,20030,맵 3단계 드랍율,972,80,80,10,5,0,0,0,0,0,1147
0,20040,맵 4단계 드랍율,1020,80,80,10,5,0,0,0,0,0,1195
0,20050,맵 5단계 드랍율,1071,80,80,10,5,0,0,0,0,0,1246
0,20060,맵 6단계 드랍율,1124,80,80,10,5,0,0,0,0,0,1299
0,20070,맵 7단계 드랍율,1180,80,80,10,5,0,0,0,0,0,1355
0,20080,맵 8단계 드랍율,1239,80,80,10,5,0,0,0,0,0,1414
0,20090,맵 9단계 드랍율,1300,80,80,10,5,0,0,0,0,0,1475
0,20100,맵 10단계 드랍율,1365,80,80,10,5,0,0,0,0,0,1540
0,20110,히든 맵 1단계 드랍률,550,80,80,10,5,0,0,0,0,0,725
0,20120,히든 맵 2단계 드랍률,550,80,80,10,5,0,0,0,0,0,725
0,20130,히든 맵 3단계 드랍률,550,80,80,10,5,0,0,0,0,0,725
0,30010,베가본드 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30020,베가스 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30030,마할카 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30040,투투 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30050,압둘라 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30060,알비다 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30070,데스마스터 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30080,그린들 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30090,삼바바 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30100,반디 여왕 벨라 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30110,우마이 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30120,켄타우르스 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30130,미미르 왕 바룸 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30140,벌룬 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30150,스피넬 골렘 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30160,시타 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30170,멘타 론기폴리아 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30180,키마트 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,30190,안타레스 미션 아이템 드랍률,0,0,0,0,0,0,0,0,0,0,0
0,40001,바람평원 1 난이도 1 S,200,50,70,90,110,130,0,0,0,0,650
0,40002,바람평원 1 난이도 1 A,150,30,40,50,60,70,0,0,0,0,400
0,40003,바람평원 1 난이도 1 B,100,20,25,30,35,40,0,0,0,0,250
0,40004,바람평원 1 난이도 1 C,50,100,90,80,70,60,0,0,0,0,450
0,40005,바람평원 1 난이도 1 D,5,80,63,48,35,24,0,0,0,0,255
0,40006,바람평원 1 난이도 1 E,5,80,63,48,35,24,0,0,0,0,255
0,40007,바람평원 1 난이도 1 F,5,80,63,48,35,24,0,0,0,0,255
0,40008,바람평원 1 난이도 2 S,200,50,70,90,0,0,0,0,0,0,410
0,40009,바람평원 1 난이도 2 A,150,30,40,50,0,0,0,0,0,0,270
0,40010,바람평원 1 난이도 2 B,100,20,25,30,0,0,0,0,0,0,175
0,40011,바람평원 1 난이도 2 C,50,100,90,80,0,0,0,0,0,0,320
0,40012,바람평원 1 난이도 2 D,5,80,63,48,0,0,0,0,0,0,196
0,40013,바람평원 1 난이도 2 E,5,80,63,48,0,0,0,0,0,0,196
0,40014,바람평원 1 난이도 2 F,5,80,63,48,0,0,0,0,0,0,196
0,40015,바람평원 1 난이도 3 S,200,50,70,90,110,130,0,0,0,0,650
0,40016,바람평원 1 난이도 3 A,150,30,40,50,60,70,0,0,0,0,400
0,40017,바람평원 1 난이도 3 B,100,20,25,30,35,40,0,0,0,0,250
0,40018,바람평원 1 난이도 3 C,50,100,90,80,70,60,0,0,0,0,450
0,40019,바람평원 1 난이도 3 D,50,100,90,80,70,60,0,0,0,0,450
0,40020,바람평원 1 난이도 3 E,50,100,90,80,70,60,0,0,0,0,450
0,40021,바람평원 1 난이도 3 F,50,100,90,80,70,60,0,0,0,0,450
0,40022,바람평원 1 난이도 4 S,200,50,70,90,110,130,150,0,0,0,800
0,40023,바람평원 1 난이도 4 A,150,30,40,50,60,70,80,0,0,0,480
0,40024,바람평원 1 난이도 4 B,100,20,25,30,35,40,45,0,0,0,295
0,40025,바람평원 1 난이도 4 C,50,100,90,80,70,60,50,0,0,0,500
0,40026,바람평원 1 난이도 4 D,5,80,63,48,35,24,15,0,0,0,270
0,40027,바람평원 1 난이도 4 E,5,80,63,48,35,24,15,0,0,0,270
0,40028,바람평원 1 난이도 4 F,5,80,63,48,35,24,15,0,0,0,270
0,40029,바람평원 2 난이도 1 S,200,50,70,90,110,130,0,0,0,0,650
0,40030,바람평원 2 난이도 1 A,150,30,40,50,60,70,0,0,0,0,400
0,40031,바람평원 2 난이도 1 B,100,20,25,30,35,40,0,0,0,0,250
0,40032,바람평원 2 난이도 1 C,50,100,90,80,70,60,0,0,0,0,450
0,40033,바람평원 2 난이도 1 D,5,80,63,48,35,24,0,0,0,0,255
0,40034,바람평원 2 난이도 1 E,5,80,63,48,35,24,0,0,0,0,255
0,40035,바람평원 2 난이도 1 F,5,80,63,48,35,24,0,0,0,0,255
0,40036,바람평원 2 난이도 2 S,200,50,70,90,110,130,0,0,0,0,650
0,40037,바람평원 2 난이도 2 A,150,30,40,50,60,70,0,0,0,0,400
0,40038,바람평원 2 난이도 2 B,100,20,25,30,35,40,0,0,0,0,250
0,40039,바람평원 2 난이도 2 C,50,100,90,80,70,60,0,0,0,0,450
0,40040,바람평원 2 난이도 2 D,5,80,63,48,35,24,0,0,0,0,255
0,40041,바람평원 2 난이도 2 E,5,80,63,48,35,24,0,0,0,0,255
0,40042,바람평원 2 난이도 2 F,5,80,63,48,35,24,0,0,0,0,255
0,40043,바람평원 2 난이도 3 S,200,37,37,90,110,130,150,170,190,0,1114
0,40044,바람평원 2 난이도 3 A,150,15,15,50,60,70,80,90,100,0,630
0,40045,바람평원 2 난이도 3 B,100,6,6,30,35,40,45,50,55,0,367
0,40046,바람평원 2 난이도 3 C,50,9,9,80,70,60,50,40,30,0,398
0,40047,바람평원 2 난이도 3 D,5,7,7,48,35,24,15,8,3,0,152
0,40048,바람평원 2 난이도 3 E,5,7,7,48,35,24,15,8,3,0,152
0,40049,바람평원 2 난이도 3 F,5,7,7,48,35,24,15,8,3,0,152
0,40050,바람평원 2 난이도 4 S,200,37,37,90,110,130,150,170,190,0,1114
0,40051,바람평원 2 난이도 4 A,150,15,15,50,60,70,80,90,100,0,630
0,40052,바람평원 2 난이도 4 B,100,6,6,30,35,40,45,50,55,0,367
0,40053,바람평원 2 난이도 4 C,50,9,9,80,70,60,50,40,30,0,398
0,40054,바람평원 2 난이도 4 D,5,7,7,48,35,24,15,8,3,0,152
0,40055,바람평원 2 난이도 4 E,5,7,7,48,35,24,15,8,3,0,152
0,40056,바람평원 2 난이도 4 F,5,7,7,48,35,24,15,8,3,0,152
0,40057,배신자의 고개 1 난이도 1 S,200,37,37,90,110,130,150,170,190,0,1114
0,40058,배신자의 고개 1 난이도 1 A,150,15,15,50,60,70,80,90,100,0,630
0,40059,배신자의 고개 1 난이도 1 B,100,6,6,30,35,40,45,50,55,0,367
0,40060,배신자의 고개 1 난이도 1 C,50,9,9,80,70,60,50,40,30,0,398
0,40061,배신자의 고개 1 난이도 1 D,5,7,7,48,35,24,15,8,3,0,152
0,40062,배신자의 고개 1 난이도 1 E,5,7,7,48,35,24,15,8,3,0,152
0,40063,배신자의 고개 1 난이도 1 F,5,7,7,48,35,24,15,8,3,0,152
0,40064,배신자의 고개 1 난이도 2 S,200,37,37,90,110,130,150,170,190,0,1114
0,40065,배신자의 고개 1 난이도 2 A,150,15,15,50,60,70,80,90,100,0,630
0,40066,배신자의 고개 1 난이도 2 B,100,6,6,30,35,40,45,50,55,0,367
0,40067,배신자의 고개 1 난이도 2 C,50,9,9,80,70,60,50,40,30,0,398
0,40068,배신자의 고개 1 난이도 2 D,5,7,7,48,35,24,15,8,3,0,152
0,40069,배신자의 고개 1 난이도 2 E,5,7,7,48,35,24,15,8,3,0,152
0,40070,배신자의 고개 1 난이도 2 F,5,7,7,48,35,24,15,8,3,0,152
0,40071,배신자의 고개 1 난이도 3 S,200,37,37,90,110,130,150,170,190,0,1114
0,40072,배신자의 고개 1 난이도 3 A,150,15,15,50,60,70,80,90,100,0,630
0,40073,배신자의 고개 1 난이도 3 B,100,6,6,30,35,40,45,50,55,0,367
0,40074,배신자의 고개 1 난이도 3 C,50,9,9,80,70,60,50,40,30,0,398
0,40075,배신자의 고개 1 난이도 3 D,5,7,7,48,35,24,15,8,3,0,152
0,40076,배신자의 고개 1 난이도 3 E,5,7,7,48,35,24,15,8,3,0,152
0,40077,배신자의 고개 1 난이도 3 F,5,7,7,48,35,24,15,8,3,0,152
0,40078,배신자의 고개 1 난이도 4 S,200,37,70,90,110,130,150,170,0,0,957
0,40079,배신자의 고개 1 난이도 4 A,150,15,40,50,60,70,80,90,0,0,555
0,40080,배신자의 고개 1 난이도 4 B,100,6,25,30,35,40,45,50,0,0,331
0,40081,배신자의 고개 1 난이도 4 C,50,9,90,80,70,60,50,40,0,0,449
0,40082,배신자의 고개 1 난이도 4 D,5,7,63,48,35,24,15,8,0,0,205
0,40083,배신자의 고개 1 난이도 4 E,5,7,63,48,35,24,15,8,0,0,205
0,40084,배신자의 고개 1 난이도 4 F,5,7,63,48,35,24,15,8,0,0,205
0,40085,배신자의 고개 2 난이도 1 S,200,37,37,90,110,130,150,0,0,0,754
0,40086,배신자의 고개 2 난이도 1 A,150,15,15,50,60,70,80,0,0,0,440
0,40087,배신자의 고개 2 난이도 1 B,100,6,6,30,35,40,45,0,0,0,262
0,40088,배신자의 고개 2 난이도 1 C,50,9,9,80,70,60,50,0,0,0,328
0,40089,배신자의 고개 2 난이도 1 D,5,7,7,48,35,24,15,0,0,0,141
0,40090,배신자의 고개 2 난이도 1 E,5,7,7,48,35,24,15,0,0,0,141
0,40091,배신자의 고개 2 난이도 1 F,5,7,7,48,35,24,15,0,0,0,141
0,40092,배신자의 고개 2 난이도 2 S,200,37,70,90,110,130,150,0,0,0,787
0,40093,배신자의 고개 2 난이도 2 A,150,15,40,50,60,70,80,0,0,0,465
0,40094,배신자의 고개 2 난이도 2 B,100,6,25,30,35,40,45,0,0,0,281
0,40095,배신자의 고개 2 난이도 2 C,50,9,90,80,70,60,50,0,0,0,409
0,40096,배신자의 고개 2 난이도 2 D,5,7,63,48,35,24,15,0,0,0,197
0,40097,배신자의 고개 2 난이도 2 E,5,7,63,48,35,24,15,0,0,0,197
0,40098,배신자의 고개 2 난이도 2 F,5,7,63,48,35,24,15,0,0,0,197
0,40099,배신자의 고개 2 난이도 3 S,200,37,70,90,110,130,150,170,0,0,957
0,40100,배신자의 고개 2 난이도 3 A,150,15,40,50,60,70,80,90,0,0,555
0,40101,배신자의 고개 2 난이도 3 B,100,6,25,30,35,40,45,50,0,0,331
0,40102,배신자의 고개 2 난이도 3 C,50,9,90,80,70,60,50,40,0,0,449
0,40103,배신자의 고개 2 난이도 3 D,5,7,63,48,35,24,15,8,0,0,205
0,40104,배신자의 고개 2 난이도 3 E,5,7,63,48,35,24,15,8,0,0,205
0,40105,배신자의 고개 2 난이도 3 F,5,7,63,48,35,24,15,8,0,0,205
0,40106,배신자의 고개 2 난이도 4 S,200,37,70,90,110,130,150,170,190,0,1147
0,40107,배신자의 고개 2 난이도 4 A,150,15,40,50,60,70,80,90,100,0,655
0,40108,배신자의 고개 2 난이도 4 B,100,6,25,30,35,40,45,50,55,0,386
0,40109,배신자의 고개 2 난이도 4 C,50,9,90,80,70,60,50,40,30,0,479
0,40110,배신자의 고개 2 난이도 4 D,5,7,63,48,35,24,15,8,3,0,208
0,40111,배신자의 고개 2 난이도 4 E,5,7,63,48,35,24,15,8,3,0,208
0,40112,배신자의 고개 2 난이도 4 F,5,7,63,48,35,24,15,8,3,0,208
0,40113,용사의 해안가 1 난이도 1 S,200,37,70,90,110,130,0,0,0,0,637
0,40114,용사의 해안가 1 난이도 1 A,150,15,40,50,60,70,0,0,0,0,385
0,40115,용사의 해안가 1 난이도 1 B,100,6,25,30,35,40,0,0,0,0,236
0,40116,용사의 해안가 1 난이도 1 C,50,9,90,80,70,60,0,0,0,0,359
0,40117,용사의 해안가 1 난이도 1 D,5,7,63,48,35,24,0,0,0,0,182
0,40118,용사의 해안가 1 난이도 1 E,5,7,63,48,35,24,0,0,0,0,182
0,40119,용사의 해안가 1 난이도 1 F,5,7,63,48,35,24,0,0,0,0,182
0,40120,용사의 해안가 1 난이도 2 S,200,37,70,90,110,130,150,0,0,0,787
0,40121,용사의 해안가 1 난이도 2 A,150,15,40,50,60,70,80,0,0,0,465
0,40122,용사의 해안가 1 난이도 2 B,100,6,25,30,35,40,45,0,0,0,281
0,40123,용사의 해안가 1 난이도 2 C,50,9,90,80,70,60,50,0,0,0,409
0,40124,용사의 해안가 1 난이도 2 D,5,7,63,48,35,24,15,0,0,0,197
0,40125,용사의 해안가 1 난이도 2 E,5,7,63,48,35,24,15,0,0,0,197
0,40126,용사의 해안가 1 난이도 2 F,5,7,63,48,35,24,15,0,0,0,197
0,40127,용사의 해안가 1 난이도 3 S,200,37,70,90,110,130,150,170,0,0,957
0,40128,용사의 해안가 1 난이도 3 A,150,15,40,50,60,70,80,90,0,0,555
0,40129,용사의 해안가 1 난이도 3 B,100,6,25,30,35,40,45,50,0,0,331
0,40130,용사의 해안가 1 난이도 3 C,50,9,90,80,70,60,50,40,0,0,449
0,40131,용사의 해안가 1 난이도 3 D,5,7,63,48,35,24,15,8,0,0,205
0,40132,용사의 해안가 1 난이도 3 E,5,7,63,48,35,24,15,8,0,0,205
0,40133,용사의 해안가 1 난이도 3 F,5,7,63,48,35,24,15,8,0,0,205
0,40134,용사의 해안가 1 난이도 4 S,200,37,70,90,110,130,150,170,190,0,1147
0,40135,용사의 해안가 1 난이도 4 A,150,15,40,50,60,70,80,90,100,0,655
0,40136,용사의 해안가 1 난이도 4 B,100,6,25,30,35,40,45,50,55,0,386
0,40137,용사의 해안가 1 난이도 4 C,50,9,90,80,70,60,50,40,30,0,479
0,40138,용사의 해안가 1 난이도 4 D,5,7,63,48,35,24,15,8,3,0,208
0,40139,용사의 해안가 1 난이도 4 E,5,7,63,48,35,24,15,8,3,0,208
0,40140,용사의 해안가 1 난이도 4 F,5,7,63,48,35,24,15,8,3,0,208
0,40141,용사의 해안가 2 난이도 1 S,200,37,70,90,110,130,150,170,0,0,957
0,40142,용사의 해안가 2 난이도 1 A,150,15,40,50,60,70,80,90,0,0,555
0,40143,용사의 해안가 2 난이도 1 B,100,6,25,30,35,40,45,50,0,0,331
0,40144,용사의 해안가 2 난이도 1 C,50,9,90,80,70,60,50,40,0,0,449
0,40145,용사의 해안가 2 난이도 1 D,5,7,63,48,35,24,15,8,0,0,205
0,40146,용사의 해안가 2 난이도 1 E,5,7,63,48,35,24,15,8,0,0,205
0,40147,용사의 해안가 2 난이도 1 F,5,7,63,48,35,24,15,8,0,0,205
