EffectID,Name,ActionName,Memo,Type,Interval,DurationTime,Toggle,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10
602503,602503,sa_cold,몬스터용 결빙1단계,2,1000,5000,0,602503,20002,0,0,0,0,0,0,0,17101
602504,602504,sa_net_binder02,얼음필드 몬스터 넷바인더_사용안함,2,0,4000,0,4011109,20003,2802,0,0,0,0,0,0,17101
602505,602505,sa_cold,몬스터 (결빙)_사용안함,2,1,1,0,602502,20002,0,0,0,0,0,0,0,17101
602506,602506,sa_cold,몬스터 결빙2단계,2,500,5000,0,602506,20002,0,0,0,0,0,0,0,17101
602507,602507,se_freeze,몬스터 냉동1단계,2,1500,3000,0,602507,20003,2802,0,0,0,0,0,0,17101
602508,602508,sa_cold,몬스터 결빙 3단계,2,1000,3000,0,602508,20002,0,0,0,0,0,0,0,17101
602509,602509,se_freeze,몬스터 냉동 레그노용,2,1500,7000,0,602509,20003,2802,0,0,0,0,0,0,17101
602510,602510,se_freeze,2성 수호용 신 스킬 결빙,2,1000,4000,0,602510,20003,2802,0,0,0,0,0,0,17101
1100101,0,se_mon_heal,일반상태 발동,1,0,1000,0,1100101,0,0,0,0,0,0,0,0,0
1100201,0,0,분노상태 발동,1,0,0,0,1100201,0,0,0,0,0,0,0,0,0
1100301,0,se_break,브레이크 발동,1,0,0,0,1100301,0,0,0,0,0,0,0,0,0
3000308,3000308,sa_burn,칼리곤 이펙트,2,1000,5000,0,3000308,0,0,0,0,0,0,0,0,17101
3000312,3000312,sa_burn,칼리곤 이펙트,2,1000,5000,0,3000312,0,0,0,0,0,0,0,0,17101
3000322,0,se_kaligon_mon,칼리곤 이펙트(전기),2,1,5000,0,3000322,0,0,0,0,0,0,0,0,0
3522800,0,se_shadron_poison,샤드론 포이즌(보라색),2,2000,15000,0,2501,0,0,0,0,0,0,0,0,0
3523013,3523013,se_honey_Bear,허니쿰바 상태이상(넷바인더),2,0,2000,0,3523013,0,2802,0,0,0,0,0,17101,0
3530106,0,se_Grow_Mon,스케마 커지기,1,0,15000,0,0,0,0,0,0,0,0,0,0,0
3530204,0,se_Hide_Mon,플릭 은신,1,1,10000,0,3530204,0,0,0,0,0,0,0,0,0
3530205,0,se_Grow_Mon,플릭 커지고 흡수,1,0,5000,0,3530205,0,0,0,0,0,0,0,0,0
3530503,0,se_spark_mon,몬스터용 전격피격(피씨에게_,2,1,1000,0,3530503,0,0,0,0,0,0,0,0,0
3530702,0,se_batpider,박쥐거미 거미줄 효과,2,0,5000,0,3523013,0,2802,0,0,0,0,0,0,0
3530805,0,se_Grow_Achonai,아카나이 커지기-hp-mp흡수,1,0,15000,0,3530805,0,0,0,0,0,0,0,0,0
3530900,0,se_Grow_Achonai,수정이 아카나이커지게하기,1,0,15000,0,3530900,0,0,0,0,0,0,0,0,0
3530922,0,0,에르다수정 공격제한,1,1,0,0,3530922,0,0,0,0,0,0,0,0,0
3531050,0,0,심장에 들어온 유저에게 이펙트를 검,2,200,0,0,3531050,0,0,0,0,0,0,0,0,0
3531090,0,0,엘가심장 방에서 심장이 스킬발동하기전에 내쫓는 이펙트,2,200,3000,0,3531090,0,0,0,0,0,0,0,0,0
3531150,0,se_in_elga_room_of_heart,심장에 방에 진입한 유저에게 심'장의 방 유지시간 표시,2,0,0,0,3531150,0,0,0,0,0,0,0,0,0
3531250,0,0,심장의 방에 진입 불가시 유저 내쫓기,2,200,0,0,3531250,0,0,0,0,0,0,0,0,0
3541205,6126207,se_Diablic,레그노 발사버프,1,1,8000,0,4029108,0,0,0,0,0,0,0,0,0
3541207,3541201,se_diablic_burn,디아블릭 화염도트이펙트,2,1000,5000,0,3541207,0,0,0,0,0,0,0,0,17101
3542101,0,se_beg,놀라서 빌기,2,20,6000,0,3542101,0,0,0,0,0,0,0,0,0
3542110,0,se_ChaosRun,혼돈(키입력안되요),2,100,6000,0,3542110,0,0,0,0,0,0,0,0,0
3542111,0,se_ChaosRun,혼돈(키입력안되요)- 드래곤 피어용,2,100,6000,0,3542111,0,0,0,0,0,0,0,0,0
3542121,6126207,0,엘가3차 오른손,1,1,8200,0,3542121,0,0,0,0,0,0,0,0,0
3542122,6126207,0,엘가3차 왼,1,1,8200,0,3542122,0,0,0,0,0,0,0,0,0
3542125,0,0,맵 엔티티가 플레이어를 밖으로 내보내는 이펙트 일시정지시키는 이펙트,2,0,0,0,3542125,0,0,0,0,0,0,0,0,0
3542220,0,0,엘가스톤 복제제한,1,0,300000,0,3542220,0,0,0,0,0,0,0,0,0
3542316,0,0,엘가 무적,1,0,0,0,3542316,0,0,0,0,0,0,0,0,0
3542320,0,se_elga02_groggy,엘가 날개짓 데미지 누적,2,200,5000,0,3542320,0,0,0,0,0,0,0,0,0
3542321,0,se_elga02_groggy,엘가2차 날개짓 데미지 누적(일본),2,200,5000,0,3542320,0,0,0,0,0,0,0,0,0
3542324,0,0,엘가 눈 무적,1,0,0,0,3542316,0,0,0,0,0,0,0,0,0
3542330,0,0,수정 파괴 이펙트,1,100,10000,0,3542330,0,0,0,0,0,0,0,0,0
3542410,3542410,se_elga02_defence,엘가2차 방어 버프,1,0,0,1,3542410,0,0,0,0,0,0,0,0,0
3542411,3542411,se_elga03_barrier_idle,엘가3차 보호뼈 이펙트,1,0,0,0,3542411,0,0,0,0,0,0,0,0,0
3542412,3542412,0,검은 발톱 둥지 맵 체력 증가,1,0,0,0,3542412,0,0,0,0,0,0,0,0,0
3542413,0,0,엘가_엔티티 에게 무적방어,1,100,0,0,3542413,0,0,0,0,0,0,0,0,0
3542414,0,se_safe_zone,엘가_플레이어에게 무적방어,1,0,10000,0,3542414,0,0,0,0,0,0,0,0,0
3542415,3542410,se_elga02_defence,엘가2차 방어 버프(일본),1,0,0,1,3542410,0,0,0,0,0,0,0,0,0
3542420,0,0,엘가 무적 해제,1,0,1,0,3542420,0,0,0,0,0,0,0,0,0
3542440,0,0,엘가 다운시 걸어줄 이펙트,2,0,9500,0,3542440,0,0,0,0,0,0,0,0,0
3542525,0,se_elga_stun,엘가 스턴,2,0,30000,0,3542525,3542526,0,0,0,0,0,0,0,0
3542528,0,se_elga_dmg_lightining_01,엘가 스톤 광선,2,0,0,0,3542528,0,0,0,0,0,0,0,0,0
3543101,0,se_crushed,깔리는 모션,2,20,2000,0,3543101,0,0,0,0,0,0,0,0,0
3571290,0,se_kaligon_mon,기니어베럴 전기,2,500,2000,0,3571290,20003,0,0,0,0,0,0,0,17101
3580000,0,se_Bonus,붐버_보너스 이펙트,1,1,0,0,3580000,0,0,0,0,0,0,0,0,0
3580005,0,se_Bonus_02,붐버_보너스 이펙트,1,1,0,0,3580000,0,0,0,0,0,0,0,0,0
4013111,0,0,꼬마골렘 이펙트,1,1,1,0,4013111,0,0,0,0,0,0,0,0,0
4029104,4034106,IceProtection_02,아비스실드,1,1,10000,0,4029104,0,0,0,0,0,0,0,0,0
4029108,6126207,se_Gatekeeper_DefenseUp,파리스-각성전 레이져 발사버프,1,1,6000,0,4029108,0,0,0,0,0,0,0,0,0
4029109,6126207,se_Vanhelsing_WarCry,레그노 발사버프,1,1,8000,0,4029108,0,0,0,0,0,0,0,0,0
4034106,4034106,se_Paris_Shield,백호실드,2,0,10000,0,6009401,0,0,0,0,0,0,0,0,0
4034107,4034106,IceProtection_01,프린세스실드,1,1,10000,0,4029104,0,0,0,0,0,0,0,0,0
4701103,4701103,se_poison,가시나무정령 이펙트,2,1000,3000,0,4701103,0,0,0,0,0,0,0,0,0
4701202,4701202,se_poison,파리스-각성전 레이져 발사버프,1,1,8000,0,4701202,0,0,0,0,0,0,0,0,0
4701501,6000430,0,리바이어스피회복,1,1000,5000,0,4701501,0,0,0,0,0,0,0,0,0
4701700,0,se_mimic_Block,라그몬스터 방어력증가 미믹,1,1,10000,0,4701700,0,0,0,0,0,0,0,0,0
4701701,0,se_RoPoring_Block,라그몬스터 방어력증가 엔젤링,1,1,10000,0,4701700,0,0,0,0,0,0,0,0,0
4701800,0,se_blocking_bella,라그몬스터 독 데미지,1,1,10000,0,4029104,0,0,0,0,0,0,0,0,0
4701900,0,se_blocking_centa,라그몬스터 공격력 증가,1,1,10000,0,4029104,0,0,0,0,0,0,0,0,0
4702000,0,0,하이오크 외형  변경,1,1,0,0,4702000,0,0,0,0,0,0,0,0,0
4702100,0,0,라그몬스터 기타등등,1,1,10000,0,4029104,0,0,0,0,0,0,0,0,0
5100100,0,0,디펜스몬스터_원거리제한,2,0,0,0,5100100,0,0,0,0,0,0,0,0,0
5411901,9950101,0,PVP 이동속도 증가 20%,1,0,0,0,5411901,0,0,0,0,0,0,0,0,0
5810120,5850010,sa_cold,프리징_결빙_1,2,0,300,0,5810120,0,0,0,0,0,0,0,0,17101
5810121,5850010,sa_cold,프리징_결빙_2,2,0,300,0,5810121,0,0,0,0,0,0,0,0,17101
5810122,5850010,sa_cold,프리징_결빙_3,2,0,300,0,5810122,0,0,0,0,0,0,0,0,17101
5810220,5810220,0,프리징_결빙(느려짐)_1,2,0,3000,0,5810220,0,0,0,0,0,0,0,0,17101
5810221,5810221,0,프리징_결빙(느려짐)_2,2,0,3000,0,5810221,0,0,0,0,0,0,0,0,17101
5810222,5810222,0,프리징_결빙(느려짐)_3,2,0,3000,0,5810222,0,0,0,0,0,0,0,0,17101
5811010,0,sa_burn,가디언 발사체 피격이펙트,2,1000,10000,0,60004581,0,0,0,0,0,0,0,0,17101
5811011,0,sa_burn,가디언 화염도트이펙트,2,1000,10000,0,5811011,0,0,0,0,0,0,0,0,17101
5811012,0,se_moninc,가디언 느려짐이펙트,2,1000,10000,0,5811012,0,0,0,0,0,0,0,0,17101
5811013,0,se_stone,가디언 마비이펙트1,2,0,10000,0,5811013,0,0,0,0,0,0,0,0,17101
5811014,0,se_stone,가디언 마비이펙트2,2,0,10000,0,5811013,0,0,0,0,0,0,0,0,17101
5811015,0,se_stone,가디언 마비이펙트3,2,0,10000,0,5811013,0,0,0,0,0,0,0,0,17101
5820000,5833510,se_spark,라이트닝 이펙트,2,0,2000,0,5820000,0,0,0,0,0,0,0,0,17101
5820010,5833510,se_spark,라이트닝 이펙트,2,0,2000,0,5820010,0,0,0,0,0,0,0,0,17101
5820020,5833520,se_spark,라이트닝 이펙트,2,0,2000,0,5820020,0,0,0,0,0,0,0,0,17101
5820030,5833530,se_spark,라이트닝 이펙트,2,0,2000,0,5820030,0,0,0,0,0,0,0,0,17101
5820040,5833540,se_spark,라이트닝 이펙트,2,0,2000,0,5820040,0,0,0,0,0,0,0,0,17101
5820050,5833550,se_spark,라이트닝 이펙트,2,0,2000,0,5820050,0,0,0,0,0,0,0,0,17101
5820060,5833560,se_spark,라이트닝 이펙트,2,0,2000,0,5820060,0,0,0,0,0,0,0,0,17101
5820070,5833570,se_spark,라이트닝 이펙트,2,0,2000,0,5820070,0,0,0,0,0,0,0,0,17101
5820080,5833580,se_spark,라이트닝 이펙트,2,0,2000,0,5820080,0,0,0,0,0,0,0,0,17101
5820090,5833590,se_spark,라이트닝 이펙트,2,0,2000,0,5820090,0,0,0,0,0,0,0,0,17101
5820100,5833590,se_spark,라이트닝 이펙트,2,0,2000,0,5820100,0,0,0,0,0,0,0,0,17101
5820110,5833590,se_spark,라이트닝 이펙트,2,0,2000,0,5820110,0,0,0,0,0,0,0,0,17101
5830002,0,0,가이아 마법진 1,2,1,3000,0,5830002,20002,0,0,0,0,0,0,0,17101
5830012,0,0,가이아 마법진 2,2,1,3000,0,5830012,20002,0,0,0,0,0,0,0,17101
5830022,0,0,가이아 마법진 3,2,1,3000,0,5830022,20002,0,0,0,0,0,0,0,17101
5830032,0,0,가이아 마법진 4,2,1,3000,0,5830032,20002,0,0,0,0,0,0,0,17101
5830042,0,0,가이아 마법진 5,2,1,3000,0,5830042,20002,0,0,0,0,0,0,0,17101
5830052,0,0,가이아 마법진 6,2,1,3000,0,5830052,20002,0,0,0,0,0,0,0,17101
5830062,0,0,가이아 마법진 7,2,1,3000,0,5830062,20002,0,0,0,0,0,0,0,17101
5830072,0,0,가이아 마법진 8,2,1,3000,0,5830072,20002,0,0,0,0,0,0,0,17101
5830082,0,0,가이아 마법진 9,2,1,3000,0,5830082,20002,0,0,0,0,0,0,0,17101
5830092,0,0,가이아 마법진 10,2,1,3000,0,5830092,20002,0,0,0,0,0,0,0,17101
5830102,0,0,가이아 마법진 11,2,1,3000,0,5830102,20002,0,0,0,0,0,0,0,17101
5830112,0,0,가이아 마법진 12,2,1,3000,0,5830112,20002,0,0,0,0,0,0,0,17101
5840120,5833590,se_spark,라이트닝 이펙트-점령전,2,0,200,0,5840120,0,0,0,0,0,0,0,0,17101
5840121,5833590,se_spark,라이트닝 이펙트-점령전,2,0,200,0,5840121,0,0,0,0,0,0,0,0,17101
5840122,5833590,se_spark,라이트닝 이펙트-점령전,2,0,200,0,5840122,0,0,0,0,0,0,0,0,17101
5842101,5842101,0,기본데미지,2,0,0,0,0,0,0,0,0,0,0,0,0,17001
5842301,5842301,se_poison,트랩 스킬 - 독,2,3000,10000,0,5842301,0,0,20004,0,0,0,0,0,0
5842401,5842401,0,트랩 스킬 - 출혈,2,3000,10000,0,5842401,0,0,0,0,0,0,0,11701,17001
5842501,5842501,sa_burn,트랩 스킬 - 화상,2,3000,10000,0,5842501,0,0,0,0,0,0,0,11701,17001
5850000,5850000,sa_cold,프리징_결빙_(기본),2,0,2350,0,5850000,0,0,0,0,0,0,0,0,0
5850010,5850010,sa_cold,프리징_결빙_1,2,0,2350,0,5850010,0,0,0,0,0,0,0,0,0
5850020,5850020,sa_cold,프리징_결빙_2,2,0,2350,0,5850020,0,0,0,0,0,0,0,0,0
5850030,5850030,sa_cold,프리징_결빙_3,2,0,2350,0,5850030,0,0,0,0,0,0,0,0,0
5850040,5850040,sa_cold,프리징_결빙_4,2,0,2350,0,5850040,0,0,0,0,0,0,0,0,0
5850050,5850050,sa_cold,프리징_결빙_5,2,0,2350,0,5850050,0,0,0,0,0,0,0,0,0
5850060,5850060,sa_cold,프리징_결빙_6,2,0,2350,0,5850060,0,0,0,0,0,0,0,0,0
5850070,5850070,sa_cold,프리징_결빙_7,2,0,2350,0,5850070,0,0,0,0,0,0,0,0,0
5850080,5850080,sa_cold,프리징_결빙_8,2,0,2350,0,5850080,0,0,0,0,0,0,0,0,0
5850090,5850090,sa_cold,프리징_결빙_9,2,0,2350,0,5850090,0,0,0,0,0,0,0,0,0
5850100,5850100,sa_cold,프리징_결빙_10,2,0,2350,0,5850100,0,0,0,0,0,0,0,0,0
5850110,5850110,sa_cold,프리징_결빙_11,2,0,2350,0,5850110,0,0,0,0,0,0,0,0,0
5860000,5860000,sa_Black_hole,가디언 블랙홀 0,2,0,800,0,5860000,0,2802,0,0,0,0,0,0,0
5860010,5860010,sa_Black_hole,가디언 블랙홀 1,2,0,600,0,5860010,0,2802,0,0,0,0,0,0,0
5860020,5860020,sa_Black_hole,가디언 블랙홀 2,2,0,650,0,5860020,0,2802,0,0,0,0,0,0,0
5860030,5860030,sa_Black_hole,가디언 블랙홀 3,2,0,700,0,5860030,0,2802,0,0,0,0,0,0,0
5860040,5860040,sa_Black_hole,가디언 블랙홀 4,2,0,750,0,5860040,0,2802,0,0,0,0,0,0,0
5860050,5860050,sa_Black_hole,가디언 블랙홀 5,2,0,800,0,5860050,0,2802,0,0,0,0,0,0,0
5860060,5860060,sa_Black_hole,가디언 블랙홀 6,2,0,850,0,5860060,0,2802,0,0,0,0,0,0,0
5860070,5860070,sa_Black_hole,가디언 블랙홀 7,2,0,900,0,5860070,0,2802,0,0,0,0,0,0,0
5860080,5860080,sa_Black_hole,가디언 블랙홀 8,2,0,950,0,5860080,0,2802,0,0,0,0,0,0,0
5860090,5860090,sa_Black_hole,가디언 블랙홀 9,2,0,1000,0,5860090,0,2802,0,0,0,0,0,0,0
5860100,5860100,sa_Black_hole,가디언 블랙홀 10,2,0,1050,0,5860100,0,2802,0,0,0,0,0,0,0
5860110,5860110,sa_Black_hole,가디언 블랙홀 11,2,0,1100,0,5860110,0,2802,0,0,0,0,0,0,0
5870103,0,se_stun,먼지 폭풍,2,0,2350,0,5870103,0,0,0,0,0,0,0,0,0
5871000,5871000,se_Red_Guardian,점령전 레드 가디언 버프,1,0,0,0,5871000,0,0,0,0,0,0,0,0,17101
5871010,5871000,se_Red_Guardian_2,점령전 레드 가디언 버프_2,1,0,0,0,5871000,0,0,0,0,0,0,0,0,17101
5871100,5871100,se_Blue_Guardian,점령전 블루 가디언 버프,1,0,0,0,5871100,0,0,0,0,0,0,0,0,17101
5871110,5871100,se_Blue_Guardian_2,점령전 블루 가디언 버프_2,1,0,0,0,5871100,0,0,0,0,0,0,0,0,17101
5872000,5872000,0,가디언 물고 태어나는 이펙트,1,300,0,0,5872000,0,0,0,0,0,0,0,0,17101
5872100,5872100,se_KOH_in_area,가디언의 범위안에 들어왔을때 플레이어에게 적용되는 이펙트,1,0,0,0,5872100,0,0,0,0,0,0,0,0,17101
5872200,0,se_KOH_area_bomb,점령전 봄버맨 이펙트연출 이펙트 actionName : se_KOH_area_bomb,1,0,1000,0,5872200,0,0,0,0,0,0,0,0,17101
6000430,6000430,0,거대수호용 초당 HP 회복,1,1000,0,0,6000430,0,0,0,0,0,0,0,0,0
6000432,6000432,0,수호용 초당 HP 회복,1,1000,0,0,6000432,0,0,0,0,0,0,0,0,0
6000455,6000455,0,거대수호용-2성이후 드래곤 피어,2,0,60000,0,6000455,30010,30011,30012,30013,30014,30015,30016,30017,17101
6000501,6000501,se_Zongzi_Shild,쫑즈 보호막,2,0,3000,0,6000501,0,0,0,0,0,0,0,0,0
6000800,6000800,se_transform_to_neve,아이스 드래곤 ->네브 변신,1,1,0,0,6000800,6000801,0,0,0,0,0,0,0,0
6000850,6000850,0,네브여왕 얼리기,2,5000,0,0,6000850,0,0,0,0,0,0,0,0,0
6000900,6000900,a_lavalon_breath_c,라발론이 중앙으로 화염,3,500,3000,0,0,0,0,0,0,0,0,0,0,0
6000901,6000901,a_lavalon_breath_l,라발론이 왼쪽으로 화염,3,500,3000,0,0,0,0,0,0,0,0,0,0,0
6000902,6000902,a_lavalon_breath_r,라발론이 오른쪽으로 화염,3,500,3000,0,0,0,0,0,0,0,0,0,0,0
6000903,6000903,a_lavalon_blaze,라발론이 화염폭풍,3,500,3000,0,0,0,0,0,0,0,0,0,0,0
6000904,6000904,se_fake_stun,라발론 쓰러지기 스턴상태,1,0,12000,0,6000904,0,0,0,0,0,0,0,0,0
6000905,6000905,0,아람 공격제한,1,1,0,0,6000905,0,0,0,0,0,0,0,0,0
6000914,6000914,se_immune_magiccannon,마력포 리젠 시 무적,1,500,0,0,6000914,0,0,0,0,0,0,0,0,0
6000932,6000932,0,아람 바닥 돌 위로 올라오기,2,0,4000,0,6000932,0,0,0,0,0,0,0,0,0
6000950,6000950,0,아이스 드래곤 ->네브 변신 시간체크 버프 어빌,1,1,60000,0,6000950,0,0,0,0,0,0,0,0,0
6000980,6000980,0,본드래곤 뼈소환,2,0,4000,0,6000980,0,0,0,0,0,0,0,0,0
6000981,6000981,se_poison,본드래곤 검은 브레스,2,2000,10000,0,6000981,0,0,0,0,0,0,0,0,0
6000987,6000987,se_semi_transparent,본드래곤 공격불가,1,0,180000,0,6000987,0,0,0,0,0,0,0,0,0
6001001,6000906,0,뒤에서있기,1,1,0,0,6001001,0,0,0,0,0,0,0,0,0
6001002,6000907,0,앞에 서있기,1,1,0,0,6001002,0,0,0,0,0,0,0,0,0
6001005,6001005,0,초목이 죽을꺼 체크 이펙트,1,1,180000,0,6001005,0,0,0,0,0,0,0,0,0
6009401,6009401,0,데스마스터(로드 오브 나이트) 블럭킹,2,0,3000,0,6009401,0,0,0,0,0,0,0,0,0
6009402,6009402,se_revenge,로드 오브 나이트 리벤지,1,1,10000,0,6009402,0,0,0,0,0,0,0,0,0
6013301,6013301,se_poison,압둘라 보다 강하게 총쏘기,2,2000,15000,0,6013301,0,0,0,0,0,0,0,0,0
6013401,6013401,sa_net_binder,압둘라 넷바인더,2,0,3000,0,6013401,0,0,2802,0,0,0,0,0,0
6015301,6015301,se_poison,삼바바 입 벌려 독 발사하기,2,2000,15000,0,6015301,0,0,20004,0,0,0,0,0,0
6015302,6015302,0,삼바바 광폭화,1,1,1800000,0,6015302,0,0,0,0,0,0,0,0,0
6023901,6023901,sa_entangle_root,숲 요정 여왕 시타(아르카) 가시덩쿨 소환 스킬,2,0,5000,0,6023901,0,0,0,0,0,0,0,0,0
6023902,6023902,se_poison,숲 요정 여왕 시타(아르카) 회전하며 꽃 독 뿌리기 스킬,2,2000,8000,0,6023902,0,0,20004,0,0,0,0,0,0
6033400,6033400,0,안타레스 초당 HP 회복,1,1000,0,0,6033400,0,0,0,0,0,0,0,0,0
6033402,6033402,se_poison,레사스 안타레스 몸 주변으로 지속 광파 공격 스킬,2,2000,15000,0,6033402,0,0,0,0,0,0,0,0,0
6034300,6034300,0,가이던 초당 HP 회복,1,1000,0,0,6034300,0,0,0,0,0,0,0,0,0
6034305,6034305,se_blocking_mentha,멘타 론기폴리아 보호막 생성,1,0,5000,0,6034305,0,0,0,0,0,0,0,0,0
6040300,6040300,se_poison,애벌레 침 쏘기,2,2000,15000,0,6040300,0,0,0,0,0,0,0,0,0
6043500,6043500,0,키마트 초당 HP 회복,1,1000,0,0,6043500,0,0,0,0,0,0,0,0,0
6044600,6044600,se_poison,반디 여왕 벨라 꼬리로 독침 연발 쏘기 스킬,2,2000,10000,0,6044600,0,0,20004,0,0,0,0,0,0
6044602,6044602,se_blocking_bella,반디 여왕 벨라 지팡이 들고 보호막 생성 스킬,1,0,5000,0,6044602,0,0,0,0,0,0,0,0,0
6044603,6044603,se_PoisonBuff,반디 여왕 벨라 자신에게 독 버프 시전 스킬,0,2000,8000,0,6044603,0,0,20004,0,0,0,0,0,0
6044604,6044603,se_PoisonBuff,반디 여왕 벨라 자신에게 독 버프 시전 스킬,0,10000,8000,0,6044603,0,0,20004,0,0,0,0,0,0
6049102,6049102,se_poison,물갈퀴일족 주술사 스킬,2,2000,15000,0,6049102,0,0,0,0,0,0,0,0,0
6052600,6052600,sa_sleep,미미르 정예 바룸 소리 지르기 스킬,2,2000,15000,0,6052600,0,0,0,0,0,0,0,0,0
6052603,6052603,se_poison,미미르 정예 바룸 독방구 방출 스킬,2,2000,15000,0,6052603,0,0,20004,0,0,0,0,0,0
6054104,6054104,se_freeze,예티 시리즈 원거리 포효 스킬,2,2000,10000,0,6054104,0,0,0,0,0,0,0,0,0
6064100,6064100,sa_net_binder02,나무거미 넷바인더,2,0,3000,0,6013401,0,0,2802,0,0,0,0,0,0
6071102,6071102,se_freeze,크레타 PC 묶기,2,0,4000,0,6071102,0,0,2802,0,0,0,0,0,0
6074100,6074100,se_Gatekeeper_DefenseUp,게이트키퍼 방어버프,1,1,180000,1,6074100,0,0,0,0,0,0,0,0,0
6074101,6074101,se_stone_paralysis,게이트 키퍼 pc묶기,2,0,10000,0,6074101,0,0,2802,0,0,0,0,0,17101
6074104,6074104,se_stone_paralysis,게이트 키퍼 pc묶기,2,0,32000,0,6074104,0,0,2802,0,0,0,0,0,17101
6074105,6074105,se_Gatekeeper_ToFlesh,게이트 키퍼 깨우기,1,1,0,0,6074105,0,0,0,0,0,0,0,0,0
6074203,6074203,se_DefenseUp_1,반헬싱 방어력 올리기,1,1,0,0,6074203,0,0,0,0,0,0,0,0,0
6074204,6074204,se_DefenseUp_2,반헬싱 방어력 올리기,1,1,0,0,6074204,0,0,0,0,0,0,0,0,0
6074205,6074205,se_DefenseUp_3,반헬싱 방어력 올리기,1,1,0,0,6074205,0,0,0,0,0,0,0,0,0
