f_NationCodeStr,BagNo,Memo,ItemNo01,ItemNo02,ItemNo03,ItemNo04,ItemNo05,ItemNo06,ItemNo07,ItemNo08,ItemNo09,ItemNo10,ItemNoTypeFlag
0,10013,미미르 왕 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10014,벌룬 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10015,골렘 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10016,시타 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10017,멘타 론기폴리아 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10018,키마트 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,10019,안타레스 돈봉투 보상,0,0,0,0,0,0,0,0,0,0,0
0,61010,안타레스 돈봉투 보상,50130010,50130020,98000100,50901020,0,0,0,0,0,0,0
0,61011,안타레스 돈봉투 보상,50130010,50130020,98000100,50901020,0,0,0,0,0,0,0
0,61012,안타레스 돈봉투 보상,98000240,50901020,0,0,0,0,0,0,0,0,0
0,61013,안타레스 돈봉투 보상,50130010,50130020,98000100,50901020,0,0,0,0,0,0,0
0,61014,안타레스 돈봉투 보상,98000240,50901020,0,0,0,0,0,0,0,0,0
0,61015,안타레스 돈봉투 보상,50130010,50130020,98000100,50901020,0,0,0,0,0,0,0
0,61016,안타레스 돈봉투 보상,50130010,50130020,98000010,50901020,0,0,0,0,0,0,0
0,61020,안타레스 돈봉투 보상,20202040,98000010,98000100,50901030,20200188,0,0,0,0,0,0
0,61021,안타레스 돈봉투 보상,50130010,50130020,98000100,50901030,20200188,0,0,0,0,0,0
0,61022,안타레스 돈봉투 보상,98000180,98000210,50901030,0,0,0,0,0,0,0,0
0,61023,안타레스 돈봉투 보상,20202040,98000010,98000100,50901030,20200188,0,0,0,0,0,0
0,61024,안타레스 돈봉투 보상,98000180,98000210,50901030,0,0,0,0,0,0,0,0
0,61025,안타레스 돈봉투 보상,50130010,50130020,98000100,50901030,20200188,0,0,0,0,0,0
0,61026,안타레스 돈봉투 보상,50130030,50130040,20200188,20202045,50901030,0,0,0,0,0,0
0,61030,안타레스 돈봉투 보상,98000180,98000210,99600010,50901040,20200188,0,0,0,0,0,0
0,61031,안타레스 돈봉투 보상,50130030,50130040,98000100,50901040,20200188,0,0,0,0,0,0
0,61032,안타레스 돈봉투 보상,99600010,98000240,50901040,0,0,0,0,0,0,0,0
0,61033,안타레스 돈봉투 보상,98000180,98000210,99600010,50901040,20200188,0,0,0,0,0,0
0,61034,안타레스 돈봉투 보상,99600010,98000240,50901040,0,0,0,0,0,0,0,0
0,61035,안타레스 돈봉투 보상,50130030,50130040,98000100,50901040,20200188,0,0,0,0,0,0
0,61036,안타레스 돈봉투 보상,50110010,50110020,98000320,98000130,20202045,50901040,0,0,0,0,0
0,61040,안타레스 돈봉투 보상,79000020,79000010,98003330,50901050,20200188,0,0,0,0,0,0
0,61041,안타레스 돈봉투 보상,98000290,98004690,0,50901050,20200188,0,0,0,0,0,0
0,61042,안타레스 돈봉투 보상,20202040,98000070,50901050,0,0,0,0,0,0,0,0
0,61043,안타레스 돈봉투 보상,79000020,79000010,98000070,50901050,20200188,0,0,0,0,0,0
0,61044,안타레스 돈봉투 보상,20202040,98000070,50901050,0,0,0,0,0,0,0,0
0,61045,안타레스 돈봉투 보상,98000290,98004690,0,50901050,20200188,0,0,0,0,0,0
0,61046,안타레스 돈봉투 보상,98000320,20200188,98000120,98000550,50901050,0,0,0,0,0,0
0,61050,안타레스 돈봉투 보상,20202041,99600020,99600030,98000040,20200188,0,0,0,0,0,0
0,61051,안타레스 돈봉투 보상,98000120,98000040,0,0,20200188,0,0,0,0,0,0
0,61052,안타레스 돈봉투 보상,98000040,20202041,99600020,99600030,0,0,0,0,0,0,0
0,61053,안타레스 돈봉투 보상,20202041,99600020,99600030,98000040,20200188,98002280,94002690,98000180,98000210,0,0
0,61054,안타레스 돈봉투 보상,98000040,20202041,99600020,99600030,0,0,0,0,0,0,0
0,61055,안타레스 돈봉투 보상,98000120,98000040,0,0,20200188,0,0,0,0,0,0
0,61056,안타레스 돈봉투 보상,98000040,50901740,98006320,79000010,79000020,99600010,20202046,50901750,0,0,0
0,61060,작은 홍보,50300080,50700110,79000020,50700100,0,0,0,0,0,0,0
0,61066,편리한 선물 상자 [한국],99600040,98000112,98001100,98000540,0,0,0,0,0,0,0
0,61067,돈이 되는 선물 상자 [일본]_용족,98000120,94002690,0,0,20200188,0,0,0,0,0,0
0,61070,큰 홍보,79000010,20200188,0,0,0,0,0,0,0,0,0
2,62016,도움이 되는 선물 상자 [50901010-중국],50130010,50130020,98000010,50901020,0,0,0,0,0,0,0
2,62026,도움이 되는 선물 상자 [50901020-중국],50130030,50130040,20202045,50901030,0,0,0,0,0,0,0
2,62036,도움이 되는 선물 상자 [50901030-중국],50110010,50110020,98000320,20202045,50901040,0,0,0,0,0,0
2,62046,도움이 되는 선물 상자 [50901040-중국],98000320,98000120,98000550,50901050,0,0,0,0,0,0,0
2,62056,도움이 되는 선물 상자 [50901050-중국],50901740,98006320,99600010,20202046,50901750,0,0,0,0,0,0
2,62066,도움이 되는 선물 상자 [50901750-중국],98000130,79000010,79000020,98000040,0,0,0,0,0,0,0
0,71010,중국 OB 이벤트-2월6일,0,0,0,0,0,0,0,0,0,0,0
0,71020,중국 OB 이벤트-2월6일,0,0,0,0,0,0,0,0,0,0,0
0,71030,중국 OB 이벤트-2월6일,80300020,80200020,80400020,80500030,0,0,0,0,0,0,0
0,71040,중국 OB 이벤트-2월6일,80300030,80200030,80400030,80500040,0,0,0,0,0,0,0
0,71050,중국 OB 이벤트-2월6일-홍보주머니(소),50901130,0,0,0,0,0,0,0,0,0,0
0,71060,중국 OB 이벤트-2월6일-홍보주머니(대),50901140,0,0,0,0,0,0,0,0,0,0
0,81001,배신자의 고개 카오스 스크롤,51100090,0,0,0,0,0,0,0,0,0,0
0,81002,망각의 협곡 카오스 스크롤,51100100,0,0,0,0,0,0,0,0,0,0
0,81003,수염고래 해안가 카오스 스크롤,51100110,0,0,0,0,0,0,0,0,0,0
0,81004,앵무조개 선착장 카오스 스크롤,51100120,0,0,0,0,0,0,0,0,0,0
0,81005,용사의 계곡 카오스 스크롤,51100130,0,0,0,0,0,0,0,0,0,0
0,81006,위험한 동굴 카오스 스크롤,51100140,0,0,0,0,0,0,0,0,0,0
0,81007,악마의 숨결 카오스 스크롤,51100150,0,0,0,0,0,0,0,0,0,0
0,81008,이글거리는 늪지대 카오스 스크롤,51100160,0,0,0,0,0,0,0,0,0,0
0,81009,큰 나무지대 카오스 스크롤,51100170,0,0,0,0,0,0,0,0,0,0
0,81010,신들의 안식처 카오스 스크롤,51100180,0,0,0,0,0,0,0,0,0,0
0,81011,잊혀진 마을 카오스 스크롤,51100190,0,0,0,0,0,0,0,0,0,0
0,81012,잠자는 마을 카오스 스크롤,51100200,0,0,0,0,0,0,0,0,0,0
0,81013,유혹의 설원 카오스 스크롤,51100210,0,0,0,0,0,0,0,0,0,0
0,81014,얼음 협곡 카오스 스크롤,51100220,0,0,0,0,0,0,0,0,0,0
0,81015,대미궁 1층 카오스 스크롤,51100230,0,0,0,0,0,0,0,0,0,0
0,81016,대미궁 2층 카오스 스크롤,51100240,0,0,0,0,0,0,0,0,0,0
0,81017,대미궁 3층 카오스 스크롤,51100250,0,0,0,0,0,0,0,0,0,0
0,81018,시공간의 방패,50900060,0,0,0,0,0,0,0,0,0,0
0,81019,시공간의 방패,51100350,0,0,0,0,0,0,0,0,0,0
0,81020,시공간의 방패,51100370,0,0,0,0,0,0,0,0,0,0
0,86101,늑대 튀김구이,50700010,0,0,0,0,0,0,0,0,0,0
0,86102,너구리 꼬치구이,50700020,0,0,0,0,0,0,0,0,0,0
0,86103,초목 깻잎찜,50700030,0,0,0,0,0,0,0,0,0,0
0,86104,코주부 머리고기,50700040,0,0,0,0,0,0,0,0,0,0
0,86105,스페셜 꽃게 잡탕,50700050,0,0,0,0,0,0,0,0,0,0
0,86106,별가사리 수육,50700060,0,0,0,0,0,0,0,0,0,0
0,86107,상어 사골탕,50700070,0,0,0,0,0,0,0,0,0,0
0,86108,사과쥬스,50700080,0,0,0,0,0,0,0,0,0,0
0,86109,바나나우유,50700090,0,0,0,0,0,0,0,0,0,0
0,86110,포도맛막대사탕,50700100,0,0,0,0,0,0,0,0,0,0
0,86111,아이스크림 케잌,50700110,0,0,0,0,0,0,0,0,0,0
0,86112,양고기 스테이크,50700120,0,0,0,0,0,0,0,0,0,0
0,86113,거미 스튜,50700130,0,0,0,0,0,0,0,0,0,0
0,86114,박쥐날개 튀김,50700140,0,0,0,0,0,0,0,0,0,0
0,86115,조개 스튜,50700150,0,0,0,0,0,0,0,0,0,0
0,86116,과일모듬,50700160,0,0,0,0,0,0,0,0,0,0
0,86117,300시간 사골탕,50700170,0,0,0,0,0,0,0,0,0,0
0,86118,꼬마용 꼬치구이,50700180,0,0,0,0,0,0,0,0,0,0
0,86119,라발론의 온전한 심장,20302170,0,0,0,0,0,0,0,0,0,0
0,86120,라발론의 온전한 심장,20302820,0,0,0,0,0,0,0,0,0,0
0,86121,라발론의 온전한 심장,20302170,0,0,0,0,0,0,0,0,0,0
0,86122,라발론의 온전한 심장,11100410,0,0,0,0,0,0,0,0,0,0
0,86123,라발론의 온전한 심장,12100350,0,0,0,0,0,0,0,0,0,0
0,86124,라발론의 온전한 심장,13100410,0,0,0,0,0,0,0,0,0,0
0,86125,라발론의 온전한 심장,14100350,0,0,0,0,0,0,0,0,0,0
0,86126,라발론의 온전한 심장,15100410,0,0,0,0,0,0,0,0,0,0
0,86127,라발론의 온전한 심장,16100350,0,0,0,0,0,0,0,0,0,0
0,86128,라발론의 온전한 심장,17100410,0,0,0,0,0,0,0,0,0,0
0,86129,라발론의 온전한 심장,18100350,0,0,0,0,0,0,0,0,0,0
0,86130,라발론의 온전한 심장,79100010,0,0,0,0,0,0,0,0,0,0
0,86131,라발론의 온전한 심장,79100020,0,0,0,0,0,0,0,0,0,0
0,86132,라발론의 온전한 심장,79100030,0,0,0,0,0,0,0,0,0,0
0,86133,라발론의 온전한 심장,79300050,0,0,0,0,0,0,0,0,0,0
0,86134,라발론의 온전한 심장,79100050,0,0,0,0,0,0,0,0,0,0
0,86135,라발론의 온전한 심장,79100060,0,0,0,0,0,0,0,0,0,0
0,86136,라발론의 온전한 심장,79100070,0,0,0,0,0,0,0,0,0,0
0,86137,라발론의 온전한 심장,79300060,0,0,0,0,0,0,0,0,0,0
0,86138,라발론의 온전한 심장,79100090,0,0,0,0,0,0,0,0,0,0
0,86139,라발론의 온전한 심장,79100100,0,0,0,0,0,0,0,0,0,0
0,86140,라발론의 온전한 심장,79100110,0,0,0,0,0,0,0,0,0,0
0,86141,라발론의 온전한 심장,79100120,0,0,0,0,0,0,0,0,0,0
0,86142,라발론의 온전한 심장,79100130,0,0,0,0,0,0,0,0,0,0
0,86143,라발론의 온전한 심장,79100140,0,0,0,0,0,0,0,0,0,0
0,86144,라발론의 온전한 심장,79100150,0,0,0,0,0,0,0,0,0,0
0,86145,라발론의 온전한 심장,79100160,0,0,0,0,0,0,0,0,0,0
0,86146,라발론의 온전한 심장,79300070,0,0,0,0,0,0,0,0,0,0
0,86147,라발론의 온전한 심장,79100180,0,0,0,0,0,0,0,0,0,0
0,86148,라발론의 온전한 심장,79100190,0,0,0,0,0,0,0,0,0,0
0,86149,라발론의 온전한 심장,79100200,0,0,0,0,0,0,0,0,0,0
0,86150,라발론의 온전한 심장,98000250,0,0,0,0,0,0,0,0,0,0
0,86151,라발론의 온전한 심장,98000100,0,0,0,0,0,0,0,0,0,0
0,86152,라발론의 온전한 심장,98001090,0,0,0,0,0,0,0,0,0,0
0,86153,라발론의 온전한 심장,50700190,0,0,0,0,0,0,0,0,0,0
0,86154,라발론의 온전한 심장,50700200,50700210,50700220,79300490,0,0,0,0,0,0,0
0,86155,라발론의 온전한 심장,50700210,0,0,0,0,0,0,0,0,0,0
0,86156,라발론의 온전한 심장,50700220,0,0,0,0,0,0,0,0,0,0
0,86157,라발론의 온전한 심장,79300490,0,0,0,0,0,0,0,0,0,0
0,86158,라발론의 온전한 심장,79300500,0,0,0,0,0,0,0,0,0,0
0,86159,라발론의 온전한 심장,79300510,0,0,0,0,0,0,0,0,0,0
0,86160,라발론의 온전한 심장,79300520,0,0,0,0,0,0,0,0,0,0
0,86161,라발론의 온전한 심장,79300530,0,0,0,0,0,0,0,0,0,0
0,86162,라발론의 온전한 심장,79300540,0,0,0,0,0,0,0,0,0,0
0,86163,라발론의 온전한 심장,79300550,0,0,0,0,0,0,0,0,0,0
0,86164,라발론의 온전한 심장,79300560,0,0,0,0,0,0,0,0,0,0
0,86165,라발론의 온전한 심장,79300570,0,0,0,0,0,0,0,0,0,0
0,86166,라발론의 온전한 심장,79300580,0,0,0,0,0,0,0,0,0,0
0,86167,라발론의 온전한 심장,79300590,0,0,0,0,0,0,0,0,0,0
0,86168,라발론의 온전한 심장,79300600,0,0,0,0,0,0,0,0,0,0
0,86169,라발론의 온전한 심장,79300610,0,0,0,0,0,0,0,0,0,0
0,86170,라발론의 온전한 심장,79300620,0,0,0,0,0,0,0,0,0,0
0,86171,라발론의 온전한 심장,79300630,0,0,0,0,0,0,0,0,0,0
0,86172,라발론의 온전한 심장,79300640,0,0,0,0,0,0,0,0,0,0
0,86173,라발론의 온전한 심장,79300650,0,0,0,0,0,0,0,0,0,0
0,86174,라발론의 온전한 심장,79300660,0,0,0,0,0,0,0,0,0,0
0,86175,라발론의 온전한 심장,79300670,0,0,0,0,0,0,0,0,0,0
0,86176,라발론의 온전한 심장,79300680,0,0,0,0,0,0,0,0,0,0
0,86177,라발론의 온전한 심장,79300690,0,0,0,0,0,0,0,0,0,0
0,86178,라발론의 온전한 심장,79300700,0,0,0,0,0,0,0,0,0,0
0,86179,라발론의 온전한 심장,79300980,0,0,0,0,0,0,0,0,0,0
0,88200,라발론의 온전한 심장,60003530,0,0,0,0,0,0,0,0,0,0
0,88201,라발론의 온전한 심장,60003540,0,0,0,0,0,0,0,0,0,0
0,88202,라발론의 온전한 심장,60003550,0,0,0,0,0,0,0,0,0,0
0,88203,라발론의 온전한 심장,60003560,0,0,0,0,0,0,0,0,0,0
0,88204,라발론의 온전한 심장,119100075,0,0,0,0,0,0,0,0,0,0
0,88205,라발론의 온전한 심장,119100155,0,0,0,0,0,0,0,0,0,0
0,88206,라발론의 온전한 심장,119100235,0,0,0,0,0,0,0,0,0,0
0,88207,라발론의 온전한 심장,119100275,0,0,0,0,0,0,0,0,0,0
0,88208,라발론의 온전한 심장,119100115,0,0,0,0,0,0,0,0,0,0
0,88209,라발론의 온전한 심장,119100195,0,0,0,0,0,0,0,0,0,0
0,88210,라발론의 온전한 심장,119200055,0,0,0,0,0,0,0,0,0,0
0,88211,라발론의 온전한 심장,119200135,0,0,0,0,0,0,0,0,0,0
0,88212,라발론의 온전한 심장,119200215,0,0,0,0,0,0,0,0,0,0
0,88213,라발론의 온전한 심장,119200255,0,0,0,0,0,0,0,0,0,0
0,88214,라발론의 온전한 심장,119200095,0,0,0,0,0,0,0,0,0,0
0,88215,라발론의 온전한 심장,119200175,0,0,0,0,0,0,0,0,0,0
0,88216,라발론의 온전한 심장,119100085,0,0,0,0,0,0,0,0,0,0
0,88217,라발론의 온전한 심장,119100165,0,0,0,0,0,0,0,0,0,0
0,88218,라발론의 온전한 심장,119100245,0,0,0,0,0,0,0,0,0,0
0,88219,라발론의 온전한 심장,119100285,0,0,0,0,0,0,0,0,0,0
0,88220,라발론의 온전한 심장,119100125,0,0,0,0,0,0,0,0,0,0
0,88221,라발론의 온전한 심장,119100205,0,0,0,0,0,0,0,0,0,0
0,88222,라발론의 온전한 심장,119200065,0,0,0,0,0,0,0,0,0,0
0,88223,라발론의 온전한 심장,119200145,0,0,0,0,0,0,0,0,0,0
0,88224,라발론의 온전한 심장,119200225,0,0,0,0,0,0,0,0,0,0
0,88225,라발론의 온전한 심장,119200265,0,0,0,0,0,0,0,0,0,0
0,88226,라발론의 온전한 심장,119200105,0,0,0,0,0,0,0,0,0,0
0,88227,라발론의 온전한 심장,119200185,0,0,0,0,0,0,0,0,0,0
0,88228,라발론의 온전한 심장,119100095,0,0,0,0,0,0,0,0,0,0
0,88229,라발론의 온전한 심장,119100175,0,0,0,0,0,0,0,0,0,0
0,88230,라발론의 온전한 심장,119100255,0,0,0,0,0,0,0,0,0,0
0,88231,라발론의 온전한 심장,119100295,0,0,0,0,0,0,0,0,0,0
0,88232,라발론의 온전한 심장,119100135,0,0,0,0,0,0,0,0,0,0
0,88233,라발론의 온전한 심장,119100215,0,0,0,0,0,0,0,0,0,0
0,88234,라발론의 온전한 심장,119200075,0,0,0,0,0,0,0,0,0,0
0,88235,라발론의 온전한 심장,119200155,0,0,0,0,0,0,0,0,0,0
0,88236,라발론의 온전한 심장,119200235,0,0,0,0,0,0,0,0,0,0
0,88237,라발론의 온전한 심장,119200275,0,0,0,0,0,0,0,0,0,0
0,88238,라발론의 온전한 심장,119200115,0,0,0,0,0,0,0,0,0,0
0,88239,라발론의 온전한 심장,119200195,0,0,0,0,0,0,0,0,0,0
0,88240,라발론의 온전한 심장,119100105,0,0,0,0,0,0,0,0,0,0
0,88241,라발론의 온전한 심장,119100185,0,0,0,0,0,0,0,0,0,0
0,88242,라발론의 온전한 심장,119100265,0,0,0,0,0,0,0,0,0,0
0,88243,라발론의 온전한 심장,119100305,0,0,0,0,0,0,0,0,0,0
0,88244,라발론의 온전한 심장,119100145,0,0,0,0,0,0,0,0,0,0
0,88245,라발론의 온전한 심장,119100225,0,0,0,0,0,0,0,0,0,0
0,88246,라발론의 온전한 심장,119200085,0,0,0,0,0,0,0,0,0,0
0,88247,라발론의 온전한 심장,119200165,0,0,0,0,0,0,0,0,0,0
0,88248,라발론의 온전한 심장,119200245,0,0,0,0,0,0,0,0,0,0
0,88249,라발론의 온전한 심장,119200285,0,0,0,0,0,0,0,0,0,0
0,88250,라발론의 온전한 심장,119200125,0,0,0,0,0,0,0,0,0,0
0,88251,라발론의 온전한 심장,119200205,0,0,0,0,0,0,0,0,0,0
0,88252,라발론의 온전한 심장,119000215,0,0,0,0,0,0,0,0,0,0
0,88253,라발론의 온전한 심장,119000225,0,0,0,0,0,0,0,0,0,0
0,88254,라발론의 온전한 심장,119000235,0,0,0,0,0,0,0,0,0,0
0,88255,라발론의 온전한 심장,119000245,0,0,0,0,0,0,0,0,0,0
0,88256,라발론의 온전한 심장,119000255,0,0,0,0,0,0,0,0,0,0
0,88257,라발론의 온전한 심장,119000265,0,0,0,0,0,0,0,0,0,0
0,88258,라발론의 온전한 심장,119000275,0,0,0,0,0,0,0,0,0,0
0,88259,라발론의 온전한 심장,119000285,0,0,0,0,0,0,0,0,0,0
0,88260,라발론의 온전한 심장,60003720,0,0,0,0,0,0,0,0,0,0
0,88261,라발론의 온전한 심장,60003730,0,0,0,0,0,0,0,0,0,0
0,88262,라발론의 온전한 심장,60003740,0,0,0,0,0,0,0,0,0,0
0,88263,라발론의 온전한 심장,60003750,0,0,0,0,0,0,0,0,0,0
0,88264,라발론의 온전한 심장,119200355,0,0,0,0,0,0,0,0,0,0
0,88265,라발론의 온전한 심장,119200365,0,0,0,0,0,0,0,0,0,0
0,88266,라발론의 온전한 심장,119200375,0,0,0,0,0,0,0,0,0,0
0,88267,라발론의 온전한 심장,119200385,0,0,0,0,0,0,0,0,0,0
0,88268,라발론의 온전한 심장,119200395,0,0,0,0,0,0,0,0,0,0
0,88269,라발론의 온전한 심장,119200405,0,0,0,0,0,0,0,0,0,0
0,88270,라발론의 온전한 심장,119200415,0,0,0,0,0,0,0,0,0,0
0,88271,라발론의 온전한 심장,119200425,0,0,0,0,0,0,0,0,0,0
0,88272,라발론의 온전한 심장,119200435,0,0,0,0,0,0,0,0,0,0
0,88273,라발론의 온전한 심장,119200445,0,0,0,0,0,0,0,0,0,0
0,88274,라발론의 온전한 심장,119200455,0,0,0,0,0,0,0,0,0,0
0,88275,라발론의 온전한 심장,119200465,0,0,0,0,0,0,0,0,0,0
0,88276,라발론의 온전한 심장,119200475,0,0,0,0,0,0,0,0,0,0
0,88277,라발론의 온전한 심장,119200485,0,0,0,0,0,0,0,0,0,0
0,88278,라발론의 온전한 심장,119200495,0,0,0,0,0,0,0,0,0,0
0,88279,라발론의 온전한 심장,119200505,0,0,0,0,0,0,0,0,0,0
0,88280,라발론의 온전한 심장,119200515,0,0,0,0,0,0,0,0,0,0
0,88281,라발론의 온전한 심장,119200525,0,0,0,0,0,0,0,0,0,0
0,88282,라발론의 온전한 심장,119200535,0,0,0,0,0,0,0,0,0,0
0,88283,라발론의 온전한 심장,119200545,0,0,0,0,0,0,0,0,0,0
0,88284,라발론의 온전한 심장,119200555,0,0,0,0,0,0,0,0,0,0
0,88285,라발론의 온전한 심장,119200565,0,0,0,0,0,0,0,0,0,0
0,88286,라발론의 온전한 심장,119200575,0,0,0,0,0,0,0,0,0,0
0,88287,라발론의 온전한 심장,119200585,0,0,0,0,0,0,0,0,0,0
0,88288,라발론의 온전한 심장,119200595,0,0,0,0,0,0,0,0,0,0
0,88289,라발론의 온전한 심장,119200605,0,0,0,0,0,0,0,0,0,0
0,88290,라발론의 온전한 심장,119200615,0,0,0,0,0,0,0,0,0,0
0,88291,라발론의 온전한 심장,119200625,0,0,0,0,0,0,0,0,0,0
0,88292,라발론의 온전한 심장,119200635,0,0,0,0,0,0,0,0,0,0
