SkillNo,Level,NameNo,RscNameNo,ActionName,Memo,Type,ClassLimit,LevelLimit,WeaponLimit,StateLimit,ParentSkill,Target,Range,CastTime,CoolTime,AnimationTime,MP,HP,EffectID,Abil01,Abil02,Abil03,Abil04,Abil05,Abil06,Abil07,Abil08,Abil09,Abil10,CmdStringNo,DraClassLimit,f_ActionCategory
11003,1,0,0,a_ridingobject_move,부서지는 오브젝트 무브,1,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
11004,1,0,0,a_serverobject_move,Server Object move via goal pos,1,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
16401,0,16404,0,0,분노상태-공업,1,0,0,0,0,0,0,0,0,0,0,0,0,16401,16401,0,20820,0,0,0,0,0,0,0,0,0,0
26401,0,26404,0,0,분노상태-방업,1,0,0,0,0,0,0,0,0,0,0,0,0,26401,26401,0,20820,0,0,0,0,0,0,0,0,0,0
36401,0,36404,0,0,분노상태-속업,1,0,0,0,0,0,0,0,0,0,0,0,0,36401,36401,0,20820,0,0,0,0,0,0,0,0,0,0
46401,0,46401,0,0,분노상태(공방),1,0,0,0,0,0,0,0,0,0,0,0,0,46401,46401,0,20820,0,0,0,0,0,0,0,0,0,0
56401,0,56401,0,0,분노상태(공속),1,0,0,0,0,0,0,0,0,0,0,0,0,56401,56401,0,20820,0,0,0,0,0,0,0,0,0,0
66401,0,66401,0,0,분노상태(방속),1,0,0,0,0,0,0,0,0,0,0,0,0,66401,66401,0,20820,0,0,0,0,0,0,0,0,0,0
76401,0,76401,0,0,분노상태(공방속),1,0,0,0,0,0,0,0,0,0,0,0,0,76401,76401,0,20820,0,0,0,0,0,0,0,0,0,0
100001,1,0,0,a_opening,몬스터등장,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100002,1,0,0,a_opening_manual,정예 오프닝 (베가본드),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100003,1,0,0,a_opening_manual,정예 오프닝 (베가스),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100004,1,0,0,a_opening_manual,정예 오프닝 (쌍카(쌍카(마할카))),1,0,0,0,0,0,0,0,0,0,5200,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100005,1,0,0,a_opening_manual,정예 오프닝 (투투),1,0,0,0,0,0,0,0,0,0,5200,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100006,1,0,0,a_opening_manual,정예 오프닝 (캡틴 후커(압둘라)),1,0,0,0,0,0,0,0,0,0,5333,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100007,1,0,0,a_opening_manual,정예 오프닝 (알비다),1,0,0,0,0,0,0,0,0,0,5333,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100008,1,0,0,a_opening_manual,정예 오프닝 (데스마스터),1,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100009,1,0,0,a_opening_manual,정예 오프닝 (삼바바),1,0,0,0,0,0,0,0,0,0,7700,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100010,1,0,0,a_opening_manual,정예 오프닝 (폐광 맵),1,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100011,1,0,0,a_opening_manual,정예 오프닝 (벌룬),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100012,1,0,0,a_opening_manual,정예 오프닝 (스피넬 골렘),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100013,1,0,0,a_opening_manual,정예 오프닝 (시타),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100014,1,0,0,a_opening_manual,정예 오프닝 (론기 폴리아),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100015,1,0,0,a_opening_manual,정예 오프닝 (켄타우르스),1,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100016,1,0,0,a_opening_manual,정예 오프닝 (키마트),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100017,1,0,0,a_opening_manual,정예 오프닝 (우마이),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100018,1,0,0,a_opening_manual,정예 오프닝 (바룸),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100019,1,0,0,a_opening_manual,정예 오프닝 (벨라),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100020,1,0,0,a_opening_manual,정예 오프닝 (안타레스),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100021,1,0,0,a_opening_manual,정예 오프닝 (데스킹 두두),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100022,1,0,0,a_opening_manual2,악덕사장 오프닝,1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100023,1,0,0,a_opening_manual2,주방장 오프닝,1,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100024,1,0,0,a_opening_manual,정예 오프닝 (아그니스),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100025,1,0,0,a_opening_manual,정예 오프닝 (아비스),1,0,0,0,0,0,0,0,0,0,11667,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100026,1,0,0,a_opening_manual,정예 오프닝 (알렉산더),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100027,1,0,0,a_opening_manual3,정예 오프닝 (레그노),1,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100028,1,0,0,a_opening_2,점령전 가디언 등장,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
100029,1,0,0,a_opening_manual,자연 정령던전 리바이어스 등장,1,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,20820,0,0,0,0,0,0,0,0,0,0
602502,4,602502,0,0,냉기폭풍 결빙이펙트,1,0,0,0,0,0,0,0,0,0,0,0,0,602502,602502,0,20820,0,0,0,0,0,0,0,0,0,0
602503,1,602503,0,0,몬스터용 결빙1단계,1,0,0,0,0,0,0,0,0,0,0,0,0,602503,602503,0,20820,0,0,0,0,0,0,0,0,0,0
602506,2,602506,0,0,몬스터 결빙2단계,1,0,0,0,0,0,0,0,0,0,0,0,0,602506,602506,0,20820,0,0,0,0,0,0,0,0,0,0
602507,1,602507,0,0,몬스터 냉동1단계,1,0,0,0,0,0,0,0,0,0,0,0,0,602507,602507,0,20820,0,0,0,0,0,0,0,0,0,0
602508,3,602508,0,0,몬스터 결빙 3단계,1,0,0,0,0,0,0,0,0,0,0,0,0,602508,602508,0,20820,0,0,0,0,0,0,0,0,0,0
602509,2,602509,0,0,몬스터 냉동 레그노용,1,0,0,0,0,0,0,0,0,0,0,0,0,602509,602509,0,20820,0,0,0,0,0,0,0,0,0,0
602510,1,602510,0,a_mon_antares_laser,거대수호용 레이저 발사 스킬,2,0,0,0,0,1,2,400,500,0,3300,0,0,602510,60004511,6033404,20820,0,6033415,200,6000001,0,0,0,0,0,0
1100021,0,0,0,a_mon_Normal_01,몬스터 일반상태 회복,2,0,0,0,0,5,1,500,1,0,600,0,0,1100101,1100021,0,20820,0,2906,200,0,0,0,0,0,0,0
1100122,0,0,0,a_mon_fury_01,몬스터 분노(공격),2,0,0,0,0,1,2,100,1,0,4000,0,0,1100201,1100122,0,20820,0,2906,200,0,0,0,0,0,0,0
1100223,0,0,0,a_mon_break_01,몬스터 브레이크,2,0,0,0,0,5,1,500,100,0,600,0,0,1100301,1100223,0,20820,0,0,200,0,0,0,0,0,0,0
1100322,0,0,0,a_mon_melee_01,몬스터 분노 시퀀스,2,0,0,0,0,5,1,500,1,0,1467,0,0,0,1100322,0,20820,0,0,200,0,0,0,0,0,0,0
1100422,0,0,0,0,분노시퀀스,6,0,0,0,0,0,2,350,1,0,0,0,0,0,1100422,0,0,0,0,0,0,0,0,0,0,0,0
1100521,0,0,0,a_mon_Normal_01,몬스터 일반상태 회복(한국 저 레벨 정예용),2,0,0,0,0,5,1,500,1,0,600,0,0,1100101,1100521,0,20820,0,2906,200,0,0,0,0,0,0,0
2100122,0,0,0,a_mon_fury_01,몬스터 분노(방업),2,0,0,0,0,1,2,100,0,0,4000,0,0,1100201,2100122,0,20820,0,2906,200,0,0,0,0,0,0,0
2100222,0,0,0,a_mon_fury_01,몬스터 분노(속업),2,0,0,0,0,1,2,100,0,0,4000,0,0,1100201,2100222,0,20820,0,2906,200,0,0,0,0,0,0,0
2100322,0,0,0,a_mon_fury_01,몬스터 분노(공방),2,0,0,0,0,1,2,100,0,0,4000,0,0,1100201,2100322,0,20820,0,2906,200,0,0,0,0,0,0,0
2100422,0,0,0,a_mon_fury_01,몬스터 분노(공속),2,0,0,0,0,1,2,100,0,0,4000,0,0,1100201,2100422,0,20820,0,2906,200,0,0,0,0,0,0,0
2100522,0,0,0,a_mon_fury_01,몬스터 분노(방속),2,0,0,0,0,1,2,100,0,0,4000,0,0,1100201,2100522,0,20820,0,2906,200,0,0,0,0,0,0,0
2100622,0,0,0,a_mon_fury_01,몬스터 분노(공방속),2,0,0,0,0,1,2,100,0,0,4000,0,0,1100201,2100622,0,20820,0,2906,200,0,0,0,0,0,0,0
3000300,0,0,0,a_mon_melee_02,정예_칼리곤_근거리(휘두르기),2,0,0,0,0,1,2,150,1333,0,2233,0,0,0,3000300,0,20820,0,0,200,0,0,0,0,0,0,0
3000302,0,0,0,a_mon_shot_03,정예_칼리곤_원거리(전기 총 발사),2,0,0,0,0,1,2,330,767,0,2300,0,0,3000322,3000302,2910,20820,0,0,200,0,201,0,0,0,0,0
3000303,0,0,0,a_mon_shot_skill_03,정예_칼리곤_원거리(아이스 총 발사),2,0,0,0,0,1,2,330,767,0,2300,0,0,602507,3000303,2910,20820,0,0,200,0,201,0,0,0,0,0
3000304,0,0,0,a_mon_shot_skill_02,정예_칼리곤_칼던졌다가 받기,2,0,0,0,0,1,2,300,600,1500,2400,0,0,0,3000304,0,20820,0,0,200,0,201,0,0,0,0,0
3000305,0,0,0,a_mon_dash_piercing_attk,정예_칼리곤_대쉬 피어싱 (일섬),2,0,0,0,0,6004904,2,350,1100,0,1100,0,0,0,3000305,3000309,20820,6000000,0,200,6000001,0,0,0,0,0,0
3000306,0,0,0,a_mon_antares_laser,정예_칼리곤_점프해서 전방에 수류탄 투척,2,0,0,0,0,1,2,300,2167,1500,533,0,0,0,3000306,0,20820,0,0,200,0,201,0,0,0,0,0
3000307,0,0,0,a_mon_dash_after_attk,정예_칼리곤_머리박기(대시에프터),2,0,0,0,0,6004201,2,500,700,0,1266,0,0,0,3000310,3000311,20820,6025914,0,200,0,2903,0,0,0,0,0
3000308,0,3000308,3000308,a_mon_melee_03,정예_칼리곤_연막탄 터트리기,2,0,0,0,0,1,2,300,967,0,2000,0,0,3000308,3000308,3000313,20820,0,0,200,0,0,0,0,0,0,0
3000309,0,0,0,a_mon_shot_01,다일_프로토수쿠스 던지기 공격 스킬 1단계,2,0,0,0,0,1,2,200,1000,0,1533,0,0,0,6600200,0,20820,0,6042103,200,6000001,201,0,0,0,0,0
3000310,0,0,0,a_mon_melee_02,다일_프로토수쿠스 입으로 물기,2,0,0,0,0,1,2,100,700,0,2000,0,0,0,6026400,0,20820,0,0,200,6000001,0,0,0,0,0,0
3000311,0,0,0,a_mon_melee_02,다일_프로토수쿠스 입으로 물기,2,0,0,0,0,1,2,100,700,0,2000,0,0,0,6026400,0,20820,0,0,200,6000001,0,0,0,0,0,0
3000312,0,3000312,3000312,a_mon_shot_02,정예_칼리곤_원거리(불 총 발사),2,0,0,0,0,1,2,330,767,0,2300,0,0,3000312,3000312,2910,20820,0,0,200,0,201,0,0,0,0,0
3400100,0,0,0,a_mon_melee_02,구릉 골렘_근거리(양손치기),2,0,0,0,0,1,2,150,967,0,1333,0,0,0,3525000,0,20820,0,0,200,6000001,0,0,0,0,0,0
3400101,0,0,0,a_mon_melee_03,구릉 골렘_근거리(한손 찍기),2,0,0,0,0,1,2,100,1400,0,1233,0,0,0,3525001,0,20820,0,0,200,6000001,0,0,0,0,0,0
3400102,0,0,0,a_mon_dashattk,구릉 골렘_롤링어텍,2,0,0,0,0,6004904,2,350,800,0,1500,0,0,0,4018104,4018108,20820,6000000,6043514,200,0,0,0,0,0,0,0
3400730,0,0,0,a_mon_earthquake,구릉 놀 보초병 도끼 크게내려찍기(어스퀘이크),2,0,0,0,0,6009604,2,120,1000,0,1167,0,0,0,3400730,0,20820,0,0,200,0,0,0,0,0,0,0
3400800,0,0,0,a_mon_shot_01,놀 투척병 기본발사,2,0,0,0,0,1,2,200,500,0,1330,0,0,0,4032200,0,20820,0,0,200,0,201,0,0,0,0,0
3400830,0,0,0,a_mon_shot_01,구릉 놀 궁수 기본발사,2,0,0,0,0,1,2,200,500,0,1330,0,0,0,3400830,0,20820,0,0,200,0,201,0,0,0,0,0
3400900,0,0,0,a_mon_shot_01,놀 투척병 기본발사,2,0,0,0,0,1,2,200,500,0,1330,0,0,0,4032200,0,20820,0,0,200,0,201,0,0,0,0,0
3400901,0,0,0,a_mon_shot_skill_01,놀 주술사 아이스볼(유도1방),2,0,0,0,0,6031105,2,300,500,0,500,0,0,0,4032301,0,20820,0,0,200,0,201,0,0,0,0,0
3400903,0,0,0,a_mon_shot_around_01,놀 주술사 유도 3방,2,0,0,0,0,6000944,2,300,667,0,1500,0,0,0,4032303,0,20820,0,0,200,0,201,0,0,0,0,0
3400940,0,0,0,a_mon_shot_around_01,구릉 놀 주술사 유도 3방,2,0,0,0,0,6000944,2,300,667,0,2367,0,0,0,3400940,0,20820,0,0,200,0,201,0,0,0,0,0
3400941,0,0,0,a_mon_shot_skill_01,구릉 놀 주술사 화이어볼(유도1방),2,0,0,0,0,6031105,2,300,500,0,500,0,0,0,3400941,0,20820,0,0,200,0,201,0,0,0,0,0
3401230,0,0,0,a_mon_breath,수호견(일반)_근거리(물기),2,0,0,0,0,6006902,2,100,733,0,1733,0,0,0,3541000,3541010,20820,0,6043515,200,0,0,0,0,0,0,0
3401400,0,0,0,a_mon_melee_02,암석그리폰 기본 공격,2,0,0,0,0,1,2,100,500,0,867,0,0,0,3401400,0,20820,0,0,200,6000001,0,0,0,0,0,0
3401401,0,0,0,a_mon_dashattk,암석그리폰 대쉬 공격,2,0,0,0,0,6004904,2,350,533,0,1160,0,0,0,3401401,3401402,20820,6000000,6043514,200,0,0,0,0,0,0,0
3401403,0,0,0,a_mon_melee_03,암석그리폰_근거리(음파공격),2,0,0,0,0,1,2,160,867,0,2333,0,0,0,3401403,0,20820,2907,0,200,6000001,0,0,0,0,0,0
3401500,0,0,0,a_mon_melee_02,화염그리폰 기본 공격,2,0,0,0,0,1,2,100,500,0,867,0,0,0,3401400,0,20820,0,0,200,6000001,0,0,0,0,0,0
3401501,0,0,0,a_mon_dashattk,화염그리폰 대쉬 공격,2,0,0,0,0,6004904,2,350,533,0,1160,0,0,0,3401401,3401402,20820,6000000,6043514,200,0,0,0,0,0,0,0
3401503,0,0,0,a_mon_shot_01,화염그리폰 화염 발사체 공격,2,0,0,0,0,1,2,200,1667,0,1533,0,0,3000312,3401503,2910,20820,0,0,200,0,201,0,0,0,0,0
3401504,0,0,0,a_mon_antares_laser,화염그리폰 화염 브레스 공격,2,0,0,0,0,1,2,200,967,0,2733,0,0,3000312,3401504,2910,20820,0,0,200,0,201,0,0,0,0,0
3401600,0,0,0,a_mon_melee_02,스파크그리폰 기본 공격,2,0,0,0,0,1,2,100,500,0,867,0,0,0,3401700,0,20820,0,0,200,6000001,0,0,0,0,0,0
3401601,0,0,0,a_mon_dashattk,스파크그리폰 대쉬 공격,2,0,0,0,0,6004904,2,350,533,0,1160,0,0,0,3401701,3401402,20820,6000000,6043514,200,0,0,0,0,0,0,0
3401700,0,0,0,a_mon_melee_02,협곡 진흙괴물  기본공격,2,0,0,0,0,1,2,120,500,0,867,0,0,0,3401700,0,20820,0,0,200,6000001,0,0,0,0,0,0
3401701,0,0,0,a_mon_shot_01,협곡 진흙괴물  쏘기 공격,2,0,0,0,0,1,2,200,500,0,1330,0,0,0,3401701,0,20820,0,0,200,0,201,0,0,0,0,0
3401702,0,0,0,a_mon_breath,협곡 진흙괴물  소리지르기 공격,2,0,0,0,0,6006902,2,150,867,0,1700,0,0,0,3401702,3401703,20820,0,6004910,200,6000001,0,0,0,0,0,0
3401704,0,0,0,a_mon_melee_03,협곡 진흙괴물 음파 공격,2,0,0,0,0,1,2,160,0,0,2333,0,0,0,3401704,0,20820,2907,0,200,6000001,0,0,0,0,0,0
3401705,0,0,0,a_mon_melee_04,협곡 진흙괴물 비 공격,2,0,0,0,0,1,2,160,867,0,2333,0,0,0,3401705,0,20820,2907,0,200,6000001,0,0,0,0,0,0
3401800,0,0,0,a_mon_melee_02,협곡 진흙괴물  기본공격,2,0,0,0,0,1,2,100,500,0,867,0,0,0,3401700,0,20820,0,0,200,6000001,0,0,0,0,0,0
3401801,0,0,0,a_mon_shot_01,협곡 진흙괴물  쏘기 공격,2,0,0,0,0,1,2,200,500,0,1330,0,0,0,3401701,0,20820,0,0,200,0,201,0,0,0,0,0
3401802,0,0,0,a_mon_breath,협곡 암석괴물  소리지르기 공격,2,0,0,0,0,6006902,2,150,867,0,1700,0,0,0,3401702,3401703,20820,0,6004910,200,6000001,0,0,0,0,0,0
3401900,0,0,0,a_mon_melee_02,협곡 암석괴물  기본공격,2,0,0,0,0,1,2,100,500,0,867,0,0,0,3401700,0,20820,0,0,200,6000001,0,0,0,0,0,0
3401901,0,0,0,a_mon_shot_01,협곡 독 괴물  쏘기 공격,2,0,0,0,0,1,2,200,500,0,1330,0,0,0,3401701,0,20820,0,0,200,0,201,0,0,0,0,0
3401902,0,0,0,a_mon_breath,협곡 독 괴물  소리지르기 공격,2,0,0,0,0,6006902,2,150,867,0,1700,0,0,0,3401702,3401703,20820,0,6004910,200,6000001,0,0,0,0,0,0
3402100,0,0,0,a_mon_melee_02,플로렌스 기본 물기,2,0,0,0,0,1,2,100,500,0,867,0,0,0,3402100,0,20820,0,0,200,6000001,0,0,0,0,0,0
3402101,0,0,0,a_mon_breath,플로렌스 레이져 (근접),2,0,0,0,0,6006902,2,100,500,0,1133,0,0,0,3402101,3402102,20820,0,0,200,6000001,0,0,0,0,0,0
3491000,0,0,0,a_mon_melee_02,코코투스 기본 공격_01,2,0,0,0,0,1,2,100,433,0,1500,0,0,0,3491000,0,20820,0,0,200,6000001,0,0,0,0,0,0
3491001,0,0,0,a_mon_melee_03,코코투스 기본 공격_대지의 분노,2,0,0,0,0,1,2,100,500,0,1400,0,0,0,3491001,0,20820,0,0,200,6000001,0,0,0,0,0,0
3491002,0,0,0,a_mon_dash_piercing_attk,코코투스 대쉬 피어싱 (일섬),2,0,0,0,0,6004904,2,350,967,5000,633,0,0,0,3491002,3491006,20820,6000000,0,200,6000001,0,0,0,0,0,0
3491003,0,0,0,a_mon_melee_06,코코투스 근접(소환),2,0,0,0,0,6025904,1,1000,633,0,2667,0,0,0,3491003,3491007,20820,0,0,200,0,0,0,0,0,0,0
3491004,0,0,0,a_mon_shot_around_01,코코투스 유도 3방,2,0,0,0,0,6000944,2,300,1133,0,1233,0,0,3541207,3491004,0,20820,0,0,200,0,201,0,0,0,0,0
3491005,0,0,0,a_mon_melee_fin_01,코코투스 근접(땅속에서 가시찌르기),2,0,0,0,0,1,2,150,1333,0,1066,0,0,0,3491005,3491008,20820,2904,3530310,200,0,0,0,0,0,0,0
3521100,0,0,0,a_mon_melee_02,포치류 근거리(박치기),2,0,0,0,0,1,2,100,500,0,633,0,0,0,3521100,0,20820,0,0,200,6000001,0,0,0,0,0,0
3521101,0,0,0,a_mon_shot_01,포치류 원거리(꽃잎발사),2,0,0,0,0,1,2,250,667,0,500,0,0,0,3521101,0,20820,0,0,200,6000001,201,0,0,0,0,0
3521102,0,0,0,a_mon_shot_skill_01,포치류 원거리(꽃잎발사)반복,2,0,0,0,0,1,2,250,667,0,1800,0,0,0,3521102,3521107,20820,0,0,200,0,0,0,0,0,0,0
3521103,0,0,0,a_mon_melee_02,포치류_희귀_무드라고라_근거리(깨물기),2,0,0,0,0,1,2,120,667,0,1633,0,0,0,3521103,0,20820,0,0,200,6000001,0,0,0,0,0,0
3521104,0,0,0,a_mon_shot_skill_01,포치류_희귀_무드라고라_원거리(포물선발사),2,0,0,0,0,1,2,250,1233,0,733,0,0,2501,3521104,0,20820,0,0,200,0,201,0,0,0,0,0
